species,block_id,mean_psi,median_psi,occupied_grid_equivalent,centroid_lat,centroid_lon,centroid_elev,block_start,block_end,block_label
Abroscopus albogularis,1,0.41269476431965463,0.38167886914766747,549.2967313094573,36.41367515535865,106.1310002120934,690.0210926241374,2000,2004,2000-2004
Abroscopus albogularis,2,0.264149127434173,0.391394933727767,351.5824886148818,33.14893501494294,106.26108568166514,1851.5493209137396,2005,2009,2005-2009
Abroscopus albogularis,3,0.2800455846345246,0.4074699537711444,372.7406731485576,33.29127148157787,106.2222650941562,1941.1451557130006,2010,2014,2010-2014
Abroscopus albogularis,4,0.303492326813792,0.4321702172139225,403.94828698915734,33.493038076221026,106.20489760342214,2111.6491157439395,2015,2019,2015-2019
Abroscopus albogularis,5,0.33092578892388574,0.45383021173046995,440.46222505768856,33.86357933416317,106.2358087479794,2267.1624306643325,2020,2024,2020-2024
Accipiter nisus,1,0.6288957397281503,0.6198952102239372,837.0602295781738,35.98515081768329,106.27276605695275,1426.4452223680782,2000,2004,2000-2004
Accipiter nisus,2,0.7169336293681825,0.5751376522666352,954.2386606890797,37.750532255475974,106.78073805099294,2057.523309438673,2005,2009,2005-2009
Accipiter nisus,3,0.7150636484359105,0.5924234061000575,951.7497160681644,37.502646489923684,106.70595918990836,2010.0249274762393,2010,2014,2010-2014
Accipiter nisus,4,0.7945811927766067,0.7039748302645501,1057.5875675856562,37.115589351923816,106.62666896678833,2058.3477933241716,2015,2019,2015-2019
Accipiter nisus,5,0.9067696812553038,0.8837896805766693,1206.9104457508206,36.463156851483205,106.46495218486375,2076.324631320583,2020,2024,2020-2024
Accipiter trivirgatus,1,0.62010736462007,0.7225733036714134,825.3629023093225,34.5480184274858,105.63711116302802,688.4922804584232,2000,2004,2000-2004
Accipiter trivirgatus,2,0.42157392100872065,0.6932984405888672,561.1148888626077,31.496567788022237,105.25332462744531,1813.1584611407056,2005,2009,2005-2009
Accipiter trivirgatus,3,0.4244158673128789,0.6949493640532962,564.8975193934338,31.55024072557906,105.2677558422646,1921.5924401744362,2010,2014,2010-2014
Accipiter trivirgatus,4,0.42797499069358297,0.6972395963995307,569.634712613154,31.61519611902084,105.288089939588,2057.032367490786,2015,2019,2015-2019
Accipiter trivirgatus,5,0.4328883285475856,0.7002889035125033,576.1743652968362,31.70343209635858,105.31515706062831,2182.296081255613,2020,2024,2020-2024
Acridotheres cristatellus,1,0.5754542874825973,0.6717186191072146,765.9296566393227,35.46215830879682,106.36289976638717,3057.6020332517305,2000,2004,2000-2004
Acridotheres cristatellus,2,0.47544558102415374,0.6389716076987658,632.8180683431416,33.61903977251617,105.69568928581032,2423.1357197128877,2005,2009,2005-2009
Acridotheres cristatellus,3,0.4379927602262516,0.6129382412466039,582.9683638611356,33.08165798812592,105.43694753572284,2121.9655797141927,2010,2014,2010-2014
Acridotheres cristatellus,4,0.41728604868365965,0.5921276777872542,555.4077307979462,32.88915729625055,105.32691223658288,1946.3787426618053,2015,2019,2015-2019
Acridotheres cristatellus,5,0.4029848158237781,0.5753941023027624,536.3727898614519,32.79844373272808,105.26732416184254,1839.211201844604,2020,2024,2020-2024
Acrocephalus orientalis,1,0.39427782368891395,0.15487276393278057,524.7837833299245,40.48772028035314,106.97287471441855,1735.7884898806012,2000,2004,2000-2004
Acrocephalus orientalis,2,0.3407003496543839,0.20390188067234225,453.4721653899778,38.801088435876515,106.53454942025819,1609.849555027197,2005,2009,2005-2009
