species,occupancy_trend,occupancy_equivalent_trend,latitudinal_shift,elevational_shift,mean_occupancy,log_body_mass,log_body_length,clutch_size,log_egg_volume,longevity_y,maturity_y,avonet_hwi,log_elev_range,log_range_size
Abroscopus albogularis,-0.012419475141191889,-16.530321412926202,-0.4756088581112898,341.43824709105905,0.318261518425206,1.9459101490553132,4.537961436294641,4.5,7.038186872188803,11.440789880952384,1.4105592912107268,13.3,6.398594934535208,14.348871307643503
Accipiter nisus,0.06333954464627306,84.30493392418694,0.0321069164047662,130.05833017905078,0.7524487783128307,5.017279836814924,5.802118375377063,3.5,10.027712553219311,20.2,0.999315537303217,35.5,8.412054873292933,16.976825501142617
Accipiter trivirgatus,-0.036803700246010616,-48.98572502744264,-0.5570544331255816,323.1481507944459,0.4653920944365676,5.916202062607435,6.018593214496234,2.5,10.742805227201963,20.87934861111111,1.9035093325945496,23,7.496097345175956,15.029363895658085
Acridotheres cristatellus,-0.04030984756581325,-53.65240711009372,-0.6057311628403088,-291.35386398653355,0.46183269864808807,4.74493212836325,5.521460917862246,4.5,8.79002128777442,13,1.4334824195311862,24.1,6.2166061010848646,14.938250724180179
Acrocephalus orientalis,0.048537655958634615,64.60362008094839,-0.9091411548203263,40.630039293901966,0.43230906399898295,3.4011973816621555,5.236441962829949,5,8.052673327606758,9.613999801587306,1.0257144568299568,20.9,6.90875477931522,15.484265532790278
Actitis hypoleucos,-5.876021903961442e-6,-0.007820985147051115,-6.228922833227681e-6,0.009588881772452202,0.9300572743777922,3.9318256327243257,5.198497031265826,4.5,9.566902544056408,14.5,0.999315537303217,48,8.294299608857235,17.06772205961782
Aegithalos concinnus,-0.035916677220411426,-47.805097380368935,-0.7491707478204042,-262.33549083396304,0.4007759614413687,2.0149030205422647,4.6491870714048655,6.5,6.655362483758258,9.612399494949496,1.068628738741673,17.6,8.268988209506656,14.844238896109548
Aegithalos glaucogularis,0.04233686218812512,56.35036357239262,-0.8918973968299868,-206.1557730075482,0.23908665346020663,2.302585092994046,4.962844630259907,9.5,6.920387653502903,10.088103463203462,1.064727920645783,19.9,8.013343181386672,14.400168784401862
Alauda arvensis,0.07813252505838263,103.99439085270767,-0.800020417893824,218.9356257737687,0.45082377835334086,3.5553480614894135,5.150397236471415,4,8.365476006570121,10.1,0.999315537303217,33.6,8.160803920954665,17.074310166081737
Alauda gulgula,-0.03312418464058613,-44.088289756624945,-0.26664713793378575,317.237671613552,0.3774569404321241,3.4965075614664802,5.033700567027251,4,7.923046949604837,10.479040367965364,1.0405504248014494,27.5,8.366602832783736,16.29168595859197
