species,block_id,block_label,mean_psi
Abroscopus albogularis,1,2000-2004,0.15120603830388257
Abroscopus albogularis,2,2005-2009,0.18276668937975468
Abroscopus albogularis,3,2010-2014,0.2312876249094752
Abroscopus albogularis,4,2015-2019,0.2735132493088458
Abroscopus albogularis,5,2020-2024,0.3159590077911462
Accipiter gentilis,1,2000-2004,0.7949373318517399
Accipiter gentilis,2,2005-2009,0.8101401398561242
Accipiter gentilis,3,2010-2014,0.8176228434054782
Accipiter gentilis,4,2015-2019,0.8400991018569974
Accipiter gentilis,5,2020-2024,0.8252374012682586
Accipiter nisus,1,2000-2004,0.7781907937250289
Accipiter nisus,2,2005-2009,0.8060220197591832
Accipiter nisus,3,2010-2014,0.8215638630751658
Accipiter nisus,4,2015-2019,0.8592326243081788
Accipiter nisus,5,2020-2024,0.9206521438262922
Accipiter soloensis,1,2000-2004,0.27329364110682725
Accipiter soloensis,2,2005-2009,0.539358184091309
Accipiter soloensis,3,2010-2014,0.521972803077298
Accipiter soloensis,4,2015-2019,0.43521464852348524
Accipiter soloensis,5,2020-2024,0.46575572306619295
Accipiter trivirgatus,1,2000-2004,0.1711048325404742
Accipiter trivirgatus,2,2005-2009,0.2777911062968819
Accipiter trivirgatus,3,2010-2014,0.35353970528329837
Accipiter trivirgatus,4,2015-2019,0.360596317482272
Accipiter trivirgatus,5,2020-2024,0.38552309555406644
Accipiter virgatus,1,2000-2004,0.3089394509064017
Accipiter virgatus,2,2005-2009,0.34454259449727953
Accipiter virgatus,3,2010-2014,0.35499359951031345
Accipiter virgatus,4,2015-2019,0.38087878986564105
Accipiter virgatus,5,2020-2024,0.4467757524465894
Acridotheres cristatellus,1,2000-2004,0.30959794311690897
Acridotheres cristatellus,2,2005-2009,0.33639018995627296
Acridotheres cristatellus,3,2010-2014,0.41410885305663847
Acridotheres cristatellus,4,2015-2019,0.42437920415022645
Acridotheres cristatellus,5,2020-2024,0.3978725376093419
Acrocephalus orientalis,1,2000-2004,0.4246455834609607
Acrocephalus orientalis,2,2005-2009,0.4714202883642728
Acrocephalus orientalis,3,2010-2014,0.5229793226686209
Acrocephalus orientalis,4,2015-2019,0.6031432716160444
Acrocephalus orientalis,5,2020-2024,0.6510723060122632
Actitis hypoleucos,1,2000-2004,0.8460480260110557
