species
Passer montanus
Motacilla alba
Hirundo rustica
Parus minor
Pica serica
Streptopelia orientalis
Phoenicurus auroreus
Spilopelia chinensis
Falco tinnunculus
Pycnonotus sinensis
Egretta garzetta
Tachybaptus ruficollis
Upupa epops
Ardea cinerea
Alcedo atthis
Lanius schach
Anas platyrhynchos
Phasianus colchicus
Motacilla cinerea
Cecropis daurica
Chloris sinica
Ardeola bacchus
Anthus hodgsoni
Ardea alba
Gallinula chloropus
Tadorna ferruginea
Cuculus canorus
Phalacrocorax carbo
Turdus mandarinus
Anas zonorhyncha
Acridotheres cristatellus
Corvus macrorhynchos
Fulica atra
Milvus migrans
Actitis hypoleucos
Podiceps cristatus
Lanius cristatus
Phoenicurus fuliginosus
Zosterops simplex
Copsychus saularis
Sinosuthora webbiana
Dicrurus macrocercus
Nycticorax nycticorax
Spodiopsar cineraceus
Phylloscopus inornatus
Cyanopica cyanus
Chroicocephalus ridibundus
Phylloscopus proregulus
Emberiza pusilla
Buteo japonicus
Bubulcus coromandus
Tringa ochropus
Corvus corone
Dendrocopos major
Aegithalos concinnus
Tarsiger cyanurus
Columba livia
Charadrius dubius
Accipiter nisus
Anas carolinensis
Himantopus himantopus
Spizixos semitorques
Prinia inornata
Phylloscopus fuscatus
Emberiza spodocephala
Sterna hirundo
Picus canus
Spodiopsar sericeus
Saxicola stejnegeri
Buteo hemilasius
Garrulus glandarius
Fringilla montifringilla
Mergus merganser
Columba rupestris
Tringa nebularia
Horornis fortipes
Pomatorhinus ruficollis
Myophonus caeruleus
Pardaliparus venustulus
Mareca strepera
Passer cinnamomeus
Eophona migratoria
Emberiza elegans
Streptopelia decaocto
Pyrrhocorax pyrrhocorax
Motacilla tschutschensis
Pycnonotus xanthorrhous
Tringa totanus
Lonchura striata
Falco peregrinus
Pterorhinus sannio
Tringa glareola
Hypsipetes leucocephalus
Carpodacus erythrinus
Aythya ferina
Charadrius alexandrinus
Motacilla citreola
Vanellus cinereus
Delichon dasypus
Vanellus vanellus
Apus pacificus
Falco subbuteo
Urocissa erythroryncha
Gallinago gallinago
Chlidonias hybrida
Lonchura punctulata
Apus nipalensis
Oriolus chinensis
Eudynamys scolopaceus
Spatula clypeata
Ixos mcclellandii
Falco amurensis
Amaurornis phoenicurus
Anthus richardi
Periparus ater
Mareca penelope
Turdus eunomus
Circus cyaneus
Aythya fuligula
Cuculus micropterus
Apus apus
Acrocephalus orientalis
Ficedula albicilla
Anas acuta
Emberiza cioides
Pernis ptilorhynchus
Ixobrychus sinensis
Alauda gulgula
Aegithalos glaucogularis
Abroscopus albogularis
Monticola solitarius
Recurvirostra avosetta
Alauda arvensis
Accipiter trivirgatus
Lanius tephronotus
Anthus spinoletta
Aythya nyroca
Phoenicurus ochruros
Dicrurus hottentottus
Tringa erythropus
Leiothrix lutea
Elanus caeruleus
Mareca falcata
Emberiza godlewskii
Gyps himalayensis
Tadorna tadorna
Turdus naumanni
Parus monticolus
Dicrurus leucophaeus
Platalea leucorodia
Riparia riparia
Enicurus leschenaulti
Anser anser
Bambusicola thoracicus
Hemixos castanonotus
Muscicapa sibirica
Picumnus innominatus
Aix galericulata
Butorides striata
Eremophila alpestris
Saxicola maurus
Pycnonotus jocosus
Cisticola juncidis
Circus spilonotus
Culicicapa ceylonensis
Turdus hortulorum
Phoenicurus frontalis
Gracupica nigricollis
Lanius sphenocercus
Corvus corax
Dendrocitta formosae
Anthus rubescens
Cinclus pallasii
Pycnonotus aurigaster
Limosa limosa
Troglodytes troglodytes
Trochalopteron elliotii
