species,n_grid_year_detections,n_blocks_detected,n_grids_detected
Passer montanus,6145,5,1104
Motacilla alba,5853,5,1077
Hirundo rustica,4682,5,986
Parus minor,4220,5,738
Pica serica,3845,5,760
Streptopelia orientalis,3711,5,852
Phoenicurus auroreus,3599,5,733
Spilopelia chinensis,3582,5,615
Falco tinnunculus,3565,5,932
Pycnonotus sinensis,3539,5,544
Egretta garzetta,3484,5,628
Tachybaptus ruficollis,3374,5,692
Upupa epops,3369,5,822
Ardea cinerea,3308,5,796
Alcedo atthis,3133,5,654
Lanius schach,3105,5,501
Anas platyrhynchos,3090,5,810
Phasianus colchicus,3017,5,732
Motacilla cinerea,2974,5,754
Cecropis daurica,2938,5,662
Chloris sinica,2898,5,652
Ardeola bacchus,2866,5,549
Anthus hodgsoni,2760,5,634
Ardea alba,2751,5,672
Gallinula chloropus,2685,5,615
Tadorna ferruginea,2643,5,733
Cuculus canorus,2588,5,767
Phalacrocorax carbo,2566,5,695
Turdus mandarinus,2549,5,469
Anas zonorhyncha,2527,5,603
Acridotheres cristatellus,2516,5,424
Corvus macrorhynchos,2472,5,653
Fulica atra,2471,5,687
Milvus migrans,2471,5,672
Actitis hypoleucos,2436,5,697
Podiceps cristatus,2415,5,652
Lanius cristatus,2382,5,666
Phoenicurus fuliginosus,2378,5,476
Zosterops simplex,2368,5,461
Copsychus saularis,2329,5,370
Sinosuthora webbiana,2328,5,461
Dicrurus macrocercus,2322,5,493
Nycticorax nycticorax,2321,5,517
Spodiopsar cineraceus,2278,5,579
Phylloscopus inornatus,2237,5,552
Cyanopica cyanus,2232,5,492
Chroicocephalus ridibundus,2226,5,596
Phylloscopus proregulus,2195,5,584
Emberiza pusilla,2162,5,580
Buteo japonicus,2145,5,655
Bubulcus coromandus,2106,5,485
Tringa ochropus,2099,5,633
Corvus corone,2090,5,659
Dendrocopos major,2077,5,545
Aegithalos concinnus,2068,5,384
Tarsiger cyanurus,2033,5,538
Columba livia,1990,5,553
Charadrius dubius,1972,5,593
Accipiter nisus,1969,5,637
Anas carolinensis,1965,5,570
Himantopus himantopus,1965,5,574
Spizixos semitorques,1911,5,340
Prinia inornata,1904,5,375
Phylloscopus fuscatus,1901,5,517
Emberiza spodocephala,1896,5,538
Sterna hirundo,1858,5,560
Picus canus,1817,5,519
Spodiopsar sericeus,1777,5,366
Saxicola stejnegeri,1744,5,477
Buteo hemilasius,1736,5,572
Garrulus glandarius,1690,5,443
Fringilla montifringilla,1689,5,531
Mergus merganser,1677,5,527
Columba rupestris,1661,5,500
Tringa nebularia,1659,5,441
Horornis fortipes,1637,5,353
Pomatorhinus ruficollis,1636,5,331
Myophonus caeruleus,1631,5,377
Pardaliparus venustulus,1629,5,383
Mareca strepera,1627,5,523
Passer cinnamomeus,1627,5,442
Eophona migratoria,1618,5,381
Emberiza elegans,1615,5,411
Streptopelia decaocto,1614,5,511
Pyrrhocorax pyrrhocorax,1597,5,424
Motacilla tschutschensis,1594,5,528
Pycnonotus xanthorrhous,1589,5,327
Tringa totanus,1572,5,452
Lonchura striata,1544,5,323
Falco peregrinus,1523,5,473
Pterorhinus sannio,1515,5,305
Tringa glareola,1486,5,475
Hypsipetes leucocephalus,1474,5,305
Carpodacus erythrinus,1465,5,463
Aythya ferina,1461,5,456
Charadrius alexandrinus,1452,5,375
Motacilla citreola,1448,5,523
Vanellus cinereus,1444,5,437
Delichon dasypus,1440,5,398
Vanellus vanellus,1439,5,474
Apus pacificus,1438,5,455
Falco subbuteo,1433,5,505
Urocissa erythroryncha,1433,5,403
Gallinago gallinago,1429,5,447
Chlidonias hybrida,1419,5,460
Lonchura punctulata,1385,5,297
Apus nipalensis,1379,5,338
Oriolus chinensis,1362,5,410
Eudynamys scolopaceus,1352,5,380
Spatula clypeata,1340,5,446
Ixos mcclellandii,1339,5,300
Falco amurensis,1322,5,437
Amaurornis phoenicurus,1319,5,343
Anthus richardi,1290,5,413
Periparus ater,1279,5,364
Mareca penelope,1273,5,404
Turdus eunomus,1271,5,377
Circus cyaneus,1267,5,478
Aythya fuligula,1257,5,424
Cuculus micropterus,1257,5,426
Apus apus,1252,5,404
Acrocephalus orientalis,1245,5,392
Ficedula albicilla,1244,5,423
Anas acuta,1235,5,423
Emberiza cioides,1230,5,410
Pernis ptilorhynchus,1229,5,418
Ixobrychus sinensis,1225,5,351
Alauda gulgula,1223,5,341
Aegithalos glaucogularis,1221,5,329
Abroscopus albogularis,1216,5,281
Monticola solitarius,1212,5,343
Recurvirostra avosetta,1204,5,359
Alauda arvensis,1199,5,414
Accipiter trivirgatus,1194,5,316
Lanius tephronotus,1189,5,278
Anthus spinoletta,1180,5,447
Aythya nyroca,1180,5,412
Phoenicurus ochruros,1179,5,333
Dicrurus hottentottus,1175,5,313
Tringa erythropus,1167,5,340
Leiothrix lutea,1155,5,262
Elanus caeruleus,1149,5,290
Mareca falcata,1137,5,373
Emberiza godlewskii,1136,5,304
Gyps himalayensis,1131,5,274
Tadorna tadorna,1124,5,356
Turdus naumanni,1119,5,373
Parus monticolus,1117,5,218
Dicrurus leucophaeus,1115,5,300
Platalea leucorodia,1100,5,348
Riparia riparia,1099,5,443
Enicurus leschenaulti,1095,5,276
Anser anser,1093,5,388
Bambusicola thoracicus,1072,5,232
Hemixos castanonotus,1072,5,218
Muscicapa sibirica,1070,5,352
Picumnus innominatus,1067,5,285
Aix galericulata,1065,5,368
Butorides striata,1063,5,334
Eremophila alpestris,1057,5,331
Saxicola maurus,1055,5,393
Pycnonotus jocosus,1052,5,197
Cisticola juncidis,1044,5,282
Circus spilonotus,1034,5,339
Culicicapa ceylonensis,1006,5,266
Turdus hortulorum,1000,5,289
Phoenicurus frontalis,997,5,247
Gracupica nigricollis,983,5,205
Lanius sphenocercus,979,5,339
Corvus corax,975,5,337
Dendrocitta formosae,972,5,231
Anthus rubescens,966,5,314
Cinclus pallasii,963,5,265
Pycnonotus aurigaster,959,5,191
Limosa limosa,952,5,287
Troglodytes troglodytes,943,5,302
Trochalopteron elliotii,938,5,186
Chlidonias leucopterus,936,5,323
Ceryle rudis,928,5,230
Tringa stagnatilis,926,5,274
Phylloscopus humei,922,5,278
Spatula querquedula,922,5,351
Phylloscopus borealis,919,5,319
Halcyon smyrnensis,914,5,213
Ardea purpurea,912,5,287
Pericrocotus solaris,911,5,238
Regulus regulus,900,5,269
Accipiter soloensis,894,5,267
Aquila chrysaetos,892,5,322
Emberiza tristrami,892,5,262
Larus argentatus,892,5,237
Ptyonoprogne rupestris,884,5,301
Riparia diluta,882,5,317
Psilopogon virens,881,5,238
Ardea intermedia,880,4,351
Picoides canicapillus,880,4,346
Accipiter gentilis,878,5,338
Accipiter virgatus,878,5,301
Calidris temminckii,877,5,316
Prinia flaviventris,877,5,184
Streptopelia tranquebarica,876,5,302
Eumyias thalassinus,875,5,230
Emberiza pallasi,870,5,285
Sitta europaea,868,5,284
Pandion haliaetus,858,5,291
Garrulax canorus,857,5,277
Saxicola ferreus,854,5,250
Aethopyga christinae,851,5,204
Orthotomus sutorius,851,5,160
Ficedula zanthopygia,848,5,275
Numenius arquata,848,5,225
Emberiza rustica,847,5,282
Ciconia nigra,838,5,361
Corvus frugilegus,838,5,340
Anthus roseatus,835,5,273
Athene noctua,835,5,294
Calidris alpina,833,5,199
Emberiza chrysophrys,833,5,260
Spinus spinus,831,5,298
Phoenicurus hodgsoni,830,5,236
Anser cygnoides,829,5,256
Bucephala clangula,829,5,304
Anser indicus,828,5,279
Netta rufina,826,5,314
Podiceps nigricollis,810,5,280
Pericrocotus ethologus,809,5,205
Centropus sinensis,803,5,174
Pluvialis fulva,799,5,244
Charadrius placidus,798,5,313
Eurystomus orientalis,797,5,227
Zosterops erythropleurus,797,5,268
Larus ichthyaetus,795,5,289
Sturnus vulgaris,793,5,319
Pterorhinus perspicillatus,792,4,234
Nucifraga caryocatactes,791,5,206
Halcyon pileata,789,5,277
Cyanoderma ruficeps,788,4,257
Phylloscopus claudiae,787,5,230
Caprimulgus jotaka,786,5,290
