term,community_occ_mean,community_occ_median,community_occ_l95,community_occ_u95
(Intercept),-0.19032247415467898,-0.18904228722385882,-0.43852863506802386,0.04143117071148582
bio4,0.44800418735572056,0.44959188068918876,0.3528636248743421,0.5405148612140481
elev_sd,-0.06756018764948142,-0.06635310855212798,-0.09402839312491519,-0.04109006905694406
texture_shannon,0.14318454498759783,0.14238552612616295,0.09599587714544365,0.18356499982504818
npp_mean,-0.16276453550413802,-0.1589246608187017,-0.24543037946352889,-0.09844925317880128
landcover_built,-0.19262265525185351,-0.19142228523316912,-0.2223629582972504,-0.1634142861041592
centroid_lat,-0.41354832129006297,-0.42616904859201854,-0.6553517169775124,-0.15610366946079218
year_scaled,0.3343330886505434,0.3342948307393604,0.2817064101975615,0.39188906535950674
