term,estimate,std.error,z_statistic,p_value,component,species
psi(landcover_built),0.33383309897277386,NA,NA,NA,initial_occupancy,Cecropis daurica
col(Int),-3.252366408402879,NA,NA,NA,colonization,Cecropis daurica
col(block_index),-6.8057105155513,NA,NA,NA,colonization,Cecropis daurica
col(built_rep),0.08813398435997208,NA,NA,NA,colonization,Cecropis daurica
col(npp_rep),0.27888850699615897,NA,NA,NA,colonization,Cecropis daurica
ext(Int),-3.176545391090956,NA,NA,NA,extinction,Cecropis daurica
ext(block_index),-0.3591060548705427,NA,NA,NA,extinction,Cecropis daurica
ext(built_rep),0.39723474670282255,NA,NA,NA,extinction,Cecropis daurica
ext(bio4),-1.6526972337765609,NA,NA,NA,extinction,Cecropis daurica
p(Int),-2.7589642672884276,NA,NA,NA,other,Cecropis daurica
p(log_events),0.9813567393846033,NA,NA,NA,other,Cecropis daurica
p(log_observers),0.0893188808967873,NA,NA,NA,other,Cecropis daurica
p(duration_min),2.572423765227967e-8,NA,NA,NA,other,Cecropis daurica
psi(Int),1.0192676837400638,NA,NA,NA,initial_occupancy,Chloris sinica
psi(bio4),0.8504823795368794,NA,NA,NA,initial_occupancy,Chloris sinica
psi(elev_sd),-0.23952852851460155,NA,NA,NA,initial_occupancy,Chloris sinica
psi(texture_shannon),0.4245670089992109,NA,NA,NA,initial_occupancy,Chloris sinica
psi(npp_mean),-0.07368393727981358,NA,NA,NA,initial_occupancy,Chloris sinica
psi(landcover_built),-0.8836271568213638,NA,NA,NA,initial_occupancy,Chloris sinica
col(Int),-20.092338549899626,NA,NA,NA,colonization,Chloris sinica
col(block_index),-22.027590637598806,NA,NA,NA,colonization,Chloris sinica
col(built_rep),7.242045550559473,NA,NA,NA,colonization,Chloris sinica
col(npp_rep),10.271570871815616,NA,NA,NA,colonization,Chloris sinica
ext(Int),-7.790802279262209,NA,NA,NA,extinction,Chloris sinica
ext(block_index),1.0233659113409321,NA,NA,NA,extinction,Chloris sinica
ext(built_rep),0.3577164151340315,NA,NA,NA,extinction,Chloris sinica
ext(bio4),-0.9103745979269346,NA,NA,NA,extinction,Chloris sinica
p(Int),-2.738310635424833,NA,NA,NA,other,Chloris sinica
p(log_events),0.9197098167346388,NA,NA,NA,other,Chloris sinica
p(log_observers),0.19350807147699478,NA,NA,NA,other,Chloris sinica
p(duration_min),-3.0240707640553905e-8,NA,NA,NA,other,Chloris sinica
psi(Int),1.60066171766194,NA,NA,NA,initial_occupancy,Ardeola bacchus
psi(bio4),0.19862548494242016,NA,NA,NA,initial_occupancy,Ardeola bacchus
psi(elev_sd),0.11223053543654668,NA,NA,NA,initial_occupancy,Ardeola bacchus
psi(texture_shannon),-1.4909099304817899,NA,NA,NA,initial_occupancy,Ardeola bacchus
psi(npp_mean),-0.8874963413606936,NA,NA,NA,initial_occupancy,Ardeola bacchus
psi(landcover_built),0.05868658644823106,NA,NA,NA,initial_occupancy,Ardeola bacchus
col(Int),-1.97078443531168,NA,NA,NA,colonization,Ardeola bacchus
col(block_index),-6.888781740301262,NA,NA,NA,colonization,Ardeola bacchus
col(built_rep),-0.5805724284784768,NA,NA,NA,colonization,Ardeola bacchus
col(npp_rep),0.7738257463404131,NA,NA,NA,colonization,Ardeola bacchus
ext(Int),-4.049127814005847,NA,NA,NA,extinction,Ardeola bacchus
ext(block_index),-0.028944658685682325,NA,NA,NA,extinction,Ardeola bacchus
ext(built_rep),0.9261977344163886,NA,NA,NA,extinction,Ardeola bacchus
ext(bio4),-3.453222355702893,NA,NA,NA,extinction,Ardeola bacchus
p(Int),-2.9885952816395553,NA,NA,NA,other,Ardeola bacchus
p(log_events),1.1411048488997984,NA,NA,NA,other,Ardeola bacchus
p(log_observers),0.0545280559058414,NA,NA,NA,other,Ardeola bacchus
p(duration_min),1.5172938017792446e-7,NA,NA,NA,other,Ardeola bacchus
psi(Int),2.103059158353588,NA,NA,NA,initial_occupancy,Anthus hodgsoni
psi(bio4),0.2706532985673797,NA,NA,NA,initial_occupancy,Anthus hodgsoni
psi(elev_sd),-0.2569444995197255,NA,NA,NA,initial_occupancy,Anthus hodgsoni
psi(texture_shannon),0.35365981966884985,NA,NA,NA,initial_occupancy,Anthus hodgsoni
psi(npp_mean),-0.820198599925266,NA,NA,NA,initial_occupancy,Anthus hodgsoni
psi(landcover_built),-0.5096228141834066,NA,NA,NA,initial_occupancy,Anthus hodgsoni
col(Int),-3.031184375149239,NA,NA,NA,colonization,Anthus hodgsoni
col(block_index),-9.82380737311363,NA,NA,NA,colonization,Anthus hodgsoni
