term,estimate,std.error,z_statistic,p_value,component,species
col(block_index),0.17019741499954247,NA,NA,NA,colonization,Phoenicurus auroreus
col(built_rep),-0.40625708107973707,NA,NA,NA,colonization,Phoenicurus auroreus
col(npp_rep),0.07974318403385922,NA,NA,NA,colonization,Phoenicurus auroreus
ext(Int),-2.1007608176814476,NA,NA,NA,extinction,Phoenicurus auroreus
ext(block_index),-0.68617652742773,NA,NA,NA,extinction,Phoenicurus auroreus
ext(built_rep),0.7358499737524828,NA,NA,NA,extinction,Phoenicurus auroreus
ext(bio4),-3.280211334956797,NA,NA,NA,extinction,Phoenicurus auroreus
p(Int),-2.647832966860048,NA,NA,NA,other,Phoenicurus auroreus
p(log_events),1.2227217945568398,NA,NA,NA,other,Phoenicurus auroreus
p(log_observers),0.09023846799342242,NA,NA,NA,other,Phoenicurus auroreus
p(duration_min),1.4447052876832308e-7,NA,NA,NA,other,Phoenicurus auroreus
psi(Int),1.6449197933632032,NA,NA,NA,initial_occupancy,Spilopelia chinensis
psi(bio4),5.3331366717202195,NA,NA,NA,initial_occupancy,Spilopelia chinensis
psi(elev_sd),-1.0289092561603026,NA,NA,NA,initial_occupancy,Spilopelia chinensis
psi(texture_shannon),0.28751057555904835,NA,NA,NA,initial_occupancy,Spilopelia chinensis
psi(npp_mean),-2.8842310483871825,NA,NA,NA,initial_occupancy,Spilopelia chinensis
psi(landcover_built),-0.742297872470624,NA,NA,NA,initial_occupancy,Spilopelia chinensis
col(Int),0.05648909569816171,NA,NA,NA,colonization,Spilopelia chinensis
col(block_index),-8.65885704601451,NA,NA,NA,colonization,Spilopelia chinensis
col(built_rep),-5.6706380838992025,NA,NA,NA,colonization,Spilopelia chinensis
col(npp_rep),0.5207452877440403,NA,NA,NA,colonization,Spilopelia chinensis
ext(Int),-1.1868420228521892,NA,NA,NA,extinction,Spilopelia chinensis
ext(block_index),-1.0042145405390022,NA,NA,NA,extinction,Spilopelia chinensis
ext(built_rep),-0.015729952803617244,NA,NA,NA,extinction,Spilopelia chinensis
ext(bio4),0.46586605834306866,NA,NA,NA,extinction,Spilopelia chinensis
p(Int),-2.291838171597888,NA,NA,NA,other,Spilopelia chinensis
p(log_events),0.9020599086207298,NA,NA,NA,other,Spilopelia chinensis
p(log_observers),0.3220439881953505,NA,NA,NA,other,Spilopelia chinensis
p(duration_min),-5.24514022965017e-8,NA,NA,NA,other,Spilopelia chinensis
psi(Int),1.5198951807893324,NA,NA,NA,initial_occupancy,Falco tinnunculus
psi(bio4),0.7929113514878126,NA,NA,NA,initial_occupancy,Falco tinnunculus
psi(elev_sd),0.9312737493224408,NA,NA,NA,initial_occupancy,Falco tinnunculus
psi(texture_shannon),-0.5889219205213511,NA,NA,NA,initial_occupancy,Falco tinnunculus
psi(npp_mean),0.8570975398551156,NA,NA,NA,initial_occupancy,Falco tinnunculus
psi(landcover_built),1.5105577827567747,NA,NA,NA,initial_occupancy,Falco tinnunculus
col(Int),-3.9757628515356496,NA,NA,NA,colonization,Falco tinnunculus
col(block_index),0.7483874056895712,NA,NA,NA,colonization,Falco tinnunculus
col(built_rep),3.542320324704747,NA,NA,NA,colonization,Falco tinnunculus
col(npp_rep),-11.379808633969217,NA,NA,NA,colonization,Falco tinnunculus
ext(Int),-1.9923092342625828,NA,NA,NA,extinction,Falco tinnunculus
ext(block_index),-0.6357999278983609,NA,NA,NA,extinction,Falco tinnunculus
ext(built_rep),-1.2857330328296221,NA,NA,NA,extinction,Falco tinnunculus
ext(bio4),-0.5694803911857499,NA,NA,NA,extinction,Falco tinnunculus
p(Int),-2.6133422038667664,NA,NA,NA,other,Falco tinnunculus
p(log_events),0.8581080170090333,NA,NA,NA,other,Falco tinnunculus
