grid_cell,block_id,block_label,centroid_lon,centroid_lat,detection_prob_comm_mean,detection_prob_comm_median,detection_prob_comm_l95,detection_prob_comm_u95,log_events_ref,log_observers_ref,duration_min_ref
55,3,2010-2014,121.76672167788523,53.220628624847755,NA,NA,NA,NA,0.6931471805599453,0.6931471805599453,NA
56,3,2010-2014,122.6259880512578,53.26185729168209,NA,NA,NA,NA,0.6931471805599453,0.6931471805599453,NA
56,5,2020-2024,122.6259880512578,53.26185729168209,0.3484567312663521,0.348075142594631,0.21468889831383306,0.5098607945032613,2.585241997519076,2.381086967398878,191.26666666666665
57,3,2010-2014,123.50381425901432,53.28723680119337,NA,NA,NA,NA,1.0986122886681098,0.6931471805599453,NA
57,5,2020-2024,123.50381425901432,53.28723680119337,0.2713245631792845,0.2600947840538894,0.07398600163902817,0.5811730428058154,2.1383330595080277,2.0126758453675744,399.4047619047619
128,3,2010-2014,122.62003628231469,52.82123800100551,NA,NA,NA,NA,0.6931471805599453,0.6931471805599453,NA
128,4,2015-2019,122.62003628231469,52.82123800100551,NA,NA,NA,NA,0.6931471805599453,0.6931471805599453,NA
128,5,2020-2024,122.62003628231469,52.82123800100551,0.20156485513378697,0.20204466409066046,0.1484111969178451,0.2668229190116825,1.791759469228055,1.7005986908310775,94.25
129,5,2020-2024,123.51835156643419,52.82123800100551,0.11502405319813132,0.11546121225421203,0.09077990121159978,0.14220668693904218,1.0986122886681098,1.0986122886681098,60
130,5,2020-2024,124.41644529384645,52.82108709522525,0.08040630164076219,0.08033214644587716,0.06303523420246096,0.10004928093486849,0.6931471805599453,0.6931471805599453,60
198,5,2020-2024,120.96829322790097,52.282076961806844,NA,NA,NA,NA,0.6931471805599453,0.6931471805599453,NA
199,4,2015-2019,121.72172099819515,52.27498606676315,NA,NA,NA,NA,2.1972245773362196,1.0986122886681098,NA
199,5,2020-2024,121.72172099819515,52.27498606676315,0.17503104541715653,0.1758388867923401,0.13824055118250667,0.21711976766486235,1.666102255087602,1.1512925464970227,63.333333333333336
203,5,2020-2024,125.31498213467323,52.27498606676315,0.3126746072843939,0.08896728022879924,1.6487169145608178e-5,0.9968974570103841,1.0986122886681098,1.0986122886681098,2259
204,5,2020-2024,126.03928756661632,52.24244350881215,0.08040630164076219,0.08033214644587716,0.06303523420246096,0.10004928093486849,0.6931471805599453,0.6931471805599453,60
270,3,2010-2014,120.8482612732761,51.70552270449054,0.3166488603304651,0.05712285080136907,1.1575591213839914e-6,0.9993198033225512,0.6931471805599453,0.6931471805599453,2820
270,4,2015-2019,120.8482612732761,51.70552270449054,0.11432542816467216,0.07486574116969338,0.007451477617039551,0.4343009408935076,0.6931471805599453,0.6931471805599453,630
270,5,2020-2024,120.8482612732761,51.70552270449054,0.3552219755672966,0.19241276799604828,2.7426182314520774e-4,0.9928047959235509,1.9356005054539454,1.9356005054539454,1767.9333333333334
271,3,2010-2014,121.72172099819515,51.72191801112358,NA,NA,NA,NA,0.6931471805599453,0.6931471805599453,NA
271,4,2015-2019,121.72172099819515,51.72191801112358,NA,NA,NA,NA,1.0986122886681098,1.0986122886681098,NA
271,5,2020-2024,121.72172099819515,51.72191801112358,0.2945818431845843,0.19449882794490977,0.004094753899110302,0.9182389279646375,1.9033312448851598,1.4978661367769954,1070.625
272,3,2010-2014,122.62003628231469,51.72191801112358,NA,NA,NA,NA,0.6931471805599453,0.6931471805599453,NA
272,4,2015-2019,122.62003628231469,51.72191801112358,NA,NA,NA,NA,0.6931471805599453,0.6931471805599453,NA
272,5,2020-2024,122.62003628231469,51.72191801112358,0.125078659516158,0.112766018145047,0.03423460103614452,0.29586585546687016,1.0986122886681098,1.0986122886681098,345
274,5,2020-2024,124.41666685055372,51.72191801112358,0.11581851042288101,0.11527524442907727,0.10354605234138907,0.1306577181942167,1.0986122886681098,1.0986122886681098,5
