species,phylo_species,bridge_type,in_phylogeny
Abroscopus albogularis,Abroscopus albogularis,direct,TRUE
Accipiter gentilis,Accipiter gentilis,direct,FALSE
Accipiter nisus,Accipiter nisus,direct,TRUE
Accipiter soloensis,Accipiter soloensis,direct,FALSE
Accipiter trivirgatus,Lophospiza trivirgata,manual_bridge,TRUE
Accipiter virgatus,Accipiter virgatus,direct,FALSE
Acridotheres cristatellus,Acridotheres cristatellus,direct,TRUE
Acrocephalus orientalis,Acrocephalus orientalis,direct,TRUE
Actitis hypoleucos,Actitis hypoleucos,direct,TRUE
Aegithalos concinnus,Aegithalos concinnus,direct,TRUE
Aegithalos glaucogularis,Aegithalos glaucogularis,direct,TRUE
Aix galericulata,Aix galericulata,direct,TRUE
Alauda arvensis,Alauda arvensis,direct,TRUE
Alauda gulgula,Alauda gulgula,direct,TRUE
Alcedo atthis,Alcedo atthis,direct,TRUE
Amaurornis phoenicurus,Amaurornis phoenicurus,direct,TRUE
Anas acuta,Anas acuta,direct,TRUE
Anas carolinensis,Anas crecca,manual_bridge,TRUE
Anas platyrhynchos,Anas platyrhynchos,direct,TRUE
Anas zonorhyncha,Anas zonorhyncha,direct,TRUE
Anser anser,Anser anser,direct,TRUE
Anthus hodgsoni,Anthus hodgsoni,direct,TRUE
Anthus richardi,Anthus richardi,direct,TRUE
Anthus rubescens,Anthus rubescens,direct,TRUE
Anthus spinoletta,Anthus spinoletta,direct,TRUE
Apus apus,Apus apus,direct,TRUE
Apus nipalensis,Apus nipalensis,direct,TRUE
Apus pacificus,Apus pacificus,direct,TRUE
Aquila chrysaetos,Aquila chrysaetos,direct,TRUE
Ardea alba,Ardea alba,direct,TRUE
Ardea cinerea,Ardea cinerea,direct,TRUE
Ardea intermedia,Ardea intermedia,direct,TRUE
Ardea purpurea,Ardea purpurea,direct,TRUE
Ardeola bacchus,Ardeola bacchus,direct,TRUE
Aythya ferina,Aythya ferina,direct,TRUE
Aythya fuligula,Aythya fuligula,direct,TRUE
Aythya nyroca,Aythya nyroca,direct,TRUE
Bambusicola thoracicus,Bambusicola thoracicus,direct,TRUE
Bubulcus coromandus,Ardea coromanda,manual_bridge,TRUE
Buteo hemilasius,Buteo hemilasius,direct,TRUE
Buteo japonicus,Buteo japonicus,direct,TRUE
Butorides striata,Butorides striata,direct,TRUE
Calidris temminckii,Calidris temminckii,direct,TRUE
Carpodacus erythrinus,Carpodacus erythrinus,direct,TRUE
Cecropis daurica,Cecropis daurica,direct,TRUE
Ceryle rudis,Ceryle rudis,direct,TRUE
Charadrius alexandrinus,Anarhynchus alexandrinus,manual_bridge,TRUE
Charadrius dubius,Thinornis dubius,manual_bridge,TRUE
Chlidonias hybrida,Chlidonias hybrida,direct,TRUE
Chlidonias leucopterus,Chlidonias leucopterus,direct,TRUE
Chloris sinica,Chloris sinica,direct,TRUE
Chroicocephalus ridibundus,Chroicocephalus ridibundus,direct,TRUE
Cinclus pallasii,Cinclus pallasii,direct,TRUE
Circus cyaneus,Circus cyaneus,direct,TRUE
Circus spilonotus,Circus spilonotus,direct,TRUE
Cisticola juncidis,Cisticola juncidis,direct,TRUE
Columba livia,Columba livia,direct,TRUE
Columba rupestris,Columba rupestris,direct,TRUE
Copsychus saularis,Copsychus saularis,direct,TRUE
Corvus corax,Corvus corax,direct,TRUE
Corvus corone,Corvus corone,direct,TRUE
Corvus macrorhynchos,Corvus macrorhynchos,direct,TRUE
Cuculus canorus,Cuculus canorus,direct,TRUE
Cuculus micropterus,Cuculus micropterus,direct,TRUE
Culicicapa ceylonensis,Culicicapa ceylonensis,direct,TRUE
Cyanopica cyanus,Cyanopica cyanus,direct,TRUE
Delichon dasypus,Delichon dasypus,direct,TRUE
Dendrocitta formosae,Dendrocitta formosae,direct,TRUE
Dendrocopos major,Dendrocopos major,direct,TRUE
Dicrurus hottentottus,Dicrurus hottentottus,direct,TRUE
Dicrurus leucophaeus,Dicrurus leucophaeus,direct,TRUE
Dicrurus macrocercus,Dicrurus macrocercus,direct,TRUE
Egretta garzetta,Egretta garzetta,direct,TRUE
Elanus caeruleus,Elanus caeruleus,direct,TRUE
Emberiza cioides,Emberiza cioides,direct,TRUE
Emberiza elegans,Emberiza elegans,direct,TRUE
Emberiza godlewskii,Emberiza godlewskii,direct,TRUE
Emberiza pusilla,Emberiza pusilla,direct,TRUE
Emberiza spodocephala,Emberiza spodocephala,direct,TRUE
Emberiza tristrami,Emberiza tristrami,direct,TRUE
Enicurus leschenaulti,Enicurus leschenaulti,direct,TRUE
Eophona migratoria,Eophona migratoria,direct,TRUE
Eremophila alpestris,Eremophila alpestris,direct,TRUE
Eudynamys scolopaceus,Eudynamys scolopaceus,direct,TRUE
Falco amurensis,Falco amurensis,direct,TRUE
Falco peregrinus,Falco peregrinus,direct,TRUE
Falco subbuteo,Falco subbuteo,direct,TRUE
Falco tinnunculus,Falco tinnunculus,direct,TRUE
Ficedula albicilla,Ficedula albicilla,direct,TRUE
Fringilla montifringilla,Fringilla montifringilla,direct,TRUE
