parameter,rhat,ess_bulk
b_Intercept,1.1047706153422323,109.38095534962268
b_z_bio4,1.1181381437760263,76.79139297212407
b_z_elev_sd,1.1119114781709023,70.5679110027952
b_z_texture_shannon,1.109493018776086,55.17373735818372
b_z_npp_mean,1.116490875458769,107.82371775328903
b_z_landcover_built,1.1303483051791663,69.15267608037
b_z_habitat_diversity_shannon,1.1084073165360708,76.97379383921745
b_z_hfi_mean,1.1116174123956701,178.31972554337628
b_z_centroid_lat,1.1114184478817295,106.90707242941654
sigma,3.092077842132404,4.515835991219146
Intercept,1.1103029301154685,96.7271411695834
lprior,NA,NA
lp__,2.966520557922554,4.564653632799552
