grid_cell,block_label,source_short,n_events,n_observers,n_dates,mean_duration_min
2627,2010-2014,eBird_GBIF,101,45,91,NA
2573,2010-2014,eBird_GBIF,478,64,403,NA
2787,2010-2014,eBird_GBIF,36,16,27,NA
2555,2010-2014,eBird_GBIF,182,97,154,NA
2634,2010-2014,eBird_GBIF,34,12,15,NA
2635,2010-2014,eBird_GBIF,22,6,19,NA
2630,2010-2014,eBird_GBIF,22,14,22,NA
2703,2010-2014,eBird_GBIF,8,1,8,NA
2271,2010-2014,eBird_GBIF,73,42,60,NA
2930,2010-2014,China_Birdwatch,1,1,1,2580
2647,2010-2014,China_Birdwatch,5,2,5,817.3728813559322
2858,2010-2014,eBird_GBIF,44,15,31,NA
2994,2010-2014,eBird_GBIF,52,36,50,NA
2786,2010-2014,eBird_GBIF,4,2,4,NA
2340,2010-2014,eBird_GBIF,39,18,33,NA
2573,2010-2014,China_Birdwatch,5,4,5,1005.5844155844156
2272,2010-2014,China_Birdwatch,2,2,2,615.8490566037735
2483,2010-2014,eBird_GBIF,57,31,51,NA
2272,2010-2014,eBird_GBIF,55,19,40,NA
3345,2010-2014,eBird_GBIF,38,10,37,NA
2643,2010-2014,eBird_GBIF,82,37,74,NA
3004,2010-2014,eBird_GBIF,2,2,2,NA
2932,2010-2014,eBird_GBIF,47,29,46,NA
2423,2010-2014,eBird_GBIF,67,30,53,NA
2426,2010-2014,eBird_GBIF,46,7,45,NA
2646,2010-2014,eBird_GBIF,8,2,8,NA
2693,2010-2014,eBird_GBIF,7,4,6,NA
2715,2010-2014,eBird_GBIF,31,17,23,NA
2637,2010-2014,eBird_GBIF,27,10,23,NA
2790,2010-2014,eBird_GBIF,7,2,7,NA
2557,2010-2014,eBird_GBIF,2,2,1,NA
2788,2010-2014,eBird_GBIF,15,3,15,NA
2572,2010-2014,eBird_GBIF,29,12,24,NA
2423,2010-2014,China_Birdwatch,3,2,3,1895.1401273885351
2647,2010-2014,eBird_GBIF,42,3,42,NA
2910,2010-2014,eBird_GBIF,3,2,3,NA
2644,2010-2014,eBird_GBIF,15,7,13,NA
2626,2010-2014,eBird_GBIF,151,51,107,NA
2267,2010-2014,eBird_GBIF,121,54,84,NA
3272,2010-2014,eBird_GBIF,92,33,84,NA
2787,2010-2014,China_Birdwatch,2,2,2,4947.272727272727
2617,2010-2014,eBird_GBIF,9,6,9,NA
2266,2010-2014,eBird_GBIF,56,24,46,NA
2702,2010-2014,eBird_GBIF,2,2,2,NA
2981,2010-2014,eBird_GBIF,104,24,71,NA
2918,2010-2014,China_Birdwatch,14,4,14,118.52534562211979
3344,2010-2014,eBird_GBIF,8,6,6,NA
3052,2010-2014,eBird_GBIF,20,10,20,NA
3124,2010-2014,eBird_GBIF,42,24,31,NA
2706,2010-2014,eBird_GBIF,8,6,8,NA
2998,2010-2014,eBird_GBIF,4,2,3,NA
2926,2010-2014,eBird_GBIF,1,1,1,NA
2765,2010-2014,eBird_GBIF,29,7,29,NA
2855,2010-2014,eBird_GBIF,4,2,3,NA
2554,2010-2014,eBird_GBIF,54,31,45,NA
2699,2010-2014,eBird_GBIF,34,16,22,NA
2571,2010-2014,eBird_GBIF,16,13,16,NA
2989,2010-2014,eBird_GBIF,8,7,8,NA
2497,2010-2014,China_Birdwatch,2,2,2,203838.925
2927,2010-2014,eBird_GBIF,4,2,2,NA
2415,2010-2014,eBird_GBIF,1,1,1,NA
3280,2010-2014,eBird_GBIF,6,5,6,NA
2787,2015-2019,eBird_GBIF,35,24,29,NA
2932,2015-2019,eBird_GBIF,216,109,154,NA
2571,2015-2019,eBird_GBIF,75,46,69,NA
2858,2015-2019,eBird_GBIF,252,86,140,NA
2639,2015-2019,China_Birdwatch,3,3,3,913.8461538461538
3272,2015-2019,eBird_GBIF,324,79,242,NA
3569,2015-2019,eBird_GBIF,208,79,141,NA
2572,2015-2019,China_Birdwatch,12,8,12,2739.659016393443
3052,2015-2019,eBird_GBIF,395,111,200,NA
2643,2015-2019,eBird_GBIF,389,163,256,NA
2781,2015-2019,eBird_GBIF,103,35,88,NA
2647,2015-2019,China_Birdwatch,27,9,23,539.2654867256637
2483,2015-2019,eBird_GBIF,330,119,276,NA
2719,2015-2019,China_Birdwatch,28,2,28,4.556962025316448
2267,2015-2019,eBird_GBIF,185,87,109,NA
2573,2015-2019,eBird_GBIF,972,185,611,NA
2646,2015-2019,China_Birdwatch,20,7,20,1520.602409638556
2789,2015-2019,China_Birdwatch,13,2,13,794.3918918918921
2715,2015-2019,China_Birdwatch,6,5,6,347.30769230769226
2643,2015-2019,China_Birdwatch,35,24,32,49004.5746606334
2573,2015-2019,China_Birdwatch,104,22,97,32104.81913499342
2572,2015-2019,eBird_GBIF,191,45,113,NA
2630,2015-2019,eBird_GBIF,170,63,159,NA
2718,2015-2019,China_Birdwatch,63,6,63,3288.877607788597
2271,2015-2019,eBird_GBIF,101,47,75,NA
2554,2015-2019,eBird_GBIF,181,77,120,NA
2340,2015-2019,eBird_GBIF,256,88,168,NA
2788,2015-2019,eBird_GBIF,31,10,26,NA
2776,2015-2019,China_Birdwatch,7,1,7,1122.8235294117646
2776,2015-2019,eBird_GBIF,50,8,50,NA
2626,2015-2019,eBird_GBIF,374,125,186,NA
2555,2015-2019,China_Birdwatch,124,17,117,46648.64197530866
2555,2015-2019,eBird_GBIF,740,279,541,NA
2994,2015-2019,eBird_GBIF,82,55,71,NA
2998,2015-2019,eBird_GBIF,11,3,6,NA
2417,2015-2019,China_Birdwatch,2,1,2,4740
2201,2015-2019,China_Birdwatch,106,14,98,30605.4627930683
2926,2015-2019,eBird_GBIF,28,7,14,NA
2423,2015-2019,eBird_GBIF,415,115,279,NA
2644,2015-2019,eBird_GBIF,29,18,24,NA
2631,2015-2019,China_Birdwatch,2,1,2,2379.1935483870966
2647,2015-2019,eBird_GBIF,64,31,50,NA
2483,2015-2019,China_Birdwatch,15,9,15,215859.93243243234
2427,2015-2019,China_Birdwatch,9,6,9,442.7542372881357
2711,2015-2019,eBird_GBIF,7,3,7,NA
2637,2015-2019,China_Birdwatch,32,11,30,26528.178980228906
2637,2015-2019,eBird_GBIF,40,23,30,NA
2701,2015-2019,eBird_GBIF,7,4,7,NA
2701,2015-2019,China_Birdwatch,2,2,2,34.28571428571426
3124,2015-2019,eBird_GBIF,145,67,66,NA
2484,2015-2019,eBird_GBIF,97,50,80,NA
3569,2015-2019,China_Birdwatch,19,13,19,37445.934397163124
3142,2015-2019,eBird_GBIF,64,35,46,NA
2765,2015-2019,eBird_GBIF,91,29,48,NA
2790,2015-2019,eBird_GBIF,82,13,79,NA
2777,2015-2019,China_Birdwatch,8,4,8,886.3358208955224
2716,2015-2019,China_Birdwatch,4,3,4,1787.8260869565215
2787,2015-2019,China_Birdwatch,4,4,4,137806.76923076925
2923,2015-2019,eBird_GBIF,11,3,7,NA
2718,2015-2019,eBird_GBIF,28,7,28,NA
2635,2015-2019,eBird_GBIF,25,12,24,NA
2563,2015-2019,eBird_GBIF,19,18,15,NA
3075,2015-2019,eBird_GBIF,197,59,169,NA
2646,2015-2019,eBird_GBIF,33,16,31,NA
3053,2015-2019,eBird_GBIF,501,150,283,NA
2567,2015-2019,China_Birdwatch,180,23,168,19258.546543779707
2930,2015-2019,China_Birdwatch,28,15,27,2165.846347607053
2493,2015-2019,eBird_GBIF,41,23,6,NA
2627,2015-2019,eBird_GBIF,98,49,88,NA
2494,2015-2019,eBird_GBIF,9,8,7,NA
2714,2015-2019,eBird_GBIF,6,6,4,NA
2715,2015-2019,eBird_GBIF,153,100,95,NA
2713,2015-2019,eBird_GBIF,362,154,194,NA
2560,2015-2019,eBird_GBIF,29,27,23,NA
3079,2015-2019,China_Birdwatch,11,9,10,8917.971988795518
2707,2015-2019,China_Birdwatch,1,1,1,180
2574,2015-2019,eBird_GBIF,139,36,122,NA
2558,2015-2019,eBird_GBIF,5,2,5,NA
3134,2015-2019,eBird_GBIF,158,4,152,NA
2501,2015-2019,eBird_GBIF,158,45,129,NA
3279,2015-2019,eBird_GBIF,269,88,167,NA
2930,2015-2019,eBird_GBIF,116,55,79,NA
3058,2015-2019,eBird_GBIF,701,144,538,NA
2850,2015-2019,eBird_GBIF,74,3,74,NA
2918,2015-2019,eBird_GBIF,168,25,160,NA
2567,2015-2019,eBird_GBIF,236,69,212,NA
3150,2015-2019,China_Birdwatch,22,8,21,81931.7510204081
3222,2015-2019,China_Birdwatch,13,5,13,640.6472868217055
3069,2015-2019,eBird_GBIF,103,48,78,NA
3138,2015-2019,eBird_GBIF,13,5,10,NA
2427,2015-2019,eBird_GBIF,84,34,74,NA
2339,2015-2019,eBird_GBIF,140,69,107,NA
2423,2015-2019,China_Birdwatch,16,15,14,2760.593267882188
2858,2015-2019,China_Birdwatch,14,12,13,3454.122807017544
2626,2015-2019,China_Birdwatch,10,8,10,71426.12301587294
2789,2015-2019,eBird_GBIF,61,11,60,NA
2563,2015-2019,China_Birdwatch,2,1,2,2241.8478260869565
2636,2015-2019,eBird_GBIF,3,2,2,NA
2491,2015-2019,eBird_GBIF,51,38,43,NA
2853,2015-2019,China_Birdwatch,6,4,6,569.516129032258
2575,2015-2019,eBird_GBIF,43,15,41,NA
2781,2015-2019,China_Birdwatch,138,12,136,103251.57369402988
2490,2015-2019,eBird_GBIF,59,42,52,NA
3213,2015-2019,eBird_GBIF,211,48,134,NA
2645,2015-2019,eBird_GBIF,19,9,16,NA
2918,2015-2019,China_Birdwatch,49,7,49,112.25375626043403
2502,2015-2019,eBird_GBIF,599,159,479,NA
3214,2015-2019,eBird_GBIF,1196,193,702,NA
2932,2015-2019,China_Birdwatch,70,18,68,274027.93658088264
2629,2015-2019,eBird_GBIF,15,5,15,NA
2411,2015-2019,eBird_GBIF,22,12,17,NA
2778,2015-2019,eBird_GBIF,3,3,3,NA
3214,2015-2019,China_Birdwatch,181,32,167,29550.73576923068
3344,2015-2019,eBird_GBIF,15,9,9,NA
1997,2015-2019,eBird_GBIF,50,22,49,NA
1998,2015-2019,eBird_GBIF,51,22,48,NA
2931,2015-2019,eBird_GBIF,27,19,18,NA
2859,2015-2019,eBird_GBIF,5,5,4,NA
2710,2015-2019,eBird_GBIF,15,1,15,NA
2422,2015-2019,eBird_GBIF,5,4,4,NA
2482,2015-2019,eBird_GBIF,493,168,243,NA
2501,2015-2019,China_Birdwatch,3,3,3,47008.42857142856
2495,2015-2019,eBird_GBIF,37,20,33,NA
2561,2015-2019,eBird_GBIF,4,2,4,NA
2625,2015-2019,eBird_GBIF,135,69,80,NA
2775,2015-2019,China_Birdwatch,15,13,13,2688.4144427001575
2491,2015-2019,China_Birdwatch,10,7,9,4531.185031185031
2775,2015-2019,eBird_GBIF,32,16,28,NA
2699,2015-2019,eBird_GBIF,24,8,16,NA
2201,2015-2019,eBird_GBIF,613,135,518,NA
2617,2015-2019,eBird_GBIF,24,17,18,NA
2618,2015-2019,eBird_GBIF,43,8,29,NA
2630,2015-2019,China_Birdwatch,20,6,20,1460.381322957199
3356,2015-2019,eBird_GBIF,29,14,25,NA
2981,2015-2019,eBird_GBIF,704,163,383,NA
2702,2015-2019,eBird_GBIF,15,7,12,NA
2412,2015-2019,eBird_GBIF,30,24,24,NA
2712,2015-2019,China_Birdwatch,24,11,24,2213.390243902434
3070,2015-2019,eBird_GBIF,21,12,19,NA
2485,2015-2019,eBird_GBIF,6,1,6,NA
2554,2015-2019,China_Birdwatch,9,6,9,721.512396694215
2490,2015-2019,China_Birdwatch,8,8,7,215804.03114186873
2484,2015-2019,China_Birdwatch,21,8,19,57212.28915662645
2618,2015-2019,China_Birdwatch,5,2,5,10673.211678832118
2428,2015-2019,China_Birdwatch,55,15,54,649.6942675159236
2627,2015-2019,China_Birdwatch,7,5,7,1743.9065420560748
3074,2015-2019,eBird_GBIF,22,10,21,NA
3570,2015-2019,eBird_GBIF,21,15,20,NA
2774,2015-2019,eBird_GBIF,18,3,18,NA
2571,2015-2019,China_Birdwatch,6,3,6,25452.35849056605
2200,2015-2019,China_Birdwatch,8,1,8,489.1370558375635
2634,2015-2019,eBird_GBIF,19,11,19,NA
2634,2015-2019,China_Birdwatch,3,3,3,4312.333333333333
2134,2015-2019,China_Birdwatch,162,7,151,11903.605252842057
2428,2015-2019,eBird_GBIF,302,100,246,NA
2703,2015-2019,eBird_GBIF,21,13,19,NA
3002,2015-2019,eBird_GBIF,6,5,5,NA
2986,2015-2019,eBird_GBIF,11,9,10,NA
1707,2015-2019,eBird_GBIF,650,77,344,NA
2717,2015-2019,eBird_GBIF,24,7,23,NA
2426,2015-2019,eBird_GBIF,33,18,31,NA
2502,2015-2019,China_Birdwatch,26,18,26,560.4448275862069
3002,2015-2019,China_Birdwatch,6,3,6,7107.758620689655
2635,2015-2019,China_Birdwatch,5,4,5,260
3071,2015-2019,eBird_GBIF,30,10,27,NA
2340,2015-2019,China_Birdwatch,3,3,3,4935.307692307692
2503,2015-2019,eBird_GBIF,2635,474,1113,NA
2416,2015-2019,eBird_GBIF,9,2,9,NA
2773,2015-2019,eBird_GBIF,5,2,5,NA
3345,2015-2019,eBird_GBIF,47,22,37,NA
3569,2020-2024,eBird_GBIF,511,144,248,NA
2643,2020-2024,eBird_GBIF,245,116,172,NA
2932,2020-2024,China_Birdwatch,3211,699,843,3251.2652143335863
2556,2020-2024,eBird_GBIF,244,44,173,NA
2930,2020-2024,eBird_GBIF,129,51,82,NA
2428,2020-2024,eBird_GBIF,827,163,531,NA
3124,2020-2024,eBird_GBIF,89,55,53,NA
2573,2020-2024,eBird_GBIF,5530,283,1269,NA
2647,2020-2024,China_Birdwatch,510,142,330,3788.6329906842657
3052,2020-2024,eBird_GBIF,423,93,220,NA
3058,2020-2024,eBird_GBIF,441,147,312,NA
2781,2020-2024,China_Birdwatch,5374,550,1211,473.95123736175157
2413,2020-2024,eBird_GBIF,10,10,6,NA
2484,2020-2024,eBird_GBIF,135,77,101,NA
2573,2020-2024,China_Birdwatch,11020,1265,1262,1037.0316963936066
2637,2020-2024,China_Birdwatch,414,171,228,538.70649762282
2932,2020-2024,eBird_GBIF,278,77,210,NA
2483,2020-2024,eBird_GBIF,319,107,234,NA
2341,2020-2024,eBird_GBIF,33,8,31,NA
2271,2020-2024,eBird_GBIF,131,51,94,NA
2340,2020-2024,eBird_GBIF,218,67,130,NA
2626,2020-2024,eBird_GBIF,457,115,256,NA
2555,2020-2024,eBird_GBIF,1227,194,739,NA
2630,2020-2024,eBird_GBIF,310,76,267,NA
2629,2020-2024,eBird_GBIF,28,6,21,NA
2415,2020-2024,eBird_GBIF,24,3,24,NA
2572,2020-2024,eBird_GBIF,544,95,345,NA
2555,2020-2024,China_Birdwatch,4781,782,1070,1196.0466027740988
2563,2020-2024,China_Birdwatch,1053,132,432,679.5308000000077
2210,2020-2024,eBird_GBIF,67,10,66,NA
2567,2020-2024,China_Birdwatch,6092,686,1192,1047.6259958602923
2918,2020-2024,eBird_GBIF,339,34,307,NA
2501,2020-2024,eBird_GBIF,462,66,371,NA
3142,2020-2024,eBird_GBIF,100,46,77,NA
2428,2020-2024,China_Birdwatch,7767,934,1004,1376.841390622092
2273,2020-2024,eBird_GBIF,10,1,10,NA
2483,2020-2024,China_Birdwatch,2222,512,761,2962.3270311545803
2636,2020-2024,China_Birdwatch,520,52,329,234.81288885475095
2424,2020-2024,eBird_GBIF,2,2,2,NA
2773,2020-2024,eBird_GBIF,9,7,9,NA
2422,2020-2024,China_Birdwatch,148,56,130,2661.24963872832
2272,2020-2024,eBird_GBIF,16,8,15,NA
2787,2020-2024,China_Birdwatch,312,122,220,2268.558116063903
2858,2020-2024,eBird_GBIF,94,51,58,NA
2575,2020-2024,eBird_GBIF,195,41,149,NA
2918,2020-2024,China_Birdwatch,775,204,511,1178.2418142604959
2637,2020-2024,eBird_GBIF,96,18,85,NA
1633,2020-2024,eBird_GBIF,13246,646,1439,NA
2930,2020-2024,China_Birdwatch,376,197,196,1328.8471875371777
2427,2020-2024,China_Birdwatch,688,256,272,1113.1225737121472
2715,2020-2024,eBird_GBIF,133,80,105,NA
2482,2020-2024,China_Birdwatch,870,364,404,1085.1932877563568
2788,2020-2024,eBird_GBIF,256,41,185,NA
2774,2020-2024,China_Birdwatch,36,19,34,86.97798165137615
2492,2020-2024,eBird_GBIF,10,2,10,NA
2643,2020-2024,China_Birdwatch,1329,574,530,678.8401463396565
2271,2020-2024,China_Birdwatch,775,298,361,2181.184281594651
2646,2020-2024,eBird_GBIF,213,34,184,NA
2482,2020-2024,eBird_GBIF,354,110,197,NA
2429,2020-2024,China_Birdwatch,2629,306,819,593.5292724540526
2502,2020-2024,eBird_GBIF,2765,235,1113,NA
2554,2020-2024,eBird_GBIF,169,56,96,NA
2775,2020-2024,China_Birdwatch,295,129,184,2826.0577521101673
2789,2020-2024,eBird_GBIF,396,26,364,NA
1632,2020-2024,eBird_GBIF,793,175,377,NA
2770,2020-2024,eBird_GBIF,2,2,2,NA
2339,2020-2024,eBird_GBIF,120,39,77,NA
2571,2020-2024,eBird_GBIF,73,25,65,NA
2628,2020-2024,eBird_GBIF,19,9,17,NA
2628,2020-2024,China_Birdwatch,213,44,174,464.5532757379406
2718,2020-2024,eBird_GBIF,161,24,145,NA
2412,2020-2024,eBird_GBIF,48,17,29,NA
2423,2020-2024,China_Birdwatch,692,326,303,2306.9763691965563
2426,2020-2024,eBird_GBIF,540,31,421,NA
2491,2020-2024,eBird_GBIF,62,22,51,NA
2491,2020-2024,China_Birdwatch,620,204,306,1768.849450938742
3004,2020-2024,China_Birdwatch,611,196,329,711.8958093924854
2429,2020-2024,eBird_GBIF,328,40,301,NA
2561,2020-2024,eBird_GBIF,12,5,12,NA
2618,2020-2024,eBird_GBIF,403,62,208,NA
2858,2020-2024,China_Birdwatch,242,131,133,1096.9227328809388
2627,2020-2024,eBird_GBIF,78,43,54,NA
2716,2020-2024,eBird_GBIF,378,38,313,NA
2634,2020-2024,eBird_GBIF,19,11,18,NA
2717,2020-2024,eBird_GBIF,401,34,337,NA
3214,2020-2024,eBird_GBIF,1750,219,889,NA
2423,2020-2024,eBird_GBIF,203,43,158,NA
2554,2020-2024,China_Birdwatch,496,249,310,745.8042978625562
2989,2020-2024,eBird_GBIF,9,7,9,NA
2700,2020-2024,eBird_GBIF,14,11,7,NA
2981,2020-2024,eBird_GBIF,521,127,244,NA
2490,2020-2024,China_Birdwatch,1031,269,468,1592.22563783445
2490,2020-2024,eBird_GBIF,107,29,91,NA
2703,2020-2024,China_Birdwatch,153,78,113,666.5072751322749
2641,2020-2024,China_Birdwatch,295,181,184,395.5915157292653
2201,2020-2024,eBird_GBIF,119,59,106,NA
2618,2020-2024,China_Birdwatch,1105,238,338,3812.810642258768
2646,2020-2024,China_Birdwatch,340,124,252,1843.687099725543
3069,2020-2024,eBird_GBIF,72,29,56,NA
2641,2020-2024,eBird_GBIF,88,28,78,NA
3002,2020-2024,eBird_GBIF,20,11,20,NA
2712,2020-2024,eBird_GBIF,110,45,74,NA
2713,2020-2024,eBird_GBIF,327,114,194,NA
2502,2020-2024,China_Birdwatch,4284,830,919,1021.3973486508971
2617,2020-2024,eBird_GBIF,207,58,122,NA
2846,2020-2024,eBird_GBIF,3,2,3,NA
2919,2020-2024,China_Birdwatch,33,19,31,171.79012345679013
3280,2020-2024,eBird_GBIF,48,25,35,NA
2574,2020-2024,China_Birdwatch,2472,452,874,851.9401352905485
2503,2020-2024,eBird_GBIF,3868,416,1194,NA
2627,2020-2024,China_Birdwatch,213,128,166,1162.9623225806577
2702,2020-2024,eBird_GBIF,71,36,51,NA
3208,2020-2024,eBird_GBIF,97,34,90,NA
2567,2020-2024,eBird_GBIF,932,92,599,NA
3062,2020-2024,eBird_GBIF,4,2,4,NA
2850,2020-2024,eBird_GBIF,22,3,22,NA
2850,2020-2024,China_Birdwatch,228,19,194,121.70547533092655
2340,2020-2024,China_Birdwatch,676,251,337,2755.7318427797945
3569,2020-2024,China_Birdwatch,1070,446,408,1571.3492985805676
2630,2020-2024,China_Birdwatch,2640,384,848,983.3319292967349
2787,2020-2024,eBird_GBIF,67,19,63,NA
3002,2020-2024,China_Birdwatch,143,75,101,1923.1680408323502
3134,2020-2024,eBird_GBIF,872,6,555,NA
2420,2020-2024,China_Birdwatch,161,62,125,211.74704618689586
2707,2020-2024,eBird_GBIF,2,1,2,NA
2779,2020-2024,China_Birdwatch,33,10,31,226.5296296296296
2640,2020-2024,China_Birdwatch,283,186,142,285.5853852263702
2709,2020-2024,eBird_GBIF,12,3,12,NA
2424,2020-2024,China_Birdwatch,39,26,33,226.05503144654057
3074,2020-2024,China_Birdwatch,135,65,108,27600.093220338997
3069,2020-2024,China_Birdwatch,248,144,162,2590.3636863319734
2493,2020-2024,eBird_GBIF,14,10,10,NA
2497,2020-2024,China_Birdwatch,97,55,72,370.3789308176087
3075,2020-2024,eBird_GBIF,345,89,285,NA
2495,2020-2024,eBird_GBIF,139,35,121,NA
2495,2020-2024,China_Birdwatch,1309,285,509,412.4377961365568
2644,2020-2024,China_Birdwatch,190,112,155,1157.927152317877
2427,2020-2024,eBird_GBIF,96,49,74,NA
2718,2020-2024,China_Birdwatch,631,114,375,273.45723897011203
2412,2020-2024,China_Birdwatch,131,71,89,11326.525862069017
2645,2020-2024,China_Birdwatch,348,117,240,713.1097583817098
2785,2020-2024,eBird_GBIF,85,5,82,NA
2920,2020-2024,China_Birdwatch,60,34,52,250.6672297297297
2853,2020-2024,eBird_GBIF,15,4,14,NA
2773,2020-2024,China_Birdwatch,35,14,26,1063.337701612901
2853,2020-2024,China_Birdwatch,203,55,167,27348.898161947192
2861,2020-2024,China_Birdwatch,392,121,248,454.0211247086246
2503,2020-2024,China_Birdwatch,8388,941,1204,2908.7701934574015
2645,2020-2024,eBird_GBIF,189,32,176,NA
2426,2020-2024,China_Birdwatch,1427,244,539,3622.2586266689614
2765,2020-2024,eBird_GBIF,39,16,29,NA
2917,2020-2024,China_Birdwatch,28,16,28,8701.404517453795
2781,2020-2024,eBird_GBIF,162,55,133,NA
2572,2020-2024,China_Birdwatch,820,341,369,459.135825899914
2713,2020-2024,China_Birdwatch,2330,760,616,4445.204752425748
2786,2020-2024,China_Birdwatch,125,65,63,4751.974397590342
2786,2020-2024,eBird_GBIF,12,7,7,NA
2919,2020-2024,eBird_GBIF,11,4,11,NA
3356,2020-2024,eBird_GBIF,33,21,26,NA
2568,2020-2024,China_Birdwatch,151,41,112,132.98735511064277
2712,2020-2024,China_Birdwatch,1347,430,452,2530.607081409041
2266,2020-2024,eBird_GBIF,70,30,51,NA
2716,2020-2024,China_Birdwatch,254,111,186,506.6140109890108
2647,2020-2024,eBird_GBIF,409,52,344,NA
2497,2020-2024,eBird_GBIF,41,10,36,NA
2626,2020-2024,China_Birdwatch,1660,624,495,1115.4279234785467
2501,2020-2024,China_Birdwatch,1570,291,572,443.86141450312965
2499,2020-2024,China_Birdwatch,231,68,166,17857.46119047628
2708,2020-2024,eBird_GBIF,9,4,8,NA
2775,2020-2024,eBird_GBIF,61,23,40,NA
3056,2020-2024,eBird_GBIF,101,57,66,NA
2702,2020-2024,China_Birdwatch,169,94,119,4702.513175767452
2556,2020-2024,China_Birdwatch,836,246,385,423.49564680880474
2562,2020-2024,eBird_GBIF,1,1,1,NA
2355,2020-2024,eBird_GBIF,7,6,7,NA
3075,2020-2024,China_Birdwatch,3615,456,1017,3316.1463267193417
2204,2020-2024,China_Birdwatch,289,52,193,425.9928774928782
2789,2020-2024,China_Birdwatch,421,114,258,221.96609152288016
2710,2020-2024,eBird_GBIF,15,7,15,NA
2926,2020-2024,China_Birdwatch,38,20,36,24699.948936170225
2776,2020-2024,eBird_GBIF,26,7,22,NA
2788,2020-2024,China_Birdwatch,400,114,209,796.4252683732558
2347,2020-2024,eBird_GBIF,13,9,12,NA
2635,2020-2024,China_Birdwatch,679,57,360,175.12635973422792
2991,2020-2024,China_Birdwatch,57,43,55,265.20754716981133
2575,2020-2024,China_Birdwatch,266,111,185,1209.3567040115684
2419,2020-2024,China_Birdwatch,1277,68,526,101.5235241234641
2644,2020-2024,eBird_GBIF,152,37,130,NA
2701,2020-2024,China_Birdwatch,157,28,134,355.96033728919616
2847,2020-2024,eBird_GBIF,5,2,5,NA
2701,2020-2024,eBird_GBIF,6,2,6,NA
3138,2020-2024,eBird_GBIF,38,7,38,NA
3138,2020-2024,China_Birdwatch,51,25,34,1788.663972286374
2859,2020-2024,China_Birdwatch,93,35,77,403.9145873320548
3278,2020-2024,eBird_GBIF,13,10,10,NA
3279,2020-2024,China_Birdwatch,918,372,414,1406.3714842059744
2617,2020-2024,China_Birdwatch,747,261,298,690.0328914004205
3279,2020-2024,eBird_GBIF,240,92,153,NA
3208,2020-2024,China_Birdwatch,1158,258,507,254.3718865755527
1633,2020-2024,China_Birdwatch,33306,2330,1655,1510.1091240925093
3344,2020-2024,eBird_GBIF,143,56,77,NA
3345,2020-2024,eBird_GBIF,69,46,42,NA
3206,2020-2024,eBird_GBIF,36,14,34,NA
3061,2020-2024,China_Birdwatch,19,8,17,312.39523809523814
2484,2020-2024,China_Birdwatch,916,323,464,460.2575616805909
2916,2020-2024,China_Birdwatch,47,25,39,667.5524146054183
2574,2020-2024,eBird_GBIF,819,98,510,NA
2699,2020-2024,China_Birdwatch,147,88,104,1034.7386508273257
3570,2020-2024,China_Birdwatch,551,218,327,4023.231593545127
2487,2020-2024,China_Birdwatch,58,12,52,732.5702554744523
2498,2020-2024,eBird_GBIF,68,11,62,NA
2917,2020-2024,eBird_GBIF,6,3,6,NA
2347,2020-2024,China_Birdwatch,75,41,70,809.887684729064
2715,2020-2024,China_Birdwatch,478,283,278,4886.190519362799
2699,2020-2024,eBird_GBIF,57,33,38,NA
2924,2020-2024,China_Birdwatch,76,22,64,183.15392895586652
