grid_cell,block_label,source_short,n_events,n_observers,n_dates,mean_duration_min
2555,2000-2004,eBird_GBIF,44,30,30,NA
2781,2000-2004,China_Birdwatch,14,1,14,228.00367647058823
2483,2000-2004,eBird_GBIF,22,11,18,NA
2787,2000-2004,eBird_GBIF,5,2,5,NA
2627,2000-2004,eBird_GBIF,65,18,41,NA
2923,2000-2004,eBird_GBIF,14,1,14,NA
2710,2000-2004,eBird_GBIF,10,1,10,NA
2626,2000-2004,eBird_GBIF,8,4,5,NA
2267,2000-2004,eBird_GBIF,44,16,34,NA
2637,2000-2004,eBird_GBIF,4,2,4,NA
3569,2005-2009,eBird_GBIF,47,6,44,NA
2483,2005-2009,eBird_GBIF,18,11,16,NA
2627,2005-2009,eBird_GBIF,61,22,60,NA
2643,2005-2009,eBird_GBIF,24,12,21,NA
2626,2005-2009,eBird_GBIF,67,22,58,NA
2775,2005-2009,eBird_GBIF,35,3,20,NA
2555,2005-2009,eBird_GBIF,62,34,57,NA
2572,2005-2009,eBird_GBIF,7,3,7,NA
2699,2005-2009,eBird_GBIF,8,2,8,NA
2573,2005-2009,eBird_GBIF,305,26,272,NA
2992,2005-2009,China_Birdwatch,2,1,2,4234.084507042254
3002,2005-2009,eBird_GBIF,1,1,1,NA
2482,2005-2009,eBird_GBIF,72,23,66,NA
2716,2005-2009,eBird_GBIF,8,1,8,NA
2715,2005-2009,eBird_GBIF,4,2,4,NA
2646,2005-2009,eBird_GBIF,15,2,15,NA
2574,2005-2009,eBird_GBIF,36,4,36,NA
3053,2005-2009,eBird_GBIF,40,13,38,NA
2717,2005-2009,eBird_GBIF,7,3,7,NA
3052,2005-2009,eBird_GBIF,7,4,7,NA
2787,2005-2009,eBird_GBIF,76,8,76,NA
2630,2005-2009,eBird_GBIF,21,8,21,NA
2573,2005-2009,China_Birdwatch,2,1,2,94.57627118644068
2572,2005-2009,China_Birdwatch,1,1,1,1710
3569,2010-2014,eBird_GBIF,89,23,70,NA
