parameter,rhat,ess_bulk
b_Intercept,1.0013222001548994,2287.636724266502
b_z_bio4,1.0006980589067986,2320.4981695741053
b_z_elev_sd,0.9999319353732529,3429.4967959515293
b_z_texture_shannon,0.9994834496459386,3262.9009999166583
b_z_npp_mean,1.000965812964841,2202.349687366474
b_z_landcover_built,1.0002921064122112,2469.8654723362465
b_z_habitat_diversity_shannon,1.000795912735176,3844.215031874583
b_z_hfi_mean,1.00002251620051,2179.0197028472526
b_z_centroid_lat,1.0011553480273558,2046.8716654470809
sigma,1.0074746679953759,581.921398983739
Intercept,1.0008672726364995,2809.870230989835
lprior,1.0009605666383754,2759.068223025802
lp__,1.0015359339986143,1339.6425013472413
