grid_cell,year,source_short,n_events,n_observers,n_dates,mean_duration_min
555,2013,eBird_GBIF,1,1,1,NA
555,2013,Combined,1,1,1,NA
1230,2013,eBird_GBIF,1,1,1,NA
1230,2013,Combined,1,1,1,NA
1230,2023,China_Birdwatch,5,5,3,164.3283582089552
1230,2023,eBird_GBIF,4,3,4,NA
1230,2023,Combined,9,8,6,164.3283582089552
1230,2024,China_Birdwatch,11,9,10,238.0263157894737
1230,2024,Combined,11,9,10,238.0263157894737
1238,2013,eBird_GBIF,1,1,1,NA
1238,2013,Combined,1,1,1,NA
1238,2024,China_Birdwatch,2,2,1,2250
1238,2024,Combined,2,2,1,2250
1243,2023,China_Birdwatch,2,2,2,60
1243,2023,eBird_GBIF,1,1,1,NA
1243,2023,Combined,3,3,2,60
1243,2024,China_Birdwatch,1,1,1,240
1243,2024,Combined,1,1,1,240
2608,2023,eBird_GBIF,1,1,1,NA
2608,2023,Combined,1,1,1,NA
3280,2013,eBird_GBIF,1,1,1,NA
3280,2013,Combined,1,1,1,NA
3288,2024,China_Birdwatch,1,1,1,60
3288,2024,Combined,1,1,1,60
6719,2024,China_Birdwatch,1,1,1,60
6719,2024,Combined,1,1,1,60
6720,2015,eBird_GBIF,1,1,1,NA
6720,2015,Combined,1,1,1,NA
7406,2017,eBird_GBIF,1,1,1,NA
7406,2017,Combined,1,1,1,NA
7406,2023,China_Birdwatch,2,2,2,53.888888888888886
7406,2023,eBird_GBIF,2,2,2,NA
7406,2023,Combined,4,4,3,53.888888888888886
7406,2024,China_Birdwatch,4,4,4,120
7406,2024,Combined,4,4,4,120
8091,2023,eBird_GBIF,1,1,1,NA
8091,2023,Combined,1,1,1,NA
8094,2013,eBird_GBIF,1,1,1,NA
8094,2013,Combined,1,1,1,NA
8785,2024,China_Birdwatch,2,2,2,60
8785,2024,Combined,2,2,2,60
11541,2024,China_Birdwatch,1,1,1,60
11541,2024,Combined,1,1,1,60
14985,2024,China_Birdwatch,2,2,2,3326.297872340426
14985,2024,Combined,2,2,2,3326.297872340426
17684,2015,eBird_GBIF,8,2,4,NA
17684,2015,Combined,8,2,4,NA
19050,2023,eBird_GBIF,1,1,1,NA
19050,2023,Combined,1,1,1,NA
19057,2024,China_Birdwatch,2,1,2,101.42857142857143
19057,2024,Combined,2,1,2,101.42857142857143
19063,2023,eBird_GBIF,3,1,3,NA
19063,2023,Combined,3,1,3,NA
19063,2024,China_Birdwatch,3,3,3,34.285714285714285
19063,2024,Combined,3,3,3,34.285714285714285
19798,2024,China_Birdwatch,1,1,1,60
19798,2024,Combined,1,1,1,60
20423,2023,eBird_GBIF,1,1,1,NA
20423,2023,Combined,1,1,1,NA
21110,2023,China_Birdwatch,1,1,1,490
21110,2023,Combined,1,1,1,490
21806,2023,eBird_GBIF,1,1,1,NA
21806,2023,Combined,1,1,1,NA
23177,2023,eBird_GBIF,1,1,1,NA
23177,2023,Combined,1,1,1,NA
23230,2022,China_Birdwatch,1,1,1,60
23230,2022,Combined,1,1,1,60
23230,2024,China_Birdwatch,2,2,2,265
23230,2024,Combined,2,2,2,265
23863,2023,eBird_GBIF,2,1,2,NA
23863,2023,Combined,2,1,2,NA
23916,2024,China_Birdwatch,1,1,1,60
23916,2024,Combined,1,1,1,60
24535,2013,China_Birdwatch,1,1,1,2820
24535,2013,Combined,1,1,1,2820
24535,2018,China_Birdwatch,1,1,1,660
24535,2018,Combined,1,1,1,660
24535,2019,China_Birdwatch,1,1,1,600
24535,2019,Combined,1,1,1,600
24535,2023,China_Birdwatch,5,5,3,156.84210526315786
24535,2023,Combined,5,5,3,156.84210526315786
24535,2024,China_Birdwatch,5,5,5,5764.2
24535,2024,Combined,5,5,5,5764.2
24555,2024,China_Birdwatch,2,2,2,333.75
24555,2024,Combined,2,2,2,333.75
24557,2015,eBird_GBIF,1,1,1,NA
24557,2015,Combined,1,1,1,NA
25226,2015,eBird_GBIF,1,1,1,NA
25226,2015,Combined,1,1,1,NA
25234,2013,eBird_GBIF,1,1,1,NA
25234,2013,Combined,1,1,1,NA
25234,2015,eBird_GBIF,2,2,1,NA
25234,2015,Combined,2,2,1,NA
25234,2023,China_Birdwatch,2,2,1,1385.5272727272727
25234,2023,Combined,2,2,1,1385.5272727272727
25234,2024,China_Birdwatch,4,4,4,788.2592592592592
25234,2024,Combined,4,4,4,788.2592592592592
25928,2012,eBird_GBIF,1,1,1,NA
25928,2012,Combined,1,1,1,NA
26634,2023,China_Birdwatch,1,1,1,5
26634,2023,eBird_GBIF,1,1,1,NA
26634,2023,Combined,2,2,1,5
27272,2023,China_Birdwatch,2,2,2,660
27272,2023,Combined,2,2,2,660
27295,2024,China_Birdwatch,1,1,1,212
27295,2024,Combined,1,1,1,212
27957,2023,China_Birdwatch,4,4,3,573.4883720930233
27957,2023,eBird_GBIF,1,1,1,NA
27957,2023,Combined,5,5,4,573.4883720930233
27957,2024,China_Birdwatch,3,3,3,140.47058823529412
27957,2024,Combined,3,3,3,140.47058823529412
27966,2023,China_Birdwatch,2,2,2,285
27966,2023,Combined,2,2,2,285
28653,2024,China_Birdwatch,2,2,2,60
28653,2024,Combined,2,2,2,60
29374,2024,China_Birdwatch,1,1,1,300
29374,2024,Combined,1,1,1,300
30030,2024,China_Birdwatch,2,2,2,26.5
30030,2024,Combined,2,2,2,26.5
30729,2023,eBird_GBIF,1,1,1,NA
30729,2023,Combined,1,1,1,NA
30761,2022,China_Birdwatch,4,3,3,259.85915492957747
30761,2022,Combined,4,3,3,259.85915492957747
30762,2023,China_Birdwatch,1,1,1,360
30762,2023,Combined,1,1,1,360
32070,2023,China_Birdwatch,2,2,2,60
32070,2023,Combined,2,2,2,60
32086,2024,China_Birdwatch,2,2,2,120
32086,2024,Combined,2,2,2,120
32780,2014,China_Birdwatch,1,1,1,120
32780,2014,Combined,1,1,1,120
32780,2024,China_Birdwatch,6,3,6,184.8913043478261
32780,2024,Combined,6,3,6,184.8913043478261
33463,2018,China_Birdwatch,1,1,1,300
33463,2018,Combined,1,1,1,300
33463,2023,China_Birdwatch,1,1,1,180
33463,2023,Combined,1,1,1,180
33463,2024,China_Birdwatch,7,7,7,194.38983050847457
33463,2024,Combined,7,7,7,194.38983050847457
34131,2024,China_Birdwatch,1,1,1,60
34131,2024,Combined,1,1,1,60
34149,2016,China_Birdwatch,1,1,1,30
34149,2016,Combined,1,1,1,30
34149,2024,China_Birdwatch,6,1,6,180.3846153846154
34149,2024,Combined,6,1,6,180.3846153846154
34150,2018,China_Birdwatch,1,1,1,30
34150,2018,Combined,1,1,1,30
34150,2019,China_Birdwatch,1,1,1,30
34150,2019,Combined,1,1,1,30
34150,2024,China_Birdwatch,7,1,7,182.05479452054794
34150,2024,Combined,7,1,7,182.05479452054794
34813,2024,China_Birdwatch,1,1,1,60
34813,2024,Combined,1,1,1,60
34816,2023,China_Birdwatch,2,2,2,54
34816,2023,Combined,2,2,2,54
34816,2024,China_Birdwatch,3,3,3,174.54545454545456
34816,2024,Combined,3,3,3,174.54545454545456
34834,2024,China_Birdwatch,4,1,4,105
34834,2024,Combined,4,1,4,105
34835,2013,eBird_GBIF,1,1,1,NA
34835,2013,Combined,1,1,1,NA
34835,2015,eBird_GBIF,2,2,1,NA
34835,2015,Combined,2,2,1,NA
34835,2017,China_Birdwatch,1,1,1,30
34835,2017,Combined,1,1,1,30
34835,2018,eBird_GBIF,2,2,2,NA
34835,2018,Combined,2,2,2,NA
34835,2019,China_Birdwatch,4,1,4,30
34835,2019,Combined,4,1,4,30
34835,2021,eBird_GBIF,1,1,1,NA
34835,2021,Combined,1,1,1,NA
34835,2024,China_Birdwatch,34,7,31,100.46411483253588
34835,2024,Combined,34,7,31,100.46411483253588
34836,2024,China_Birdwatch,5,1,5,183.4375
34836,2024,Combined,5,1,5,183.4375
35509,2013,eBird_GBIF,1,1,1,NA
35509,2013,Combined,1,1,1,NA
35509,2020,eBird_GBIF,3,3,1,NA
35509,2020,Combined,3,3,1,NA
35520,2021,China_Birdwatch,1,1,1,480
35520,2021,Combined,1,1,1,480
35520,2023,China_Birdwatch,1,1,1,483
35520,2023,Combined,1,1,1,483
35520,2024,China_Birdwatch,1,1,1,60
35520,2024,Combined,1,1,1,60
35534,2004,eBird_GBIF,2,1,2,NA
35534,2004,Combined,2,1,2,NA
36204,2023,eBird_GBIF,1,1,1,NA
36204,2023,Combined,1,1,1,NA
36205,2024,China_Birdwatch,2,2,2,95
36205,2024,Combined,2,2,2,95
36208,2024,China_Birdwatch,1,1,1,75
36208,2024,Combined,1,1,1,75
36230,2024,China_Birdwatch,1,1,1,60
36230,2024,Combined,1,1,1,60
36889,2024,China_Birdwatch,2,1,2,53.333333333333336
36889,2024,Combined,2,1,2,53.333333333333336
37579,2022,eBird_GBIF,1,1,1,NA
37579,2022,Combined,1,1,1,NA
37581,2022,China_Birdwatch,1,1,1,120
37581,2022,Combined,1,1,1,120
37581,2024,China_Birdwatch,1,1,1,105
37581,2024,Combined,1,1,1,105
38267,2022,eBird_GBIF,1,1,1,NA
38267,2022,Combined,1,1,1,NA
38935,2024,China_Birdwatch,1,1,1,30
38935,2024,Combined,1,1,1,30
38980,2023,China_Birdwatch,1,1,1,660
38980,2023,Combined,1,1,1,660
38980,2024,China_Birdwatch,2,2,2,131.25
38980,2024,Combined,2,2,2,131.25
39612,2023,China_Birdwatch,2,2,1,133.33333333333334
