parameter,rhat,ess_bulk
b_Intercept,1.0007179167250988,2395.863976762902
b_z_bio4,1.0012031849142593,2314.062252617762
b_z_elev_sd,1.0007681195853733,3387.5142025175173
b_z_texture_shannon,1.0008740572503296,3266.7818109271993
b_z_npp_mean,1.0009240979910348,2392.781637971139
b_z_landcover_built,1.0005178432460442,2699.2805043231892
b_z_habitat_diversity_shannon,1.000725866310201,3119.4460465518337
b_z_hfi_mean,1.0006221778866227,2180.5516546602394
b_z_centroid_lat,1.001070908889472,2272.843851407355
sigma,1.0038597922960573,1019.9622226996632
Intercept,1.0007285016221201,2736.2155507354023
lprior,1.0002363556581428,3042.40185371428
lp__,1.0010544109948474,1597.0321248137789
