grid_cell,pair_id,pair_label,gain,loss,net
56,1,2000-2004 -> 2005-2009,2.196097320545411,0.7171604028732022,1.4789369176722085
57,1,2000-2004 -> 2005-2009,2.3245533896488233,0.7715631452183385,1.5529902444304842
128,1,2000-2004 -> 2005-2009,2.5804929526675133,0.869730204410303,1.7107627482572114
129,1,2000-2004 -> 2005-2009,2.5860667021836803,0.6258431839047965,1.9602235182788827
130,1,2000-2004 -> 2005-2009,2.475319674979164,0.5663843197842757,1.9089353551948895
198,1,2000-2004 -> 2005-2009,1.8234227318076508,0.6764126969208827,1.147010034886767
199,1,2000-2004 -> 2005-2009,1.6515237276513601,0.6321905491853937,1.019333178465968
203,1,2000-2004 -> 2005-2009,2.1978668857638897,0.9061609553754539,1.2917059303884353
270,1,2000-2004 -> 2005-2009,1.87410435604149,0.748593050557054,1.125511305484437
271,1,2000-2004 -> 2005-2009,1.9081207912197056,0.7261498094516218,1.1819709817680855
272,1,2000-2004 -> 2005-2009,1.8651770313864724,0.7140924571928627,1.1510845741936089
274,1,2000-2004 -> 2005-2009,1.7107848356804491,0.6720540670826648,1.038730768597784
276,1,2000-2004 -> 2005-2009,1.9569257620943217,0.7197977142971409,1.2371280477971816
341,1,2000-2004 -> 2005-2009,2.651155157992837,0.6894585891981974,1.9616965687946384
342,1,2000-2004 -> 2005-2009,2.242704491460815,0.8331072190038286,1.4095972724569863
343,1,2000-2004 -> 2005-2009,2.140747446741901,0.8336949350783038,1.3070525116635987
344,1,2000-2004 -> 2005-2009,2.470115965827755,0.8798621157930638,1.5902538500346914
345,1,2000-2004 -> 2005-2009,2.6338683824130458,1.0281579699317007,1.6057104124813468
347,1,2000-2004 -> 2005-2009,2.6658966850540073,0.9225897514708561,1.7433069335831497
412,1,2000-2004 -> 2005-2009,2.730451736314797,0.9284896474561076,1.8019620888586882
413,1,2000-2004 -> 2005-2009,2.671325805352685,0.891396112936121,1.7799296924165615
414,1,2000-2004 -> 2005-2009,2.637748999224988,0.8902355822657476,1.74751341695924
415,1,2000-2004 -> 2005-2009,2.6493093742969718,0.8649422737123075,1.7843671005846637
416,1,2000-2004 -> 2005-2009,2.6725112789328582,0.8557718442797165,1.816739434653139
417,1,2000-2004 -> 2005-2009,2.013824186688761,0.7856031685116777,1.2282210181770836
418,1,2000-2004 -> 2005-2009,1.9559481164401746,0.7555082044866273,1.2004399119535483
