parameter,rhat,ess_bulk
b_Intercept,1.0019194312645205,2379.9933925580367
b_z_bio4,1.0023285412223746,2525.277730355306
b_z_elev_sd,0.9998014069674618,3831.7896233842685
b_z_texture_shannon,1.0001226671389383,3219.346959299972
b_z_npp_mean,1.0019096438878805,2691.7130385322
b_z_landcover_built,1.0008615070924343,2574.8085099987975
b_z_habitat_diversity_shannon,1.0012451940062972,3434.7564521253494
b_z_hfi_mean,1.0005420704248054,2066.5839958872293
b_z_centroid_lat,1.0015950728337208,2265.308637746265
sigma,1.0151028672633602,445.6065144923182
Intercept,1.0002285373755084,2852.2371981538995
lprior,1.0037206860950296,1319.513027066008
lp__,1.0008772846154383,1289.2040844491066
