species,n_grid_year_detections,n_blocks_detected,n_grids_detected,first_year,last_year,candidate_rank
Luscinia cyane,236,5,77,2000,2023,559
Psilopogon asiaticus,236,5,52,2001,2024,560
Actinodura cyanouroptera,233,3,96,2012,2024,561
Alcippe dubia,233,5,63,2000,2023,562
Geokichla citrina,233,5,85,2002,2024,563
Passer ammodendri,232,5,109,2001,2024,564
Poecile hypermelaenus,232,5,85,2002,2024,565
Aegithalos fuliginosus,231,5,58,2002,2024,566
Charadrius mongolus,231,4,113,2007,2024,567
Pterorhinus lanceolatus,231,3,94,2012,2024,568
Monticola gularis,230,5,89,2000,2024,569
Iduna aedon,229,5,109,2000,2023,570
Cyornis whitei,226,5,67,2002,2024,571
Horornis flavolivaceus,226,5,71,2000,2024,572
Prinia striata,226,5,123,2002,2024,573
Tarsiger chrysaeus,226,5,60,2000,2024,574
Niltava macgrigoriae,225,5,74,2001,2024,575
Paradoxornis guttaticollis,225,5,91,2000,2024,576
Chalcophaps indica,224,5,71,2003,2024,577
Calidris alba,222,5,83,2000,2024,578
Larus relictus,221,5,83,2000,2024,579
Calidris tenuirostris,219,5,72,2000,2024,580
Chelidorhynx hypoxantha,219,5,54,2000,2023,581
Haematopus ostralegus,218,5,83,2000,2024,582
Alcippe brunnea,217,5,73,2000,2023,583
Calidris falcinellus,217,5,90,2000,2024,584
Pyrgilauda blanfordi,216,5,78,2000,2024,585
Dryocopus martius,215,5,84,2000,2024,586
Tragopan temminckii,215,5,56,2000,2024,587
Carpodacus roseus,214,5,104,2000,2024,588
Cettia castaneocoronata,214,5,60,2000,2024,589
Monticola saxatilis,214,5,91,2000,2024,590
Phylloscopus kansuensis,214,5,65,2000,2024,591
Grus monacha,213,5,80,2001,2024,592
Leptopoecile elegans,213,5,55,2000,2024,593
Chloris chloris,212,5,69,2003,2024,594
Locustella certhiola,212,5,108,2000,2023,595
Sylvia curruca,212,5,98,2000,2023,596
Pomatorhinus swinhoei,211,5,63,2000,2023,597
Rhodospiza obsoleta,211,5,102,2000,2024,598
Dicrurus aeneus,210,5,49,2001,2024,599
Ninox japonica,210,5,87,2000,2024,600
Otus spilocephalus,210,5,78,2000,2024,601
Phylloscopus occisinensis,209,3,87,2007,2024,602
Tringa brevipes,209,5,78,2001,2024,603
Cuculus optatus,207,5,109,2000,2024,604
Emberiza yunnanensis,206,3,114,2010,2024,605
Limnodromus semipalmatus,205,5,96,2000,2024,606
Gallinago megala,204,5,121,2003,2024,607
Geokichla sibirica,204,5,93,2000,2024,608
Locustella luteoventris,204,5,74,2002,2024,609
Buteo lagopus,203,5,105,2000,2024,610
Bucanetes mongolicus,201,5,95,2000,2024,611
Calandrella brachydactyla,201,5,94,2001,2024,612
Cygnus olor,201,4,94,2007,2024,613
Nettapus coromandelianus,201,4,99,2007,2024,614
Calidris minuta,200,5,110,2000,2024,615
Crossoptilon crossoptilon,199,5,46,2000,2024,616
Egretta eulophotes,199,4,68,2007,2024,617
Aethopyga saturata,198,5,44,2001,2024,618
Phylloscopus valentini,198,4,85,2009,2024,619
Erythrogenys swinhoei,197,4,87,2007,2024,620
Certhia himalayana,196,5,59,2000,2024,621
Dicaeum cruentatum,195,5,50,2000,2024,622
Elachura formosa,195,4,57,2007,2024,623
Yuhina occipitalis,195,5,49,2000,2024,624
Arundinax aedon,194,3,132,2010,2024,625
Locustella mandelli,194,5,80,2002,2024,626
Fulvetta striaticollis,191,5,46,2000,2024,627
Larus cachinnans,191,4,72,2007,2024,628
Machlolophus spilonotus,191,4,66,2006,2024,629
Clanga clanga,190,3,114,2011,2024,630
Micropternus brachyurus,190,5,56,2002,2024,631
Aquila fasciata,189,5,97,2002,2024,632
Spizixos canifrons,189,5,35,2000,2024,633
Ficedula narcissina,188,5,77,2004,2024,634
Cephalopyrus flammiceps,187,5,57,2000,2024,635
Merops apiaster,187,5,57,2001,2024,636
Motacilla flava,187,5,69,2001,2024,637
Paradoxornis heudei,187,4,82,2007,2024,638
Podoces hendersoni,187,5,88,2000,2024,639
Arachnothera magna,186,5,38,2001,2024,640
Alcippe fratercula,185,5,40,2000,2024,641
Anthus campestris,185,5,61,2001,2024,642
Hypsipetes amaurotis,185,4,74,2006,2024,643
Aquila heliaca,184,5,102,2002,2024,644
Buteo buteo,183,5,79,2002,2024,645
Linaria cannabina,183,5,62,2001,2024,646
Pycnonotus cafer,183,5,37,2002,2024,647
Grus japonensis,182,5,63,2000,2024,648
Ixobrychus flavicollis,182,4,85,2007,2024,649
Otis tarda,182,5,72,2002,2024,650
Calidris canutus,181,5,69,2000,2024,651
Schoeniparus brunneus,181,3,98,2011,2024,652
Artamus fuscus,180,5,59,2002,2024,653
Chrysolophus amherstiae,180,5,47,2000,2024,654
Ficedula hyperythra,180,5,61,2000,2024,655
Rhopodytes tristis,180,5,47,2001,2023,656
Anser erythropus,179,5,78,2002,2024,657
Phalaropus lobatus,179,5,102,2000,2024,658
Tarsiger indicus,179,5,56,2000,2024,659
Locustella thoracica,177,5,49,2000,2024,660
Numenius minutus,177,5,78,2002,2024,661
Alophoixus pallidus,176,5,31,2001,2024,662
Luscinia megarhynchos,175,5,52,2001,2024,663
Pastor roseus,175,5,69,2001,2024,664
Procarduelis nipalensis,175,5,51,2000,2024,665
Sitta przewalskii,175,5,42,2000,2024,666
Accipiter badius,174,5,71,2002,2024,667
Aethopyga siparaja,174,5,46,2002,2024,668
Columba oenas,174,5,69,2004,2024,669
Ianthocincla maxima,173,3,64,2012,2024,670
Lanius giganteus,173,5,66,2000,2024,671
Carpodacus davidianus,171,5,63,2002,2024,672
Chroicocephalus saundersi,170,5,53,2000,2023,673
Locustella davidi,170,5,67,2002,2024,674
Phylloscopus collybita,170,4,81,2007,2024,675
Pyrrhula nipalensis,170,5,63,2001,2024,676
Minla strigula,168,5,44,2000,2023,677
Hemipus picatus,166,5,37,2001,2024,678
Acanthis flammea,165,4,97,2009,2024,679
Crossoptilon auritum,165,5,41,2000,2024,680
Larvivora cyane,164,4,95,2009,2024,681
Cypsiurus balasiensis,163,5,37,2001,2024,682
Pycnonotus flaviventris,162,5,30,2001,2023,683
Francolinus pintadeanus,161,5,70,2000,2024,684
Helopsaltes certhiola,161,3,101,2010,2024,685
Spinus thibetanus,161,5,45,2000,2024,686
Yuhina flavicollis,161,5,40,2001,2024,687
Zoothera dixoni,161,5,46,2000,2024,688
Carpodacus trifasciatus,160,5,39,2000,2024,689
Dendrocopos darjellensis,158,5,37,2000,2024,690
Luscinia phaenicuroides,158,4,70,2009,2024,691
Mycerobas affinis,158,5,39,2002,2024,692
Anthus trivialis,157,4,63,2008,2024,693
Podiceps auritus,157,5,83,2003,2024,694
Saundersilarus saundersi,157,3,76,2013,2024,695
Calcarius lapponicus,156,5,80,2003,2024,696
Charadrius atrifrons,156,3,93,2010,2024,697
Gallicrex cinerea,155,5,92,2002,2024,698
Macropygia unchall,155,5,51,2002,2024,699
Prinia rufescens,155,5,56,2002,2024,700
Treron sphenurus,155,5,45,2000,2024,701
Muscicapa striata,154,5,52,2001,2024,702
Cyornis glaucicomans,153,5,57,2000,2024,703
Ficedula elisae,153,5,50,2000,2024,704
Pericrocotus roseus,153,5,49,2001,2024,705
Arborophila gingica,151,5,44,2002,2024,706
Pyrrhula pyrrhula,151,4,82,2005,2024,707
Charadrius veredus,150,4,77,2005,2024,708
Strix leptogrammica,150,4,58,2006,2024,709
Copsychus malabaricus,149,5,38,2001,2024,710
Tephrodornis virgatus,149,5,45,2003,2024,711
Carpodacus puniceus,148,5,65,2000,2024,712
Lanius collurioides,148,5,50,2002,2024,713
Phylloscopus tephrocephalus,148,3,79,2014,2024,714
Abroscopus superciliaris,147,5,36,2001,2024,715
Aviceda jerdoni,147,4,70,2006,2024,716
Dryobates minor,147,4,71,2005,2024,717
Melanocorypha mongolica,147,3,86,2013,2024,718
Picoides tridactylus,147,5,54,2000,2024,719
Seicercus omeiensis,147,5,39,2000,2023,720
Sitta frontalis,147,5,33,2001,2024,721
Acrocephalus arundinaceus,146,5,48,2001,2024,722
Merops philippinus,146,5,46,2002,2024,723
Turdus maximus,146,5,59,2000,2024,724
Curruca curruca,144,3,84,2011,2024,725
Oriolus traillii,144,5,34,2002,2024,726
Suthora verreauxi,144,5,38,2002,2024,727
Dendrocopos leucopterus,143,5,58,2001,2024,728
Garrulax albogularis,143,5,52,2001,2023,729
Neosuthora davidiana,143,5,45,2004,2024,730
Melanochlora sultanea,142,5,31,2003,2024,731
Phylloscopus intensior,142,5,44,2002,2024,732
Zapornia fusca,142,5,95,2002,2024,733
Garrulax ocellatus,141,5,42,2000,2023,734
Serinus pusillus,141,5,62,2002,2024,735
Alectoris magna,139,5,36,2001,2024,736
Seicercus soror,139,5,56,2002,2023,737
Sinosuthora conspicillata,139,5,41,2000,2024,738
Acrocephalus agricola,138,5,57,2001,2024,739
Calliope tschebaiewi,137,5,48,2000,2024,740
Seicercus affinis,137,5,58,2002,2023,741
Saxicola caprata,136,5,37,2000,2024,742
Trochalopteron henrici,136,5,40,2000,2024,743
Phoenicurus erythronotus,135,5,65,2003,2024,744
Grus leucogeranus,133,5,44,2000,2023,745
Dupetor flavicollis,132,5,57,2001,2023,746
Cecropis striolata,131,5,47,2002,2024,747
Cettia brunnifrons,131,5,44,2000,2024,748
Ficedula westermanni,131,5,40,2002,2024,749
Pnoepyga albiventer,131,5,28,2000,2024,750
Pelecanus crispus,130,5,64,2001,2024,751
Aquila clanga,129,5,65,2000,2023,752
Anthus rufulus,127,5,60,2000,2024,753
Circaetus gallicus,126,5,65,2001,2024,754
Phoenicurus alaschanicus,126,5,42,2000,2024,755
Pterorhinus chinensis,126,4,45,2005,2024,756
Anthus gustavi,125,5,59,2001,2024,757
Curruca communis,125,3,55,2011,2024,758
Leucogeranus leucogeranus,125,4,58,2004,2024,759
Pterorhinus berthemyi,125,4,53,2009,2024,760
Tesia cyaniventer,125,5,34,2001,2024,761
Coracina macei,123,5,48,2000,2024,762
Gallus gallus,123,5,44,2003,2024,763
Urocynchramus pylzowi,123,5,42,2000,2024,764
Niltava grandis,122,5,31,2002,2024,765
Sasia ochracea,122,4,36,2006,2024,766
Conostoma aemodium,121,5,24,2000,2024,767
Syrmaticus ellioti,121,5,44,2002,2024,768
Lanius excubitor,119,5,62,2001,2024,769
Phyllergates cucullatus,119,3,45,2012,2024,770
Phylloscopus emeiensis,119,5,35,2002,2024,771
Carpodacus subhimachalus,118,5,42,2000,2024,772
Certhia tianquanensis,118,5,26,2000,2024,773
Emberiza bruniceps,118,5,48,2001,2024,774
Phylloscopus soror,118,3,60,2007,2024,775
Abroscopus schisticeps,117,5,30,2001,2024,776
Aethopyga nipalensis,117,5,33,2002,2024,777
Ixobrychus minutus,117,4,41,2007,2024,778
Cygnus atratus,116,4,56,2009,2023,779
Porzana fusca,116,5,61,2000,2023,780
Stachyris nigriceps,115,5,21,2003,2024,781
Lanius collurio,114,5,43,2001,2024,782
Luscinia brunnea,113,5,35,2000,2023,783
Psarisomus dalhousiae,113,5,20,2002,2024,784
Terpsiphone atrocaudata,113,3,46,2012,2024,785
Ianthocincla lunulata,112,5,32,2000,2024,786
Lanius borealis,112,4,66,2007,2024,787
Acrocephalus dumetorum,111,4,45,2007,2024,788
Staphida castaniceps,111,5,34,2002,2024,789
Trochalopteron milnei,111,5,25,2002,2024,790
Ianthocincla cineracea,110,3,60,2009,2024,791
Ianthocincla ocellata,110,2,38,2015,2024,792
Dicaeum melanozanthum,109,5,42,2003,2024,793
Phoenicurus phoenicurus,109,4,48,2008,2024,794
Riparia chinensis,109,5,28,2001,2024,795
Streptopelia turtur,109,5,45,2001,2024,796
Turdus feae,109,5,28,2000,2024,797
Nyctyornis athertoni,108,5,23,2003,2024,798
Phylloscopus intermedius,108,3,52,2013,2024,799
Psilopogon franklinii,108,5,27,2002,2024,800
Fulvetta manipurensis,107,5,32,2000,2024,801
Grandala coelicolor,107,5,42,2000,2024,802
Carpodacus verreauxii,106,5,35,2002,2024,803
Emberiza cia,106,5,55,2001,2024,804
Poecile davidi,106,5,26,2000,2024,805
Rallus aquaticus,106,4,60,2007,2024,806
Sylvia communis,106,5,40,2001,2023,807
Carpodacus edwardsii,105,5,30,2002,2024,808
Circus aeruginosus,105,5,63,2001,2024,809
Carpodacus lepidus,103,3,59,2012,2024,810
Emberiza buchanani,103,5,44,2001,2024,811
Hemixos flavala,103,4,18,2005,2024,812
Pterorhinus albogularis,103,3,42,2012,2024,813
Sitta yunnanensis,103,5,33,2000,2024,814
Sturnia malabarica,103,5,36,2002,2024,815
Treron sieboldii,103,4,48,2005,2024,816
Locustella chengi,102,5,32,2004,2024,817
Rhinomyias brunneatus,102,5,41,2002,2023,818
Lanius minor,101,5,38,2001,2024,819
Cyanoptila cumatilis,100,4,42,2007,2024,820
Trochalopteron formosum,100,5,18,2000,2024,821
Turdus albocinctus,100,5,29,2001,2024,822
Iduna caligata,99,5,40,2001,2024,823
Remiz coronatus,99,5,44,2001,2024,824
Sitta himalayensis,99,5,33,2002,2024,825
Tetrastes sewerzowi,99,5,24,2000,2024,826
Zoothera dauma,99,5,44,2001,2024,827
Zoothera mollissima,99,5,32,2002,2024,828
Tragopan caboti,98,5,27,2002,2024,829
Turnix tanki,98,5,59,2000,2024,830
Chrysococcyx maculatus,97,4,44,2006,2024,831
Prunella atrogularis,97,4,47,2007,2024,832
Pteruthius melanotis,97,5,25,2002,2024,833
Stachyridopsis chrysaea,97,5,18,2002,2023,834
Aethopyga ignicauda,95,5,27,2000,2024,835
Chrysophlegma flavinucha,95,5,20,2003,2024,836
Urocissa flavirostris,95,5,28,2001,2024,837
Actinodura egertoni,94,5,13,2002,2024,838
Cinnyris jugularis,94,4,29,2005,2024,839
Pitta nympha,94,3,50,2012,2024,840
Pycnonotus flavescens,94,5,18,2002,2024,841
Tyto longimembris,94,5,46,2000,2024,842
Cisticola exilis,93,4,46,2009,2024,843
Macronus gularis,93,5,16,2002,2023,844
Tringa guttifer,93,4,45,2005,2024,845
Corvus monedula,92,2,47,2015,2024,846
Cyornis brunneatus,92,3,50,2012,2024,847
Passer hispaniolensis,92,5,49,2001,2024,848
Charadrius dealbatus,91,2,56,2015,2024,849
Oriolus oriolus,91,4,37,2001,2024,850
Gallinago solitaria,90,5,49,2004,2024,851
Picus chlorolophus,90,5,18,2003,2024,852
Pyrgilauda davidiana,90,5,23,2000,2024,853
Spilopelia senegalensis,90,5,41,2000,2024,854
Turdus pilaris,90,4,32,2008,2024,855
Alcippe castaneceps,89,5,27,2001,2023,856
Curruca minula,89,2,59,2015,2024,857
Emberiza hortulana,89,4,33,2006,2024,858
Chlidonias niger,88,5,36,2001,2024,859
Haliaeetus leucoryphus,88,5,47,2000,2024,860
Zapornia pusilla,88,3,52,2014,2024,861
Caprimulgus europaeus,87,5,40,2001,2024,862
Cyornis unicolor,87,5,34,2002,2024,863
Cettia major,86,5,27,2000,2024,864
Dicrurus paradiseus,86,5,18,2002,2024,865
Acrocephalus concinens,85,4,55,2006,2024,866
Carpodacus roborowskii,85,5,27,2000,2024,867
Timalia pileata,85,4,27,2007,2024,868
Psilopogon haemacephalus,84,5,15,2002,2024,869
Pycnonotus striatus,84,5,15,2002,2023,870
Tetraophasis obscurus,84,5,21,2000,2024,871
Dicrurus remifer,83,4,16,2005,2024,872
Suthora fulvifrons,83,5,21,2000,2024,873
Tetraophasis szechenyii,83,5,22,2000,2024,874
Dicrurus annectens,82,5,27,2002,2024,875
Nipponia nippon,82,5,23,2002,2024,876
Pellorneum ruficeps,82,5,14,2002,2023,877
Brachypteryx montana,81,5,25,2002,2023,878
Cholornis unicolor,81,5,21,2000,2024,879
Phylloscopus chloronotus,81,5,33,2001,2024,880
Phylloscopus fuligiventer,81,5,28,2002,2024,881
Tetrastes bonasia,81,5,41,2000,2024,882
Thalasseus bergii,81,3,34,2012,2024,883
Gallirallus striatus,80,5,47,2003,2023,884
Otus scops,80,4,29,2006,2024,885
Phaenicophaeus tristis,80,4,28,2006,2024,886
