parameter,rhat,ess_bulk
b_Intercept,1.0013020195101823,2716.828636361321
b_z_bio4,1.0022405767202036,1892.740933468962
b_z_elev_sd,1.0004014222886155,3164.735966811128
b_z_texture_shannon,1.0037757661531752,2711.1862747740615
b_z_npp_mean,1.001106369226549,1892.9108440987545
b_z_landcover_built,1.0014115026087222,2033.0477447649687
b_z_habitat_diversity_shannon,1.0009463470466018,2675.675033033938
b_z_hfi_mean,1.002507266406485,1643.9309827210834
b_z_centroid_lat,1.0014422499320292,2540.0664414313246
sigma,1.0015939493081347,3010.3900499715564
Intercept,1.0003340615515655,2901.3697975765467
lprior,1.00081779510813,3060.8864832586855
lp__,1.0009139918812593,1689.2483432206868
