grid_cell,metric,trend_mean,trend_l95,trend_u95,p_pos,sig95
56,corrected_richness,2.089768550935378,1.5734665125184994,2.52656568580103,1,TRUE
57,corrected_richness,2.300934530349098,1.8166278769900595,2.775428611591662,1,TRUE
128,corrected_richness,2.6911093672977335,2.259500307618351,3.0845216287352164,1,TRUE
129,corrected_richness,2.5205442718966515,2.0155758005205398,3.0310082442466912,1,TRUE
130,corrected_richness,2.585517335721501,1.9798005086826436,3.1911957255611823,1,TRUE
198,corrected_richness,1.7805693308505055,1.3085546981888116,2.29480422401329,1,TRUE
199,corrected_richness,1.5714813484017573,1.1586958483699903,2.0553447960275903,1,TRUE
203,corrected_richness,2.2008274174258946,1.824269264443874,2.5797864002415145,1,TRUE
270,corrected_richness,1.8556004094437808,1.3909822754893937,2.3144139440536575,1,TRUE
271,corrected_richness,1.8759619470900721,1.3999318615920655,2.39280466361767,1,TRUE
272,corrected_richness,1.8175654960637224,1.371646268461727,2.3371928826488113,1,TRUE
274,corrected_richness,1.625942352395445,1.2279272495470144,2.082073191315079,1,TRUE
276,corrected_richness,1.909662293249679,1.5321166251880705,2.3100684026256375,1,TRUE
341,corrected_richness,2.822836842496483,2.149856792649543,3.4007448334635,1,TRUE
342,corrected_richness,2.2296679282790572,1.78028733290492,2.7059631798513273,1,TRUE
343,corrected_richness,2.1143198038958038,1.704469790729106,2.5406789173264883,1,TRUE
344,corrected_richness,2.478658330981091,2.1055640734654224,2.8668347002542425,1,TRUE
345,corrected_richness,2.5939479308606335,2.244938311943299,2.9311101580716254,1,TRUE
347,corrected_richness,2.635429147568579,2.2843052707379727,2.965498594411024,1,TRUE
412,corrected_richness,2.7106268457859644,2.2684069850822093,3.1453762419876106,1,TRUE
413,corrected_richness,2.6505599749138025,2.218714150701134,3.0995065049464214,1,TRUE
414,corrected_richness,2.5930494205123873,2.1474402919191697,3.01897424923141,1,TRUE
415,corrected_richness,2.5848007251780034,2.068965215564484,3.0109827056229785,1,TRUE
416,corrected_richness,2.598454336746513,2.082686447877429,3.031875511250925,1,TRUE
417,corrected_richness,1.8887977261583588,1.477542187732115,2.3107553165316412,1,TRUE
418,corrected_richness,1.8744527061872753,1.469639473683862,2.2905453393012802,1,TRUE
483,corrected_richness,3.694922980754037,3.2835963151530576,4.071768859642828,1,TRUE
484,corrected_richness,3.2915969736650452,2.9146634472712987,3.730583646403787,1,TRUE
485,corrected_richness,3.278330368262014,2.8938099839461966,3.697673155057906,1,TRUE
486,corrected_richness,3.621388214328835,3.2322197076996684,4.030089553807043,1,TRUE
487,corrected_richness,3.249559310488366,2.843967919972071,3.6260736877955324,1,TRUE
488,corrected_richness,3.1766533295595605,2.844997634344598,3.5620211027026705,1,TRUE
554,corrected_richness,3.750752056847796,3.3290866348636454,4.193548162957543,1,TRUE
555,corrected_richness,3.7805665730001685,3.340919306345877,4.182976341302892,1,TRUE
556,corrected_richness,3.643065967577749,3.2232765721717644,4.018935134037145,1,TRUE
557,corrected_richness,3.440743272687129,3.0344292052229775,3.8708498787694845,1,TRUE
558,corrected_richness,3.58580307367409,3.1519748739169855,3.9759183926383876,1,TRUE
