parameter,mean,median,l95,u95,p_pos,kind,sig95
(Intercept),0.5260071063000534,0.5355179442923362,0.025272702034483653,1.0456056096465036,0.9788888888888889,occupancy,TRUE
bio7,0.13408389296528148,0.13244285260221225,0.031378398071382346,0.2433935823881428,0.9933333333333333,occupancy,TRUE
bio11,0.3097659613801357,0.3078099299388418,0.20837546889327319,0.4195926347727208,1,occupancy,TRUE
bio13,0.616440783161763,0.6159358456464965,0.4700272717103515,0.7709521430923183,1,occupancy,TRUE
elev_mean,-0.8773581667323551,-0.8745065289006859,-1.1173875711095818,-0.6298840981639011,0,occupancy,TRUE
elev_sd,0.10378227073375954,0.10326446245964319,0.030699912611133057,0.1812891865721975,0.9955555555555555,occupancy,TRUE
texture_contrast,0.0792689098206582,0.07937345713742375,-0.013482789477365517,0.16519479611828314,0.9611111111111111,occupancy,FALSE
npp_mean,-0.10730736388903472,-0.1082912072028021,-0.25309415478174263,0.05809580189074262,0.08888888888888889,occupancy,FALSE
landcover_trees,-0.3317127424873838,-0.33686444806006305,-0.4464898073353607,-0.20427473846143068,0,occupancy,TRUE
landcover_shrubs,0.0054101141736458075,0.0027307699653675932,-0.09287553706122215,0.13092791455535807,0.5255555555555556,occupancy,FALSE
landcover_grassland,-0.011436908792851655,-0.010686229028823813,-0.13094630886821876,0.10494763501305744,0.42444444444444446,occupancy,FALSE
landcover_water,-0.13027639006042832,-0.1311604008239586,-0.19384490829975423,-0.06317393099311314,0,occupancy,TRUE
habitat_diversity_shannon,-0.18897140726806144,-0.1900750561705178,-0.2748993548286742,-0.10606300284110731,0,occupancy,TRUE
hfi_mean,-0.047375916869552594,-0.04743242554873153,-0.17355019045812764,0.07704877750763911,0.21222222222222223,occupancy,FALSE
centroid_lat,-0.48148697113210187,-0.48479920630043805,-0.9528133539147994,0.04403672410841987,0.034444444444444444,occupancy,FALSE
centroid_lon,1.8464102627811037,1.8536797849272415,1.357474612551885,2.3175745541348585,1,occupancy,TRUE
year_scaled,0.5009793480339253,0.5031527341411877,0.40702447603127967,0.5948873033759712,1,occupancy,TRUE
(Intercept),-2.5983493753064764,-2.5970936429540563,-2.771619793940634,-2.4431333557671198,0,detection,TRUE
log_events,1.0046769506227433,1.003506806383402,0.931901833866132,1.082043545463209,1,detection,TRUE
log_observers,0.10810131485153857,0.1084526127725863,0.04432270798549557,0.17129302003360836,1,detection,TRUE
duration_min,-1.076553157111804e-4,-2.081535006180027e-4,-0.015539398939662833,0.014979606624940044,0.4888888888888889,detection,FALSE
