parameter,rhat,ess_bulk
b_Intercept,1.001683792125121,2787.0624462457854
b_z_bio4,1.0007461111791986,2030.3847310015483
b_z_elev_sd,1.0004493022076062,2772.160421625446
b_z_texture_shannon,0.9997484556304169,2810.1939121982573
b_z_npp_mean,1.0005401743646747,2119.2405833529742
b_z_landcover_built,1.0008632071945158,2579.4416519055535
b_z_habitat_diversity_shannon,1.0003173562101741,3123.450686120532
b_z_hfi_mean,1.000291486100836,1997.207611432734
b_z_centroid_lat,1.0009251677015976,2688.30191618916
sigma,1.0000160152742203,2892.32928870698
Intercept,1.0030814871377731,3208.0445772500934
lprior,1.000210070153047,2828.169655561832
lp__,1.0028562961496952,1707.1794232288282
