metric_label,n,rho,pearson,p_value,ols_slope,ols_int,R2,stat_label
Records (events),23,0.9693675889328064,0.8292937681999618,2.282164497793637e-6,0.6447698890204391,76206.57133726745,0.6877281539752921,n=23 | rho=0.97 | R2=0.69 | p=<0.001
Visits (observer-days),23,0.9871541501976284,0.8326086503890726,1.7632711262201979e-6,0.541794894573836,3478.1826227206057,0.6932371647027129,n=23 | rho=0.99 | R2=0.69 | p=<0.001
Unique observers,23,0.9735352485634281,0.7374468104161979,6.0863784765096064e-15,0.5240879600975156,296.701726486025,0.5438277981930235,n=23 | rho=0.97 | R2=0.54 | p=<0.001
Birding days,23,0.9273304602896999,0.689902304474633,2.0028129032806432e-10,0.32652563949010005,265.64941663251165,0.47596518971940943,n=23 | rho=0.93 | R2=0.48 | p=<0.001
Grids visited,23,0.9799852041204633,0.8375379283560807,3.33276197980891e-16,0.6622962799356964,713.7651602726289,0.701469781434995,n=23 | rho=0.98 | R2=0.70 | p=<0.001
Species detected,23,0.9901185770750989,0.9480602628592127,1.677435409742723e-6,0.4863134109382561,699.7711218935997,0.8988182620126796,n=23 | rho=0.99 | R2=0.90 | p=<0.001
Total duration (min),23,NA,NA,NA,0,-0,NA,n=23 | rho=NA | R2=NaN | p=NA
