source,year,n_total,n_kept,n_dropped,pct_dropped
China_Birdwatch_Platform,2000,4,2,2,50
China_Birdwatch_Platform,2002,228,114,114,50
China_Birdwatch_Platform,2003,226,127,99,43.80530973451327
China_Birdwatch_Platform,2004,153,97,56,36.60130718954248
China_Birdwatch_Platform,2005,491,231,260,52.95315682281059
China_Birdwatch_Platform,2006,505,258,247,48.91089108910891
China_Birdwatch_Platform,2007,1798,945,853,47.44160177975528
China_Birdwatch_Platform,2008,1157,811,346,29.904926534140017
China_Birdwatch_Platform,2009,1067,630,437,40.955951265229615
China_Birdwatch_Platform,2010,2007,1073,934,46.53712007972098
China_Birdwatch_Platform,2011,4409,2144,2265,51.372193241097754
China_Birdwatch_Platform,2012,2797,1522,1275,45.584554880228815
China_Birdwatch_Platform,2013,4898,1829,3069,62.65822784810127
China_Birdwatch_Platform,2014,8307,3162,5145,61.93571686529433
China_Birdwatch_Platform,2015,21541,11607,9934,46.11670767373845
China_Birdwatch_Platform,2016,20614,9966,10648,51.65421558164354
China_Birdwatch_Platform,2017,31515,11228,20287,64.37252102173568
China_Birdwatch_Platform,2018,38839,19885,18954,48.80146244753984
China_Birdwatch_Platform,2019,66233,32600,33633,50.77982274696903
China_Birdwatch_Platform,2020,104810,57286,47524,45.34300162198264
China_Birdwatch_Platform,2021,315268,177258,138010,43.775454533920346
China_Birdwatch_Platform,2022,644143,362106,282037,43.784842806643866
China_Birdwatch_Platform,2023,1999496,961975,1037521,51.88912605976706
China_Birdwatch_Platform,2024,8427830,3008934,5418896,64.29764245363279
China_Birdwatch_Platform,2025,50,28,22,44
GBIF_eBird_China,2000,3772,3747,25,0.662778366914104
GBIF_eBird_China,2001,3013,2988,25,0.829737802854298
GBIF_eBird_China,2002,13140,13085,55,0.4185692541856925
GBIF_eBird_China,2003,3116,3089,27,0.8664955070603337
GBIF_eBird_China,2004,11045,11023,22,0.19918515165233136
GBIF_eBird_China,2005,9749,9719,30,0.307723869114781
GBIF_eBird_China,2006,8489,8451,38,0.4476381199198963
GBIF_eBird_China,2007,18452,18390,62,0.33600693691740735
GBIF_eBird_China,2008,14802,14726,76,0.5134441291717335
GBIF_eBird_China,2009,15738,15642,96,0.6099885627144491
GBIF_eBird_China,2010,30395,30200,195,0.6415528869879914
GBIF_eBird_China,2011,25234,24847,387,1.5336450820321788
GBIF_eBird_China,2012,30254,30007,247,0.8164209691280492
GBIF_eBird_China,2013,46446,46132,314,0.6760539120699307
GBIF_eBird_China,2014,67898,66929,969,1.4271407110666
GBIF_eBird_China,2015,87869,86068,1801,2.049642080824864
GBIF_eBird_China,2016,120089,118292,1797,1.4963901772851802
GBIF_eBird_China,2017,149405,147259,2146,1.4363642448378569
GBIF_eBird_China,2018,254190,249873,4317,1.6983358904756285
GBIF_eBird_China,2019,324560,317448,7112,2.1912743406457973
GBIF_eBird_China,2020,267423,264142,3281,1.2268952184367088
GBIF_eBird_China,2021,356028,352453,3575,1.0041345062747873
GBIF_eBird_China,2022,367333,363558,3775,1.0276778835552483
GBIF_eBird_China,2023,635047,625962,9085,1.4306027742828484
