grid_cell,block_label,mean_local_sorensen
56,2000-2004,0.08631765150035481
57,2000-2004,0.08475148018772141
128,2000-2004,0.10574294570910142
129,2000-2004,0.09885882876386629
130,2000-2004,0.1534204597884845
198,2000-2004,0.08584834291954821
199,2000-2004,0.08691863182883418
203,2000-2004,0.07298325952300075
270,2000-2004,0.08800567761785746
271,2000-2004,0.08216155862719021
272,2000-2004,0.07284610938879149
274,2000-2004,0.0709656154485458
276,2000-2004,0.06945331543087994
341,2000-2004,0.1812938202064771
342,2000-2004,0.09857128696410938
343,2000-2004,0.086892406185725
344,2000-2004,0.07225911666280592
345,2000-2004,0.08582408448506505
347,2000-2004,0.07295609647452334
412,2000-2004,0.11265281815500501
413,2000-2004,0.10787018847658982
414,2000-2004,0.10002766122903137
415,2000-2004,0.10079096578928111
416,2000-2004,0.10389096736858933
417,2000-2004,0.08601670472260839
418,2000-2004,0.07906156412394084
483,2000-2004,0.10931619393080355
484,2000-2004,0.12977570288791798
485,2000-2004,0.127183389893941
486,2000-2004,0.12699295041035563
487,2000-2004,0.13865684544658086
488,2000-2004,0.11427362697873544
554,2000-2004,0.11423685627373201
555,2000-2004,0.10827980930111035
556,2000-2004,0.09489776790921571
557,2000-2004,0.0914124740935047
558,2000-2004,0.09352182643655416
559,2000-2004,0.09443838987489532
560,2000-2004,0.0952519892798782
561,2000-2004,0.08173439813535328
563,2000-2004,0.07394827675879033
564,2000-2004,0.07586838978428989
592,2000-2004,0.13458791609804235
593,2000-2004,0.1168831650375993
625,2000-2004,0.10381274891208837
626,2000-2004,0.09187400766575289
627,2000-2004,0.09454543235047036
628,2000-2004,0.09102807568591478
629,2000-2004,0.09611346012056832
630,2000-2004,0.10673563624603014
631,2000-2004,0.10882666077388885
632,2000-2004,0.10892715831303823
634,2000-2004,0.09670026637950054
635,2000-2004,0.0802349525077388
636,2000-2004,0.0811648460093583
637,2000-2004,0.09240658181732934
640,2000-2004,0.09058575644320914
663,2000-2004,0.16692896945628294
664,2000-2004,0.13044626961518951
665,2000-2004,0.12124451634754226
666,2000-2004,0.09696331511571477
696,2000-2004,0.12498094182313906
698,2000-2004,0.11249005884422315
699,2000-2004,0.10808640516304255
700,2000-2004,0.17938999187271903
701,2000-2004,0.12121324527661892
702,2000-2004,0.09704431324924918
704,2000-2004,0.11525661893325215
705,2000-2004,0.13335898705935706
706,2000-2004,0.11382002098320664
708,2000-2004,0.1273182423716857
710,2000-2004,0.11809327243428178
711,2000-2004,0.10808896453390472
712,2000-2004,0.11349622040219995
716,2000-2004,0.11747860959386935
717,2000-2004,0.10770459038220272
735,2000-2004,0.1294801878096037
736,2000-2004,0.10532415858702002
737,2000-2004,0.09855038994319498
738,2000-2004,0.12266830201513174
772,2000-2004,0.10940010744554572
773,2000-2004,0.09582739444669454
774,2000-2004,0.10889913312118768
775,2000-2004,0.09342896925723054
776,2000-2004,0.09391523214133553
777,2000-2004,0.0995349711486951
778,2000-2004,0.08256745367977003
783,2000-2004,0.0749953718064604
784,2000-2004,0.07270091293512917
785,2000-2004,0.07195996117301401
787,2000-2004,0.07570153239838247
788,2000-2004,0.1026237208131219
804,2000-2004,0.14607850876731146
805,2000-2004,0.14129398121789255
806,2000-2004,0.147848165410421
807,2000-2004,0.14986140011937715
808,2000-2004,0.13945131372710184
809,2000-2004,0.11517176837843335
810,2000-2004,0.11480832624294053
811,2000-2004,0.1120710692276774
812,2000-2004,0.16705067685483807
813,2000-2004,0.1654120937209551
845,2000-2004,0.09480397004571432
846,2000-2004,0.19534914284101254
847,2000-2004,0.08940334615199753
848,2000-2004,0.08633173646360634
849,2000-2004,0.07562494614871265
850,2000-2004,0.08042607549122438
851,2000-2004,0.07599125045832711
854,2000-2004,0.0860039523547281
855,2000-2004,0.07428243209754537
856,2000-2004,0.0728980770110969
857,2000-2004,0.06887654165490367
858,2000-2004,0.073759617843036
859,2000-2004,0.07378114345834953
860,2000-2004,0.06857001621626574
876,2000-2004,0.11008782139870649
877,2000-2004,0.10022043531129765
878,2000-2004,0.1071905324528167
879,2000-2004,0.11700226042351533
881,2000-2004,0.10360871469200875
882,2000-2004,0.10619098341248887
883,2000-2004,0.13186378624907868
884,2000-2004,0.16377978341479846
885,2000-2004,0.14637811642639678
916,2000-2004,0.1201396742546681
917,2000-2004,0.1341481730368057
918,2000-2004,0.1262521119657321
919,2000-2004,0.12218988908681112
920,2000-2004,0.12098995344084831
921,2000-2004,0.07991157059321294
922,2000-2004,0.0738879416496893
923,2000-2004,0.07764704345001132
926,2000-2004,0.07764759677781177
927,2000-2004,0.07480861127062297
929,2000-2004,0.06433491266308211
930,2000-2004,0.08215896034788085
931,2000-2004,0.08341584444345754
947,2000-2004,0.1010675258034483
948,2000-2004,0.10663407022694552
949,2000-2004,0.1014146692386062
950,2000-2004,0.10429636211557808
951,2000-2004,0.10142370676062501
952,2000-2004,0.10539816236930635
