species,n_grid_year_detections,n_blocks_detected,n_grids_detected,first_year,last_year
Passer montanus,5963,5,1088,2000,2024
Motacilla alba,5678,5,1057,2000,2024
Hirundo rustica,4514,5,963,2000,2024
Parus minor,4104,5,727,2000,2024
Pica serica,3717,5,747,2000,2024
Streptopelia orientalis,3593,5,836,2000,2024
Phoenicurus auroreus,3466,5,718,2000,2024
Spilopelia chinensis,3450,5,607,2000,2024
Falco tinnunculus,3402,5,919,2000,2024
Pycnonotus sinensis,3395,5,536,2000,2024
Egretta garzetta,3320,5,619,2000,2024
Tachybaptus ruficollis,3251,5,687,2000,2024
Upupa epops,3250,5,813,2000,2024
Ardea cinerea,3118,5,783,2000,2024
Alcedo atthis,2997,5,642,2000,2024
Lanius schach,2974,5,491,2000,2024
Anas platyrhynchos,2958,5,792,2000,2024
Phasianus colchicus,2918,5,723,2000,2024
Motacilla cinerea,2846,5,736,2000,2024
Chloris sinica,2811,5,643,2000,2024
Cecropis daurica,2793,5,642,2000,2024
Ardeola bacchus,2739,5,539,2000,2024
Anthus hodgsoni,2653,5,627,2000,2024
Ardea alba,2577,5,662,2000,2024
Gallinula chloropus,2568,5,609,2000,2024
Tadorna ferruginea,2555,5,720,2000,2024
Cuculus canorus,2488,5,755,2000,2024
Turdus mandarinus,2459,5,464,2000,2024
Phalacrocorax carbo,2411,5,677,2000,2024
Acridotheres cristatellus,2409,5,414,2000,2024
Corvus macrorhynchos,2403,5,638,2000,2024
Anas zonorhyncha,2371,5,589,2000,2024
Fulica atra,2357,5,676,2000,2024
Milvus migrans,2356,5,654,2000,2024
Phoenicurus fuliginosus,2356,5,472,2000,2024
Podiceps cristatus,2274,5,640,2000,2024
Copsychus saularis,2266,5,364,2000,2024
Actitis hypoleucos,2261,5,681,2000,2024
Zosterops simplex,2256,5,455,2000,2024
Sinosuthora webbiana,2255,5,456,2000,2024
Lanius cristatus,2224,5,644,2000,2024
Nycticorax nycticorax,2200,5,510,2000,2024
Dicrurus macrocercus,2178,5,481,2000,2024
Spodiopsar cineraceus,2151,5,568,2000,2024
Cyanopica cyanus,2143,5,475,2000,2024
Phylloscopus inornatus,2110,5,543,2000,2024
Phylloscopus proregulus,2092,5,570,2000,2024
Emberiza pusilla,2051,5,564,2000,2024
Corvus corone,2047,5,645,2000,2024
Chroicocephalus ridibundus,2034,5,582,2000,2024
Dendrocopos major,2027,5,537,2000,2024
Aegithalos concinnus,2023,5,378,2000,2024
Buteo japonicus,2013,5,641,2000,2024
Tringa ochropus,1977,5,621,2000,2024
Bubulcus coromandus,1974,5,474,2000,2024
Tarsiger cyanurus,1939,5,528,2000,2024
