layer_group,variable,available,n_finite,coverage_pct
climate_bioclim,bio1,TRUE,731,42.035652673950544
climate_bioclim,bio2,TRUE,731,42.035652673950544
climate_bioclim,bio3,TRUE,731,42.035652673950544
climate_bioclim,bio4,TRUE,731,42.035652673950544
climate_bioclim,bio5,TRUE,731,42.035652673950544
climate_bioclim,bio6,TRUE,731,42.035652673950544
climate_bioclim,bio7,TRUE,731,42.035652673950544
climate_bioclim,bio8,TRUE,731,42.035652673950544
climate_bioclim,bio9,TRUE,731,42.035652673950544
climate_bioclim,bio10,TRUE,731,42.035652673950544
climate_bioclim,bio11,TRUE,731,42.035652673950544
climate_bioclim,bio12,TRUE,731,42.035652673950544
climate_bioclim,bio13,TRUE,731,42.035652673950544
climate_bioclim,bio14,TRUE,731,42.035652673950544
climate_bioclim,bio15,TRUE,731,42.035652673950544
climate_bioclim,bio16,TRUE,731,42.035652673950544
climate_bioclim,bio17,TRUE,731,42.035652673950544
climate_bioclim,bio18,TRUE,731,42.035652673950544
climate_bioclim,bio19,TRUE,731,42.035652673950544
topography,elev_mean,TRUE,731,42.035652673950544
topography,elev_sd,TRUE,720,41.403105232892464
texture,texture_shannon,TRUE,725,41.69062679700978
texture,texture_entropy,TRUE,725,41.69062679700978
texture,texture_contrast,TRUE,725,41.69062679700978
productivity,npp_mean,TRUE,765,43.990799309948244
productivity,ndvi_mean,FALSE,0,0
landcover,landcover_trees,TRUE,736,42.32317423806786
landcover,landcover_cropland,TRUE,736,42.32317423806786
landcover,landcover_built,TRUE,736,42.32317423806786
landcover,landcover_shrubs,TRUE,736,42.32317423806786
landcover,landcover_grassland,TRUE,736,42.32317423806786
landcover,landcover_water,TRUE,736,42.32317423806786
habitat_diversity,habitat_diversity_shannon,TRUE,736,42.32317423806786
habitat_diversity,habitat_diversity_richness,TRUE,1739,100
habitat_diversity,habitat_diversity_evenness,TRUE,1739,100
habitat_diversity,habitat_dominance,TRUE,1739,100
habitat_diversity,habitat_diversity_simpson,TRUE,736,42.32317423806786
habitat_diversity,natural_landcover_fraction,TRUE,1739,100
habitat_diversity,human_modified_fraction,TRUE,1739,100
human_footprint,hfi_2000,TRUE,728,41.86313973548016
human_footprint,hfi_2005,TRUE,728,41.86313973548016
human_footprint,hfi_2010,TRUE,728,41.86313973548016
human_footprint,hfi_2015,TRUE,728,41.86313973548016
human_footprint,hfi_2020,TRUE,728,41.86313973548016
human_footprint,hfi_2024,TRUE,728,41.86313973548016
human_footprint,hfi_mean,TRUE,728,41.86313973548016
human_footprint,hfi_sd,TRUE,728,41.86313973548016
geography,centroid_lon,TRUE,1739,100
geography,centroid_lat,TRUE,1739,100
geography,area_km2,TRUE,1739,100
