covariate,species,mean,l95,u95,sig95
(Intercept),Accipiter nisus,3.3167966706882908,2.4184687922431216,4.573736769641414,TRUE
(Intercept),Acridotheres cristatellus,-2.579756329319136,-3.2500733698498108,-1.8553250693025425,TRUE
(Intercept),Actitis hypoleucos,2.126509411683265,0.9840531430491004,2.8901635893132647,TRUE
(Intercept),Aegithalos concinnus,-2.614967781415139,-3.2012268768565604,-1.86287947364064,TRUE
(Intercept),Alcedo atthis,0.6875517532526624,-0.08312093012509786,1.2903439615112589,FALSE
(Intercept),Anas carolinensis,0.8709021376606664,0.2019788304457474,2.6773610384191917,TRUE
(Intercept),Anas platyrhynchos,1.6979916455999775,0.5878725428542821,2.3370129130645694,TRUE
(Intercept),Anas zonorhyncha,0.17421286520795817,-0.44914315241956737,0.6918576817836342,FALSE
(Intercept),Anthus hodgsoni,1.5584010573169882,0.20199135774494023,3.863299136516213,TRUE
(Intercept),Ardea alba,1.6995103191259384,1.2004627078084327,2.2758875231887425,TRUE
(Intercept),Ardea cinerea,1.1469349639973985,0.6502480820442524,1.5847854896040663,TRUE
(Intercept),Ardeola bacchus,-0.6242341936676626,-1.4217111170088192,0.008642902677480604,FALSE
(Intercept),Bubulcus coromandus,0.06361426805140064,-0.983144362210788,1.6063537471453104,FALSE
(Intercept),Buteo japonicus,2.0969090085348183,1.0770458630606794,3.4045252046937233,TRUE
(Intercept),Cecropis daurica,0.5098576325146433,-0.48027429171950764,1.4033330898962606,FALSE
(Intercept),Chloris sinica,2.072515528771417,1.1997146539275776,2.73942570859373,TRUE
(Intercept),Chroicocephalus ridibundus,0.5139000534342976,-0.046876869567744374,1.1852723224440544,FALSE
(Intercept),Columba livia,1.9225052321522313,0.9598109462050299,3.077911629393276,TRUE
(Intercept),Copsychus saularis,-4.613240594041267,-5.331324339800483,-3.834843445266891,TRUE
(Intercept),Corvus corone,0.9336876290012949,0.4289966935293286,1.5477682714571854,TRUE
(Intercept),Corvus macrorhynchos,0.35750331800385227,-0.18933059058424012,1.0970709693864826,FALSE
(Intercept),Cuculus canorus,4.253917688653929,2.8690815666516936,5.738850176817687,TRUE
(Intercept),Cyanopica cyanus,-0.25673307681491864,-1.5800627833962713,0.7343268561075649,FALSE
(Intercept),Dendrocopos major,0.3560178271847682,-0.9642764482236552,1.0481837128781146,FALSE
(Intercept),Dicrurus macrocercus,-1.2148634516739039,-1.838141675333759,-0.3252407821774207,TRUE
