block_id,n_grids_visited,n_events_total,n_observers,mean_duration_min,block_start,block_end,block_label
1,233,1849,1003,946925.2963903255,2000,2004,2000-2004
2,360,4237,1999,8595.457186884207,2005,2009,2005-2009
3,590,10587,4892,98577.90192450605,2010,2014,2010-2014
4,919,43111,17025,53267.863797282145,2015,2019,2015-2019
5,1261,301420,84007,6398.021880506808,2020,2024,2020-2024
