species,v2_n_detections,v2_n_grids,v2_n_blocks,v1_n_detections,v1_n_grids,v1_n_blocks,delta_n_detections,pct_change_detections
Luscinia cyane,236,77,5,NA,NA,NA,NA,NA
Psilopogon asiaticus,236,52,5,241,53,5,-5,-2.074688796680498
Actinodura cyanouroptera,233,96,3,234,97,3,-1,-0.42735042735042733
Alcippe dubia,233,63,5,NA,NA,NA,NA,NA
Geokichla citrina,233,85,5,248,89,5,-15,-6.048387096774194
Passer ammodendri,232,109,5,232,109,5,0,0
Poecile hypermelaenus,232,85,5,232,85,5,0,0
Aegithalos fuliginosus,231,58,5,231,58,5,0,0
Charadrius mongolus,231,113,4,329,131,4,-98,-29.78723404255319
Pterorhinus lanceolatus,231,94,3,231,94,3,0,0
Monticola gularis,230,89,5,294,97,5,-64,-21.768707482993197
Iduna aedon,229,109,5,NA,NA,NA,NA,NA
Cyornis whitei,226,67,5,231,68,5,-5,-2.1645021645021645
Horornis flavolivaceus,226,71,5,228,72,5,-2,-0.8771929824561403
Prinia striata,226,123,5,242,126,5,-16,-6.6115702479338845
Tarsiger chrysaeus,226,60,5,231,61,5,-5,-2.1645021645021645
Niltava macgrigoriae,225,74,5,235,75,5,-10,-4.25531914893617
Paradoxornis guttaticollis,225,91,5,228,92,5,-3,-1.3157894736842106
Chalcophaps indica,224,71,5,229,71,5,-5,-2.183406113537118
Calidris alba,222,83,5,392,101,5,-170,-43.36734693877551
Larus relictus,221,83,5,321,96,5,-100,-31.152647975077883
Calidris tenuirostris,219,72,5,381,83,5,-162,-42.51968503937008
Chelidorhynx hypoxantha,219,54,5,NA,NA,NA,NA,NA
Haematopus ostralegus,218,83,5,368,94,5,-150,-40.76086956521739
Alcippe brunnea,217,73,5,NA,NA,NA,NA,NA
Calidris falcinellus,217,90,5,380,107,5,-163,-42.89473684210526
Pyrgilauda blanfordi,216,78,5,217,78,5,-1,-0.4608294930875576
Dryocopus martius,215,84,5,216,85,5,-1,-0.46296296296296297
Tragopan temminckii,215,56,5,217,56,5,-2,-0.9216589861751152
Carpodacus roseus,214,104,5,226,113,5,-12,-5.3097345132743365
Cettia castaneocoronata,214,60,5,221,62,5,-7,-3.167420814479638
Monticola saxatilis,214,91,5,214,91,5,0,0
Phylloscopus kansuensis,214,65,5,214,65,5,0,0
Grus monacha,213,80,5,252,87,5,-39,-15.476190476190476
Leptopoecile elegans,213,55,5,213,55,5,0,0
Chloris chloris,212,69,5,212,69,5,0,0
Locustella certhiola,212,108,5,NA,NA,NA,NA,NA
Sylvia curruca,212,98,5,NA,NA,NA,NA,NA
Pomatorhinus swinhoei,211,63,5,NA,NA,NA,NA,NA
Rhodospiza obsoleta,211,102,5,211,102,5,0,0
Dicrurus aeneus,210,49,5,219,51,5,-9,-4.109589041095891
Ninox japonica,210,87,5,252,94,5,-42,-16.666666666666668
Otus spilocephalus,210,78,5,211,78,5,-1,-0.47393364928909953
Phylloscopus occisinensis,209,87,3,218,95,3,-9,-4.128440366972477
Tringa brevipes,209,78,5,368,97,5,-159,-43.20652173913044
Cuculus optatus,207,109,5,254,120,5,-47,-18.503937007874015
Emberiza yunnanensis,206,114,3,206,114,3,0,0
Limnodromus semipalmatus,205,96,5,313,118,5,-108,-34.50479233226837
Gallinago megala,204,121,5,233,128,5,-29,-12.446351931330472
Geokichla sibirica,204,93,5,272,106,5,-68,-25
Locustella luteoventris,204,74,5,206,76,5,-2,-0.970873786407767
Buteo lagopus,203,105,5,215,111,5,-12,-5.5813953488372094
Bucanetes mongolicus,201,95,5,201,95,5,0,0
Calandrella brachydactyla,201,94,5,209,101,5,-8,-3.827751196172249
Cygnus olor,201,94,4,216,103,4,-15,-6.944444444444445
Nettapus coromandelianus,201,99,4,216,105,4,-15,-6.944444444444445
Calidris minuta,200,110,5,279,127,5,-79,-28.315412186379927
Crossoptilon crossoptilon,199,46,5,199,46,5,0,0
Egretta eulophotes,199,68,4,371,87,5,-172,-46.3611859838275
Aethopyga saturata,198,44,5,201,44,5,-3,-1.492537313432836
Phylloscopus valentini,198,85,4,202,88,4,-4,-1.9801980198019802
Erythrogenys swinhoei,197,87,4,197,87,4,0,0
Certhia himalayana,196,59,5,197,59,5,-1,-0.5076142131979695
Dicaeum cruentatum,195,50,5,206,50,5,-11,-5.339805825242719
Elachura formosa,195,57,4,198,58,4,-3,-1.5151515151515151
Yuhina occipitalis,195,49,5,201,50,5,-6,-2.985074626865672
Arundinax aedon,194,132,3,217,146,3,-23,-10.599078341013826
Locustella mandelli,194,80,5,198,82,5,-4,-2.0202020202020203
Fulvetta striaticollis,191,46,5,191,46,5,0,0
Larus cachinnans,191,72,4,197,78,4,-6,-3.045685279187817
Machlolophus spilonotus,191,66,4,191,66,4,0,0
Clanga clanga,190,114,3,208,118,4,-18,-8.653846153846153
Micropternus brachyurus,190,56,5,198,57,5,-8,-4.040404040404041
Aquila fasciata,189,97,5,202,104,5,-13,-6.435643564356436
Spizixos canifrons,189,35,5,190,35,5,-1,-0.5263157894736842
Ficedula narcissina,188,77,5,254,86,5,-66,-25.984251968503937
Cephalopyrus flammiceps,187,57,5,188,57,5,-1,-0.5319148936170213
Merops apiaster,187,57,5,187,57,5,0,0
Motacilla flava,187,69,5,191,73,5,-4,-2.094240837696335
Paradoxornis heudei,187,82,4,217,86,4,-30,-13.824884792626728
Podoces hendersoni,187,88,5,187,88,5,0,0
Arachnothera magna,186,38,5,189,38,5,-3,-1.5873015873015872
Alcippe fratercula,185,40,5,190,40,5,-5,-2.6315789473684212
Anthus campestris,185,61,5,185,61,5,0,0
Hypsipetes amaurotis,185,74,4,234,85,5,-49,-20.94017094017094
Aquila heliaca,184,102,5,196,104,5,-12,-6.122448979591836
Buteo buteo,183,79,5,183,79,5,0,0
Linaria cannabina,183,62,5,183,62,5,0,0
Pycnonotus cafer,183,37,5,187,38,5,-4,-2.1390374331550803
Grus japonensis,182,63,5,203,66,5,-21,-10.344827586206897
Ixobrychus flavicollis,182,85,4,190,91,4,-8,-4.2105263157894735
Otis tarda,182,72,5,186,75,5,-4,-2.150537634408602
Calidris canutus,181,69,5,338,84,5,-157,-46.44970414201183
Schoeniparus brunneus,181,98,3,182,99,3,-1,-0.5494505494505495
Artamus fuscus,180,59,5,194,61,5,-14,-7.216494845360825
Chrysolophus amherstiae,180,47,5,181,47,5,-1,-0.5524861878453039
Ficedula hyperythra,180,61,5,184,63,5,-4,-2.1739130434782608
Rhopodytes tristis,180,47,5,NA,NA,NA,NA,NA
Anser erythropus,179,78,5,217,90,5,-38,-17.51152073732719
Phalaropus lobatus,179,102,5,273,120,5,-94,-34.43223443223443
Tarsiger indicus,179,56,5,185,59,5,-6,-3.2432432432432434
Locustella thoracica,177,49,5,178,50,5,-1,-0.5617977528089888
Numenius minutus,177,78,5,259,94,5,-82,-31.66023166023166
Alophoixus pallidus,176,31,5,187,33,5,-11,-5.882352941176471
Luscinia megarhynchos,175,52,5,175,52,5,0,0
Pastor roseus,175,69,5,179,73,5,-4,-2.2346368715083798
Procarduelis nipalensis,175,51,5,178,51,5,-3,-1.6853932584269662
Sitta przewalskii,175,42,5,176,43,5,-1,-0.5681818181818182
Accipiter badius,174,71,5,196,72,5,-22,-11.224489795918368
Aethopyga siparaja,174,46,5,180,46,5,-6,-3.3333333333333335
Columba oenas,174,69,5,174,69,5,0,0
Ianthocincla maxima,173,64,3,173,64,3,0,0
Lanius giganteus,173,66,5,175,68,5,-2,-1.1428571428571428
Carpodacus davidianus,171,63,5,171,63,5,0,0
Chroicocephalus saundersi,170,53,5,NA,NA,NA,NA,NA
Locustella davidi,170,67,5,178,69,5,-8,-4.49438202247191
Phylloscopus collybita,170,81,4,174,85,4,-4,-2.2988505747126435
Pyrrhula nipalensis,170,63,5,172,65,5,-2,-1.1627906976744187
Minla strigula,168,44,5,NA,NA,NA,NA,NA
Hemipus picatus,166,37,5,170,38,5,-4,-2.3529411764705883
Acanthis flammea,165,97,4,173,103,4,-8,-4.624277456647399
Crossoptilon auritum,165,41,5,165,41,5,0,0
Larvivora cyane,164,95,4,199,107,4,-35,-17.587939698492463
Cypsiurus balasiensis,163,37,5,177,39,5,-14,-7.909604519774011
Pycnonotus flaviventris,162,30,5,NA,NA,NA,NA,NA
Francolinus pintadeanus,161,70,5,179,71,5,-18,-10.05586592178771
Helopsaltes certhiola,161,101,3,171,107,3,-10,-5.847953216374269
Spinus thibetanus,161,45,5,161,45,5,0,0
Yuhina flavicollis,161,40,5,173,42,5,-12,-6.936416184971098
Zoothera dixoni,161,46,5,164,47,5,-3,-1.829268292682927
Carpodacus trifasciatus,160,39,5,160,39,5,0,0
Dendrocopos darjellensis,158,37,5,164,40,5,-6,-3.658536585365854
Luscinia phaenicuroides,158,70,4,158,70,4,0,0
Mycerobas affinis,158,39,5,161,41,5,-3,-1.8633540372670807
Anthus trivialis,157,63,4,159,65,4,-2,-1.2578616352201257
Podiceps auritus,157,83,5,195,90,5,-38,-19.487179487179485
Saundersilarus saundersi,157,76,3,241,88,3,-84,-34.85477178423236
Calcarius lapponicus,156,80,5,172,83,5,-16,-9.30232558139535
Charadrius atrifrons,156,93,3,176,101,3,-20,-11.363636363636363
Gallicrex cinerea,155,92,5,177,100,5,-22,-12.429378531073446
Macropygia unchall,155,51,5,159,52,5,-4,-2.5157232704402515
Prinia rufescens,155,56,5,165,57,5,-10,-6.0606060606060606
Treron sphenurus,155,45,5,162,46,5,-7,-4.320987654320987
Muscicapa striata,154,52,5,155,53,5,-1,-0.6451612903225806
Cyornis glaucicomans,153,57,5,156,58,5,-3,-1.9230769230769231
Ficedula elisae,153,50,5,170,56,5,-17,-10
Pericrocotus roseus,153,49,5,154,50,5,-1,-0.6493506493506493
Arborophila gingica,151,44,5,151,44,5,0,0
Pyrrhula pyrrhula,151,82,4,155,86,4,-4,-2.5806451612903225
Charadrius veredus,150,77,4,203,88,4,-53,-26.108374384236452
Strix leptogrammica,150,58,4,152,58,4,-2,-1.3157894736842106
Copsychus malabaricus,149,38,5,155,39,5,-6,-3.870967741935484
Tephrodornis virgatus,149,45,5,155,46,5,-6,-3.870967741935484
Carpodacus puniceus,148,65,5,148,65,5,0,0
Lanius collurioides,148,50,5,155,51,5,-7,-4.516129032258065
Phylloscopus tephrocephalus,148,79,3,152,82,3,-4,-2.6315789473684212
Abroscopus superciliaris,147,36,5,150,37,5,-3,-2
Aviceda jerdoni,147,70,4,159,71,4,-12,-7.547169811320755
Dryobates minor,147,71,4,149,73,4,-2,-1.342281879194631
Melanocorypha mongolica,147,86,3,148,87,3,-1,-0.6756756756756757
Picoides tridactylus,147,54,5,147,54,5,0,0
Seicercus omeiensis,147,39,5,NA,NA,NA,NA,NA
Sitta frontalis,147,33,5,152,33,5,-5,-3.289473684210526
Acrocephalus arundinaceus,146,48,5,147,49,5,-1,-0.6802721088435374
Merops philippinus,146,46,5,178,51,5,-32,-17.97752808988764
Turdus maximus,146,59,5,149,60,5,-3,-2.0134228187919465
Curruca curruca,144,84,3,144,84,3,0,0
Oriolus traillii,144,34,5,147,35,5,-3,-2.0408163265306123
Suthora verreauxi,144,38,5,145,39,5,-1,-0.6896551724137931
Dendrocopos leucopterus,143,58,5,143,58,5,0,0
Garrulax albogularis,143,52,5,NA,NA,NA,NA,NA
Neosuthora davidiana,143,45,5,143,45,5,0,0
Melanochlora sultanea,142,31,5,145,31,5,-3,-2.0689655172413794
Phylloscopus intensior,142,44,5,148,45,5,-6,-4.054054054054054
Zapornia fusca,142,95,5,151,104,5,-9,-5.960264900662252
Garrulax ocellatus,141,42,5,NA,NA,NA,NA,NA
Serinus pusillus,141,62,5,141,62,5,0,0
Alectoris magna,139,36,5,139,36,5,0,0
Seicercus soror,139,56,5,NA,NA,NA,NA,NA
Sinosuthora conspicillata,139,41,5,139,41,5,0,0
Acrocephalus agricola,138,57,5,139,58,5,-1,-0.7194244604316546
Calliope tschebaiewi,137,48,5,139,48,5,-2,-1.4388489208633093
Seicercus affinis,137,58,5,NA,NA,NA,NA,NA
Saxicola caprata,136,37,5,144,37,5,-8,-5.555555555555555
Trochalopteron henrici,136,40,5,136,40,5,0,0
Phoenicurus erythronotus,135,65,5,136,66,5,-1,-0.7352941176470589
Grus leucogeranus,133,44,5,NA,NA,NA,NA,NA
Dupetor flavicollis,132,57,5,NA,NA,NA,NA,NA
Cecropis striolata,131,47,5,139,48,5,-8,-5.755395683453237
Cettia brunnifrons,131,44,5,137,46,5,-6,-4.37956204379562
Ficedula westermanni,131,40,5,139,41,5,-8,-5.755395683453237
Pnoepyga albiventer,131,28,5,134,28,5,-3,-2.2388059701492535
Pelecanus crispus,130,64,5,196,73,5,-66,-33.673469387755105
Aquila clanga,129,65,5,NA,NA,NA,NA,NA
Anthus rufulus,127,60,5,137,63,5,-10,-7.299270072992701
Circaetus gallicus,126,65,5,130,66,5,-4,-3.076923076923077
Phoenicurus alaschanicus,126,42,5,126,42,5,0,0
Pterorhinus chinensis,126,45,4,131,45,4,-5,-3.816793893129771
Anthus gustavi,125,59,5,201,72,5,-76,-37.81094527363184
Curruca communis,125,55,3,125,55,3,0,0
Leucogeranus leucogeranus,125,58,4,143,70,4,-18,-12.587412587412587
Pterorhinus berthemyi,125,53,4,125,53,4,0,0
Tesia cyaniventer,125,34,5,129,36,5,-4,-3.10077519379845
Coracina macei,123,48,5,125,48,5,-2,-1.6
Gallus gallus,123,44,5,134,44,5,-11,-8.208955223880597
Urocynchramus pylzowi,123,42,5,123,42,5,0,0
Niltava grandis,122,31,5,122,31,5,0,0
Sasia ochracea,122,36,4,126,36,4,-4,-3.1746031746031744
Conostoma aemodium,121,24,5,123,24,5,-2,-1.6260162601626016
Syrmaticus ellioti,121,44,5,121,44,5,0,0
Lanius excubitor,119,62,5,119,62,5,0,0
Phyllergates cucullatus,119,45,3,121,46,3,-2,-1.6528925619834711
Phylloscopus emeiensis,119,35,5,120,36,5,-1,-0.8333333333333334
Carpodacus subhimachalus,118,42,5,121,44,5,-3,-2.479338842975207
Certhia tianquanensis,118,26,5,118,26,5,0,0
Emberiza bruniceps,118,48,5,119,48,5,-1,-0.8403361344537815
Phylloscopus soror,118,60,3,124,62,3,-6,-4.838709677419355
Abroscopus schisticeps,117,30,5,125,31,5,-8,-6.4
Aethopyga nipalensis,117,33,5,128,36,5,-11,-8.59375
Ixobrychus minutus,117,41,4,117,41,4,0,0
Cygnus atratus,116,56,4,NA,NA,NA,NA,NA
Porzana fusca,116,61,5,NA,NA,NA,NA,NA
Stachyris nigriceps,115,21,5,117,21,5,-2,-1.7094017094017093
Lanius collurio,114,43,5,115,44,5,-1,-0.8695652173913043
Luscinia brunnea,113,35,5,NA,NA,NA,NA,NA
Psarisomus dalhousiae,113,20,5,117,20,5,-4,-3.4188034188034186
Terpsiphone atrocaudata,113,46,3,173,56,3,-60,-34.68208092485549
Ianthocincla lunulata,112,32,5,112,32,5,0,0
Lanius borealis,112,66,4,116,68,4,-4,-3.4482758620689653
Acrocephalus dumetorum,111,45,4,111,45,4,0,0
Staphida castaniceps,111,34,5,115,34,5,-4,-3.4782608695652173
Trochalopteron milnei,111,25,5,113,25,5,-2,-1.7699115044247788
Ianthocincla cineracea,110,60,3,110,60,3,0,0
Ianthocincla ocellata,110,38,2,111,38,2,-1,-0.9009009009009009
Dicaeum melanozanthum,109,42,5,115,45,5,-6,-5.217391304347826
Phoenicurus phoenicurus,109,48,4,109,48,4,0,0
Riparia chinensis,109,28,5,117,30,5,-8,-6.837606837606837
Streptopelia turtur,109,45,5,109,45,5,0,0
Turdus feae,109,28,5,112,28,5,-3,-2.6785714285714284
Nyctyornis athertoni,108,23,5,115,24,5,-7,-6.086956521739131
Phylloscopus intermedius,108,52,3,111,55,3,-3,-2.7027027027027026
Psilopogon franklinii,108,27,5,113,28,5,-5,-4.424778761061947
Fulvetta manipurensis,107,32,5,114,33,5,-7,-6.140350877192983
Grandala coelicolor,107,42,5,107,42,5,0,0
Carpodacus verreauxii,106,35,5,109,36,5,-3,-2.7522935779816513
Emberiza cia,106,55,5,107,55,5,-1,-0.9345794392523364
Poecile davidi,106,26,5,106,26,5,0,0
Rallus aquaticus,106,60,4,111,64,4,-5,-4.504504504504505
Sylvia communis,106,40,5,NA,NA,NA,NA,NA
Carpodacus edwardsii,105,30,5,107,31,5,-2,-1.8691588785046729
Circus aeruginosus,105,63,5,105,63,5,0,0
Carpodacus lepidus,103,59,3,103,59,3,0,0
Emberiza buchanani,103,44,5,103,44,5,0,0
Hemixos flavala,103,18,4,108,18,4,-5,-4.62962962962963
Pterorhinus albogularis,103,42,3,107,42,3,-4,-3.7383177570093458
Sitta yunnanensis,103,33,5,104,34,5,-1,-0.9615384615384616
Sturnia malabarica,103,36,5,109,37,5,-6,-5.504587155963303
Treron sieboldii,103,48,4,113,54,4,-10,-8.849557522123893
Locustella chengi,102,32,5,102,32,5,0,0
Rhinomyias brunneatus,102,41,5,NA,NA,NA,NA,NA
Lanius minor,101,38,5,101,38,5,0,0
Cyanoptila cumatilis,100,42,4,103,43,4,-3,-2.912621359223301
Trochalopteron formosum,100,18,5,100,18,5,0,0
Turdus albocinctus,100,29,5,102,30,5,-2,-1.9607843137254901
Iduna caligata,99,40,5,101,42,5,-2,-1.9801980198019802
Remiz coronatus,99,44,5,99,44,5,0,0
Sitta himalayensis,99,33,5,106,34,5,-7,-6.60377358490566
Tetrastes sewerzowi,99,24,5,99,24,5,0,0
Zoothera dauma,99,44,5,102,46,5,-3,-2.9411764705882355
Zoothera mollissima,99,32,5,99,32,5,0,0
Tragopan caboti,98,27,5,98,27,5,0,0
Turnix tanki,98,59,5,117,64,5,-19,-16.23931623931624
Chrysococcyx maculatus,97,44,4,101,44,4,-4,-3.9603960396039604
Prunella atrogularis,97,47,4,97,47,4,0,0
Pteruthius melanotis,97,25,5,102,26,5,-5,-4.901960784313726
Stachyridopsis chrysaea,97,18,5,NA,NA,NA,NA,NA
Aethopyga ignicauda,95,27,5,100,30,5,-5,-5
Chrysophlegma flavinucha,95,20,5,99,21,5,-4,-4.040404040404041
Urocissa flavirostris,95,28,5,102,30,5,-7,-6.862745098039215
Actinodura egertoni,94,13,5,99,15,5,-5,-5.05050505050505
Cinnyris jugularis,94,29,4,99,29,4,-5,-5.05050505050505
Pitta nympha,94,50,3,107,56,3,-13,-12.149532710280374
Pycnonotus flavescens,94,18,5,98,18,5,-4,-4.081632653061225
Tyto longimembris,94,46,5,107,48,5,-13,-12.149532710280374
Cisticola exilis,93,46,4,102,49,4,-9,-8.823529411764707
Macronus gularis,93,16,5,NA,NA,NA,NA,NA
Tringa guttifer,93,45,4,184,57,4,-91,-49.45652173913044
Corvus monedula,92,47,2,92,47,2,0,0
Cyornis brunneatus,92,50,3,97,52,3,-5,-5.154639175257732
Passer hispaniolensis,92,49,5,92,49,5,0,0
Charadrius dealbatus,91,56,2,134,66,3,-43,-32.08955223880597
Oriolus oriolus,91,37,4,91,37,4,0,0
Gallinago solitaria,90,49,5,92,51,5,-2,-2.1739130434782608
Picus chlorolophus,90,18,5,96,18,5,-6,-6.25
Pyrgilauda davidiana,90,23,5,90,23,5,0,0
Spilopelia senegalensis,90,41,5,90,41,5,0,0
Turdus pilaris,90,32,4,90,32,4,0,0
Alcippe castaneceps,89,27,5,NA,NA,NA,NA,NA
Curruca minula,89,59,2,89,59,2,0,0
Emberiza hortulana,89,33,4,90,34,4,-1,-1.1111111111111112
Chlidonias niger,88,36,5,88,36,5,0,0
Haliaeetus leucoryphus,88,47,5,88,47,5,0,0
Zapornia pusilla,88,52,3,97,58,3,-9,-9.278350515463918
Caprimulgus europaeus,87,40,5,87,40,5,0,0
Cyornis unicolor,87,34,5,92,36,5,-5,-5.434782608695652
Cettia major,86,27,5,90,29,5,-4,-4.444444444444445
Dicrurus paradiseus,86,18,5,90,18,5,-4,-4.444444444444445
Acrocephalus concinens,85,55,4,88,58,4,-3,-3.409090909090909
Carpodacus roborowskii,85,27,5,85,27,5,0,0
Timalia pileata,85,27,4,87,27,4,-2,-2.2988505747126435
Psilopogon haemacephalus,84,15,5,89,15,5,-5,-5.617977528089888
Pycnonotus striatus,84,15,5,NA,NA,NA,NA,NA
Tetraophasis obscurus,84,21,5,84,21,5,0,0
Dicrurus remifer,83,16,4,88,17,4,-5,-5.681818181818182
Suthora fulvifrons,83,21,5,85,22,5,-2,-2.3529411764705883
Tetraophasis szechenyii,83,22,5,83,22,5,0,0
Dicrurus annectens,82,27,5,88,28,5,-6,-6.818181818181818
Nipponia nippon,82,23,5,83,23,5,-1,-1.2048192771084338
Pellorneum ruficeps,82,14,5,85,14,5,-3,-3.5294117647058822
Brachypteryx montana,81,25,5,NA,NA,NA,NA,NA
Cholornis unicolor,81,21,5,85,22,5,-4,-4.705882352941177
Phylloscopus chloronotus,81,33,5,84,34,5,-3,-3.5714285714285716
Phylloscopus fuligiventer,81,28,5,81,28,5,0,0
Tetrastes bonasia,81,41,5,83,43,5,-2,-2.4096385542168677
Thalasseus bergii,81,34,3,180,49,5,-99,-55
Gallirallus striatus,80,47,5,NA,NA,NA,NA,NA
Otus scops,80,29,4,80,29,4,0,0
Phaenicophaeus tristis,80,28,4,82,28,4,-2,-2.4390243902439024
Aegithina tiphia,79,14,5,83,14,5,-4,-4.819277108433735
Caprimulgus affinis,79,33,4,91,37,4,-12,-13.186813186813186
Carpodacus thura,79,28,5,80,28,5,-1,-1.25
Emberiza citrinella,79,35,3,79,35,3,0,0
Ficedula parva,79,45,4,106,50,5,-27,-25.471698113207548
Mycerobas melanozanthos,79,35,5,82,35,5,-3,-3.658536585365854
Rallina eurizonoides,79,51,3,84,52,3,-5,-5.9523809523809526
Heterophasia pulchella,78,19,5,84,19,5,-6,-7.142857142857143
Plegadis falcinellus,78,63,4,93,70,4,-15,-16.129032258064516
Curruca nisoria,77,43,3,77,43,3,0,0
Locustella tacsanowskia,77,42,5,82,44,5,-5,-6.097560975609756
Serilophus lunatus,77,14,5,82,14,5,-5,-6.097560975609756
Anastomus oscitans,76,28,4,77,29,4,-1,-1.2987012987012987
Iduna rama,76,38,4,76,38,4,0,0
Porphyrio porphyrio,76,18,5,94,21,5,-18,-19.148936170212767
Sterna sumatrana,76,32,3,148,47,5,-72,-48.648648648648646
Turdus chrysolaus,76,42,4,127,52,5,-51,-40.15748031496063
Moupinia poecilotis,75,24,5,76,24,5,-1,-1.3157894736842106
Rissa tridactyla,75,46,4,80,49,4,-5,-6.25
Sylvia nisoria,75,30,5,NA,NA,NA,NA,NA
Aegithalos bonvaloti,74,39,3,74,39,3,0,0
Pterocles orientalis,74,30,5,74,30,5,0,0
Clangula hyemalis,73,44,4,100,59,5,-27,-27
Cuculus nisicolor,73,45,5,NA,NA,NA,NA,NA
Delichon nipalense,73,25,5,84,26,5,-11,-13.095238095238095
Ducula badia,73,19,5,77,19,5,-4,-5.194805194805195
Iole propinqua,73,15,5,76,15,5,-3,-3.9473684210526314
Ketupa flavipes,73,28,5,73,28,5,0,0
Schoeniparus dubius,73,40,3,73,40,3,0,0
Sitta cinnamoventris,73,25,5,77,28,5,-4,-5.194805194805195
Chrysomma sinense,72,16,4,74,16,4,-2,-2.7027027027027026
Stachyris strialata,72,19,5,76,19,5,-4,-5.2631578947368425
Anas poecilorhyncha,71,19,5,73,19,5,-2,-2.73972602739726
Brachypteryx sinensis,71,35,5,71,35,5,0,0
Calidris pygmaea,71,22,4,143,35,5,-72,-50.34965034965035
Phylloscopus omeiensis,71,36,2,71,36,2,0,0
Porzana pusilla,71,32,5,NA,NA,NA,NA,NA
Carpodacus stoliczkae,70,19,5,70,19,5,0,0
Egretta sacra,70,24,5,134,41,5,-64,-47.76119402985075
Seicercus poliogenys,70,21,4,NA,NA,NA,NA,NA
Sinosuthora brunnea,70,15,5,74,16,5,-4,-5.405405405405405
Columba palumbus,69,28,4,69,28,4,0,0
Coturnix coturnix,69,30,5,69,30,5,0,0
Napothera brevicaudata,69,17,4,NA,NA,NA,NA,NA
Syrrhaptes tibetanus,69,38,5,69,38,5,0,0
Tesia olivea,69,17,4,72,18,4,-3,-4.166666666666667
Cettia cetti,68,26,4,68,26,4,0,0
Phoenicurus coeruleocephala,68,31,4,68,31,4,0,0
Picoides kizuki,68,37,4,73,41,4,-5,-6.8493150684931505
Alophoixus flaveolus,67,14,5,72,14,5,-5,-6.944444444444445
Ficedula superciliaris,67,28,5,71,29,5,-4,-5.633802816901408
Melanitta stejnegeri,67,43,5,127,61,5,-60,-47.24409448818898
Prinia crinigera,67,24,5,69,25,5,-2,-2.898550724637681
Chloropsis moluccensis,66,10,5,NA,NA,NA,NA,NA
Heterophasia picaoides,66,10,5,69,10,5,-3,-4.3478260869565215
Tarsiger albocoeruleus,66,41,4,67,41,4,-1,-1.492537313432836
Perisoreus internigrans,65,16,5,65,16,5,0,0
Turnix suscitator,65,40,5,73,42,5,-8,-10.95890410958904
Garrulax sukatschewi,64,14,5,NA,NA,NA,NA,NA
Leiothrix argentauris,64,24,3,67,25,3,-3,-4.477611940298507
Lewinia striata,64,33,2,79,40,2,-15,-18.9873417721519
Pellorneum tickelli,64,15,5,66,15,5,-2,-3.0303030303030303
Phylloscopus borealoides,64,31,3,103,41,3,-39,-37.86407766990291
Urocissa whiteheadi,64,13,5,66,15,5,-2,-3.0303030303030303
Alcippe poioicephala,63,14,5,65,14,5,-2,-3.076923076923077
Anthus sylvanus,63,43,5,65,45,5,-2,-3.076923076923077
Emberiza koslowi,63,15,5,63,15,5,0,0
Otus semitorques,63,41,4,67,42,4,-4,-5.970149253731344
Strix uralensis,63,35,4,66,37,4,-3,-4.545454545454546
Dendrocygna javanica,62,27,4,76,30,4,-14,-18.42105263157895
Phylloscopus examinandus,62,30,3,90,37,3,-28,-31.11111111111111
Erithacus akahige,61,25,5,NA,NA,NA,NA,NA
Megalurus palustris,61,20,5,68,20,5,-7,-10.294117647058824
Phalacrocorax capillatus,61,33,3,134,52,4,-73,-54.47761194029851
Prunella himalayana,61,28,4,62,28,4,-1,-1.6129032258064515
Calandrella dukhunensis,60,49,4,63,51,4,-3,-4.761904761904762
Larus schistisagus,60,35,5,109,55,5,-49,-44.95412844036697
Phylloscopus griseolus,60,38,4,60,38,4,0,0
Podoces biddulphi,60,28,5,60,28,5,0,0
Coloeus monedula,59,24,5,NA,NA,NA,NA,NA
Cuculus hyperythrus,59,25,5,NA,NA,NA,NA,NA
Liocichla ripponi,59,10,5,60,10,5,-1,-1.6666666666666667
Trochalopteron erythrocephalum,59,16,5,63,16,5,-4,-6.349206349206349
Certhia nipalensis,58,17,4,62,18,4,-4,-6.451612903225806
Ficedula sapphira,58,24,5,67,24,5,-9,-13.432835820895523
Garrulax maesi,58,25,5,59,26,5,-1,-1.694915254237288
Gorsachius magnificus,58,31,5,58,31,5,0,0
Heterophasia annectans,58,12,5,NA,NA,NA,NA,NA
Oriolus kundoo,58,31,3,58,31,3,0,0
Oriolus tenuirostris,58,17,4,61,17,4,-3,-4.918032786885246
Gorsachius melanolophus,57,28,2,61,31,2,-4,-6.557377049180328
Lyrurus tetrix,57,26,3,58,27,3,-1,-1.7241379310344827
Acrocephalus scirpaceus,56,24,5,56,24,5,0,0
Apus cooki,56,33,3,58,34,3,-2,-3.4482758620689653
Gecinulus grantia,56,20,4,59,20,4,-3,-5.084745762711864
Luscinia pectardens,56,16,5,NA,NA,NA,NA,NA
Acrocephalus stentoreus,55,17,4,55,17,4,0,0
Agraphospiza rubescens,55,28,5,55,28,5,0,0
Anthus pratensis,55,33,4,56,34,4,-1,-1.7857142857142858
Heterophasia gracilis,55,9,4,57,9,4,-2,-3.508771929824561
Yungipicus kizuki,55,22,4,NA,NA,NA,NA,NA
Dendrocopos atratus,54,11,4,58,12,4,-4,-6.896551724137931
