species,v2_n_detections,v2_n_grids,v2_n_blocks,v1_n_detections,v1_n_grids,v1_n_blocks,delta_n_detections,pct_change_detections
Yuhina nigrimenta,419,116,5,420,116,5,-1,-0.23809523809523808
Aerodramus brevirostris,416,146,5,491,162,5,-75,-15.274949083503055
Minla cyanouroptera,416,98,5,NA,NA,NA,NA,NA
Terpsiphone incei,416,189,5,440,197,5,-24,-5.454545454545454
Delichon urbicum,415,186,5,434,197,5,-19,-4.377880184331797
Seicercus castaniceps,415,119,5,NA,NA,NA,NA,NA
Dendrocopos hyperythrus,410,149,5,433,156,5,-23,-5.311778290993072
Petronia petronia,410,129,5,410,129,5,0,0
Coracina melaschistos,408,138,5,NA,NA,NA,NA,NA
Sitta nagaensis,408,87,5,413,88,5,-5,-1.2106537530266344
Charadrius leschenaultii,407,156,5,600,172,5,-193,-32.166666666666664
Carpodacus sibiricus,406,180,5,416,185,5,-10,-2.4038461538461537
Loxia curvirostra,405,176,5,413,180,5,-8,-1.937046004842615
Rallus indicus,405,172,5,441,180,5,-36,-8.16326530612245
Zosterops palpebrosus,404,100,5,418,104,5,-14,-3.349282296650718
Carpodacus rubicilloides,403,118,5,403,118,5,0,0
Falco cherrug,402,229,4,409,236,4,-7,-1.7114914425427872
Carpodacus waltoni,399,115,5,399,115,5,0,0
Larus canus,397,162,5,501,180,5,-104,-20.758483033932137
Clamator coromandus,395,164,5,415,170,5,-20,-4.819277108433735
Hieraaetus pennatus,394,170,5,405,174,5,-11,-2.7160493827160495
Chloropsis hardwickii,393,101,5,400,104,5,-7,-1.75
Bombycilla garrulus,391,204,5,408,207,5,-17,-4.166666666666667
Bubo bubo,390,196,5,399,201,5,-9,-2.255639097744361
Phylloscopus tenellipes,389,159,5,471,169,5,-82,-17.409766454352443
Heterophasia desgodinsi,387,100,5,391,101,5,-4,-1.0230179028132993
Phylloscopus reguloides,387,106,5,401,109,5,-14,-3.491271820448878
Cacomantis merulinus,386,130,5,404,134,5,-18,-4.455445544554456
Calliope calliope,386,197,4,445,217,4,-59,-13.258426966292134
Ficedula strophiata,386,107,5,398,111,5,-12,-3.0150753768844223
Emberiza schoeniclus,385,167,5,439,176,5,-54,-12.300683371298405
Scolopax rusticola,384,177,5,434,186,5,-50,-11.52073732718894
Horornis diphone,383,134,5,471,142,5,-88,-18.683651804670912
Garrulax pectoralis,382,96,5,NA,NA,NA,NA,NA
Hydroprogne caspia,382,147,5,555,160,5,-173,-31.17117117117117
Bombycilla japonica,381,162,5,406,167,5,-25,-6.157635467980295
Calidris acuminata,381,141,5,512,149,5,-131,-25.5859375
Acridotheres tristis,380,148,5,423,157,5,-43,-10.16548463356974
Horornis acanthizoides,380,116,5,383,119,5,-3,-0.783289817232376
Rostratula benghalensis,380,164,4,411,170,5,-31,-7.542579075425791
Carpodacus vinaceus,377,97,5,377,97,5,0,0
Parus major,373,136,5,377,139,5,-4,-1.0610079575596818
Leucosticte brandti,371,130,5,373,131,5,-2,-0.5361930294906166
Dendrocopos leucotos,366,146,5,373,151,5,-7,-1.876675603217158
Eophona personata,366,153,5,390,158,5,-24,-6.153846153846154
Myiomela leucura,365,113,5,374,116,5,-9,-2.406417112299465
Pteruthius aeralatus,363,88,5,372,90,5,-9,-2.4193548387096775
Urosphena squameiceps,360,134,5,424,144,5,-64,-15.09433962264151
Psilopogon faber,359,113,5,364,115,5,-5,-1.3736263736263736
Xenus cinereus,359,131,5,555,144,5,-196,-35.31531531531532
Aegithalos caudatus,356,168,5,375,179,5,-19,-5.066666666666666
Pterorhinus davidi,356,146,4,356,146,4,0,0
Amaurornis akool,354,105,5,NA,NA,NA,NA,NA
Montifringilla adamsi,354,111,5,355,111,5,-1,-0.28169014084507044
Haliaeetus albicilla,353,158,5,368,164,5,-15,-4.076086956521739
Panurus biarmicus,353,134,5,356,134,5,-3,-0.8426966292134831
Buteo rufinus,352,168,5,352,168,5,0,0
Babax lanceolatus,347,100,5,NA,NA,NA,NA,NA
Prunella collaris,347,134,5,356,138,5,-9,-2.5280898876404496
Mergus squamatus,345,136,5,358,142,5,-13,-3.631284916201117
Prinia superciliaris,345,103,5,350,105,5,-5,-1.4285714285714286
Perdix hodgsoniae,344,108,5,344,108,5,0,0
Pericrocotus brevirostris,340,93,5,352,95,5,-12,-3.409090909090909
Prunella montanella,340,146,5,347,150,5,-7,-2.0172910662824206
Certhia familiaris,339,142,5,354,150,5,-15,-4.237288135593221
Parus spilonotus,337,84,5,NA,NA,NA,NA,NA
Emberiza aureola,336,189,4,377,200,4,-41,-10.875331564986737
Seicercus valentini,335,79,5,NA,NA,NA,NA,NA
Chloropsis lazulina,334,137,5,337,139,5,-3,-0.8902077151335311
Ithaginis cruentus,334,77,5,336,77,5,-2,-0.5952380952380952
Cyanistes cyanus,330,121,5,330,121,5,0,0
Columba leuconota,329,111,5,330,111,5,-1,-0.30303030303030304
Nisaetus nipalensis,329,109,5,338,110,5,-9,-2.662721893491124
Chloris ambigua,324,80,5,325,80,5,-1,-0.3076923076923077
Grus virgo,323,138,5,326,140,5,-3,-0.9202453987730062
Ictinaetus malayensis,323,86,5,NA,NA,NA,NA,NA
Alectoris chukar,322,166,5,323,167,5,-1,-0.30959752321981426
Ibidorhyncha struthersii,322,128,5,331,128,5,-9,-2.719033232628399
Lanius phoenicuroides,320,111,5,320,111,5,0,0
Turdus merula,320,120,5,321,121,5,-1,-0.3115264797507788
Phylloscopus goodsoni,316,111,5,339,117,5,-23,-6.784660766961652
Chrysolophus pictus,313,101,5,313,101,5,0,0
Pterorhinus pectoralis,313,125,5,323,129,5,-10,-3.0959752321981426
