covariate,species,mean,l95,u95,sig95
(Intercept),Abroscopus albogularis,-3.2452677917879034,-4.1889998941798225,-1.9776867711051098,TRUE
(Intercept),Accipiter nisus,2.3540500264528648,-2.37689865466463,4.340135543746144,FALSE
(Intercept),Accipiter soloensis,-2.636660380342144,-3.5397079047493993,-1.8462225177751448,TRUE
(Intercept),Accipiter trivirgatus,-3.140898711405521,-5.233985455024255,1.2097821254542656,FALSE
(Intercept),Accipiter virgatus,-2.5974188515886287,-3.504242075369919,-1.271612342121081,TRUE
(Intercept),Acridotheres cristatellus,-2.693136759382338,-3.4623165007930217,-1.6990135103036432,TRUE
(Intercept),Acrocephalus orientalis,-0.4601833002665689,-1.302030009154385,1.8927422636229891,FALSE
(Intercept),Actitis hypoleucos,2.24368622403806,1.1756776151853152,3.8776701738512545,TRUE
(Intercept),Aegithalos concinnus,-2.7295035481544128,-3.435680411514487,-2.054028466939637,TRUE
(Intercept),Aegithalos glaucogularis,-1.9103844879144343,-2.552697170186411,-1.3644634143257248,TRUE
(Intercept),Aethopyga christinae,-6.0622646938276565,-7.901297718861488,-3.741202224179303,TRUE
(Intercept),Aix galericulata,-0.8000328885667375,-1.6430329789589881,-0.026906079966240472,TRUE
(Intercept),Alauda arvensis,0.25386617352884866,-0.5687032169582754,0.9880731121751952,FALSE
(Intercept),Alauda gulgula,-0.4295266810101692,-1.761909612282975,2.345577271173244,FALSE
(Intercept),Alcedo atthis,0.5877976501523557,-0.31540655241675863,1.3763869288959305,FALSE
(Intercept),Amaurornis phoenicurus,-2.7395787638323768,-3.654896638249627,-1.396831946169468,TRUE
(Intercept),Anas acuta,0.5467347391788487,-0.22243429691492528,2.210727418223582,FALSE
(Intercept),Anas carolinensis,0.8311460473475428,0.05938870194005445,1.7969449141967966,TRUE
(Intercept),Anas platyrhynchos,1.7970374168260643,1.052805923920392,2.4102821268388004,TRUE
(Intercept),Anas zonorhyncha,0.02243194132152052,-1.2733944996510305,1.0082473318238498,FALSE
(Intercept),Anser anser,-0.003911039805627976,-0.9166519532140909,0.9077562466984553,FALSE
(Intercept),Anthus hodgsoni,0.8456607563308947,-0.18786277059286155,1.615137290069367,FALSE
(Intercept),Anthus richardi,1.0482944897265392,-0.05782472703233345,1.7590719802874268,FALSE
(Intercept),Anthus roseatus,-0.8294104538879656,-1.5022494766040313,0.015807571696281584,FALSE
(Intercept),Anthus rubescens,-1.2201821355470228,-1.9378066940271745,-0.36309164444078523,TRUE
(Intercept),Anthus spinoletta,1.8247285754974596,0.9215013017451096,2.7045372668279226,TRUE
(Intercept),Apus apus,1.0540531214065763,0.0492201040955369,3.1046861914195363,TRUE
