year,source_short,metric,value
2019,China_Birdwatch,total_duration_min,945282161
2020,China_Birdwatch,n_records,46068
2020,China_Birdwatch,n_visits,2721
2020,China_Birdwatch,n_observers,288
2020,China_Birdwatch,n_birding_days,361
2020,China_Birdwatch,n_grids_100km,342
2020,China_Birdwatch,n_species,948
2020,China_Birdwatch,mean_duration_min,17710.050338627923
2020,China_Birdwatch,total_duration_min,815866599
2021,China_Birdwatch,n_records,145875
2021,China_Birdwatch,n_visits,8510
2021,China_Birdwatch,n_observers,583
2021,China_Birdwatch,n_birding_days,365
2021,China_Birdwatch,n_grids_100km,528
2021,China_Birdwatch,n_species,1129
2021,China_Birdwatch,mean_duration_min,8500.025768637413
2021,China_Birdwatch,total_duration_min,1239941259
2022,China_Birdwatch,n_records,313778
2022,China_Birdwatch,n_visits,17436
2022,China_Birdwatch,n_observers,988
2022,China_Birdwatch,n_birding_days,365
2022,China_Birdwatch,n_grids_100km,602
2022,China_Birdwatch,n_species,1130
2022,China_Birdwatch,mean_duration_min,5335.045070081058
2022,China_Birdwatch,total_duration_min,1674019772
2023,China_Birdwatch,n_records,836484
2023,China_Birdwatch,n_visits,45145
2023,China_Birdwatch,n_observers,2413
2023,China_Birdwatch,n_birding_days,365
2023,China_Birdwatch,n_grids_100km,920
2023,China_Birdwatch,n_species,1258
2023,China_Birdwatch,mean_duration_min,2201.3746120669234
2023,China_Birdwatch,total_duration_min,1841414641
2024,China_Birdwatch,n_records,2720464
2024,China_Birdwatch,n_visits,146369
2024,China_Birdwatch,n_observers,9086
2024,China_Birdwatch,n_birding_days,365
2024,China_Birdwatch,n_grids_100km,1120
2024,China_Birdwatch,n_species,1336
2024,China_Birdwatch,mean_duration_min,597.9226165098318
2024,China_Birdwatch,total_duration_min,1626626953
2000,eBird_GBIF,n_records,2169
2000,eBird_GBIF,n_visits,155
2000,eBird_GBIF,n_observers,33
2000,eBird_GBIF,n_birding_days,121
2000,eBird_GBIF,n_grids_100km,64
2000,eBird_GBIF,n_species,559
2000,eBird_GBIF,mean_duration_min,NA
2000,eBird_GBIF,total_duration_min,0
2001,eBird_GBIF,n_records,2286
2001,eBird_GBIF,n_visits,138
2001,eBird_GBIF,n_observers,26
2001,eBird_GBIF,n_birding_days,116
2001,eBird_GBIF,n_grids_100km,63
2001,eBird_GBIF,n_species,595
2001,eBird_GBIF,mean_duration_min,NA
2001,eBird_GBIF,total_duration_min,0
2002,eBird_GBIF,n_records,11898
2002,eBird_GBIF,n_visits,655
2002,eBird_GBIF,n_observers,76
2002,eBird_GBIF,n_birding_days,199
2002,eBird_GBIF,n_grids_100km,124
2002,eBird_GBIF,n_species,769
2002,eBird_GBIF,mean_duration_min,NA
2002,eBird_GBIF,total_duration_min,0
2003,eBird_GBIF,n_records,3005
2003,eBird_GBIF,n_visits,218
2003,eBird_GBIF,n_observers,38
2003,eBird_GBIF,n_birding_days,158
2003,eBird_GBIF,n_grids_100km,69
2003,eBird_GBIF,n_species,566
2003,eBird_GBIF,mean_duration_min,NA
2003,eBird_GBIF,total_duration_min,0
2004,eBird_GBIF,n_records,10128
2004,eBird_GBIF,n_visits,494
2004,eBird_GBIF,n_observers,78
2004,eBird_GBIF,n_birding_days,229
2004,eBird_GBIF,n_grids_100km,123
2004,eBird_GBIF,n_species,679
2004,eBird_GBIF,mean_duration_min,NA
2004,eBird_GBIF,total_duration_min,0
2005,eBird_GBIF,n_records,8581
2005,eBird_GBIF,n_visits,562
2005,eBird_GBIF,n_observers,69
2005,eBird_GBIF,n_birding_days,267
2005,eBird_GBIF,n_grids_100km,118
2005,eBird_GBIF,n_species,776
2005,eBird_GBIF,mean_duration_min,NA
2005,eBird_GBIF,total_duration_min,0
2006,eBird_GBIF,n_records,7609
2006,eBird_GBIF,n_visits,637
2006,eBird_GBIF,n_observers,103
2006,eBird_GBIF,n_birding_days,288
2006,eBird_GBIF,n_grids_100km,135
2006,eBird_GBIF,n_species,736
2006,eBird_GBIF,mean_duration_min,NA
2006,eBird_GBIF,total_duration_min,0
2007,eBird_GBIF,n_records,16780
2007,eBird_GBIF,n_visits,996
2007,eBird_GBIF,n_observers,135
2007,eBird_GBIF,n_birding_days,309
2007,eBird_GBIF,n_grids_100km,203
2007,eBird_GBIF,n_species,889
2007,eBird_GBIF,mean_duration_min,NA
2007,eBird_GBIF,total_duration_min,0
2008,eBird_GBIF,n_records,12869
2008,eBird_GBIF,n_visits,814
2008,eBird_GBIF,n_observers,130
2008,eBird_GBIF,n_birding_days,306
2008,eBird_GBIF,n_grids_100km,142
2008,eBird_GBIF,n_species,841
2008,eBird_GBIF,mean_duration_min,NA
2008,eBird_GBIF,total_duration_min,0
2009,eBird_GBIF,n_records,11493
2009,eBird_GBIF,n_visits,848
2009,eBird_GBIF,n_observers,166
2009,eBird_GBIF,n_birding_days,309
2009,eBird_GBIF,n_grids_100km,150
2009,eBird_GBIF,n_species,802
2009,eBird_GBIF,mean_duration_min,NA
2009,eBird_GBIF,total_duration_min,0
2010,eBird_GBIF,n_records,26825
2010,eBird_GBIF,n_visits,1400
2010,eBird_GBIF,n_observers,183
2010,eBird_GBIF,n_birding_days,342
2010,eBird_GBIF,n_grids_100km,200
2010,eBird_GBIF,n_species,860
2010,eBird_GBIF,mean_duration_min,NA
2010,eBird_GBIF,total_duration_min,0
2011,eBird_GBIF,n_records,21425
2011,eBird_GBIF,n_visits,1149
2011,eBird_GBIF,n_observers,183
2011,eBird_GBIF,n_birding_days,312
2011,eBird_GBIF,n_grids_100km,214
2011,eBird_GBIF,n_species,900
2011,eBird_GBIF,mean_duration_min,NA
2011,eBird_GBIF,total_duration_min,0
2012,eBird_GBIF,n_records,26600
2012,eBird_GBIF,n_visits,1669
2012,eBird_GBIF,n_observers,249
2012,eBird_GBIF,n_birding_days,346
2012,eBird_GBIF,n_grids_100km,271
2012,eBird_GBIF,n_species,944
2012,eBird_GBIF,mean_duration_min,NA
2012,eBird_GBIF,total_duration_min,0
2013,eBird_GBIF,n_records,41356
2013,eBird_GBIF,n_visits,2227
2013,eBird_GBIF,n_observers,274
2013,eBird_GBIF,n_birding_days,364
2013,eBird_GBIF,n_grids_100km,279
2013,eBird_GBIF,n_species,1039
2013,eBird_GBIF,mean_duration_min,NA
2013,eBird_GBIF,total_duration_min,0
2014,eBird_GBIF,n_records,55948
2014,eBird_GBIF,n_visits,2743
2014,eBird_GBIF,n_observers,347
2014,eBird_GBIF,n_birding_days,364
2014,eBird_GBIF,n_grids_100km,339
2014,eBird_GBIF,n_species,1076
2014,eBird_GBIF,mean_duration_min,NA
2014,eBird_GBIF,total_duration_min,0
2015,eBird_GBIF,n_records,64175
2015,eBird_GBIF,n_visits,3183
2015,eBird_GBIF,n_observers,399
2015,eBird_GBIF,n_birding_days,365
2015,eBird_GBIF,n_grids_100km,391
2015,eBird_GBIF,n_species,1057
2015,eBird_GBIF,mean_duration_min,NA
2015,eBird_GBIF,total_duration_min,0
2016,eBird_GBIF,n_records,86391
2016,eBird_GBIF,n_visits,4274
2016,eBird_GBIF,n_observers,541
2016,eBird_GBIF,n_birding_days,366
2016,eBird_GBIF,n_grids_100km,382
2016,eBird_GBIF,n_species,1086
2016,eBird_GBIF,mean_duration_min,NA
2016,eBird_GBIF,total_duration_min,0
2017,eBird_GBIF,n_records,116972
2017,eBird_GBIF,n_visits,6186
2017,eBird_GBIF,n_observers,723
2017,eBird_GBIF,n_birding_days,365
2017,eBird_GBIF,n_grids_100km,447
2017,eBird_GBIF,n_species,1123
2017,eBird_GBIF,mean_duration_min,NA
2017,eBird_GBIF,total_duration_min,0
2018,eBird_GBIF,n_records,216196
2018,eBird_GBIF,n_visits,9559
2018,eBird_GBIF,n_observers,873
2018,eBird_GBIF,n_birding_days,365
2018,eBird_GBIF,n_grids_100km,538
2018,eBird_GBIF,n_species,1175
2018,eBird_GBIF,mean_duration_min,NA
2018,eBird_GBIF,total_duration_min,0
2019,eBird_GBIF,n_records,268851
2019,eBird_GBIF,n_visits,11942
2019,eBird_GBIF,n_observers,1028
2019,eBird_GBIF,n_birding_days,365
2019,eBird_GBIF,n_grids_100km,614
2019,eBird_GBIF,n_species,1179
2019,eBird_GBIF,mean_duration_min,NA
2019,eBird_GBIF,total_duration_min,0
2020,eBird_GBIF,n_records,212474
2020,eBird_GBIF,n_visits,10204
2020,eBird_GBIF,n_observers,625
2020,eBird_GBIF,n_birding_days,366
