block_id,block_label,median_pairwise_sorensen,median_pairwise_sorensen_l95,median_pairwise_sorensen_u95,iqr_pairwise_sorensen
1,2000-2004,0.3953935779592963,0.3883873643235079,0.40443249837782635,0.2937384254779469
2,2005-2009,0.38994514287490334,0.3858411511308612,0.394356770283503,0.29119612442464304
3,2010-2014,0.38104696123708987,0.37764703825873663,0.38499407325756446,0.285772107812204
4,2015-2019,0.36419167082180387,0.3609978779672111,0.36792287160499376,0.2785550441889804
5,2020-2024,0.3233022234794306,0.32043846907025897,0.3263007634273098,0.2511821729272701
