year,effort_pc1,effort_zmean,pc1_var_explained,pc2_var_explained
2000,-0.8795880268398689,-0.8489636774639098,0.85316,0.1041
2001,-1.309927631788996,-1.3625001418075535,0.85316,0.1041
2002,-0.5374327851115764,-0.54668216731154,0.85316,0.1041
2003,-0.9508390437879635,-0.9521979634719135,0.85316,0.1041
2004,-0.6057805375265538,-0.62043018016704,0.85316,0.1041
2005,-0.5036110204271124,-0.500128803520994,0.85316,0.1041
2006,-0.4306799466445613,-0.4261650516929258,0.85316,0.1041
2007,-0.0770144259637554,-0.047917746882873626,0.85316,0.1041
2008,-0.28381332473208537,-0.2829353351641004,0.85316,0.1041
2009,-0.23165033696542303,-0.2273452427925812,0.85316,0.1041
2010,-0.03436589201151465,-0.02489986404694901,0.85316,0.1041
2011,0.03586314577412602,0.060721810922265695,0.85316,0.1041
2012,0.11674982546283033,0.1326838955118869,0.85316,0.1041
2013,0.24517062838750656,0.26492769317608234,0.85316,0.1041
2014,0.30788457338595404,0.3154426974019386,0.85316,0.1041
2015,0.4484945325405306,0.46160210908436605,0.85316,0.1041
2016,0.48771175508557035,0.4903835081878981,0.85316,0.1041
2017,0.616993716956592,0.6206471042573302,0.85316,0.1041
2018,0.745882126469948,0.7455715467306462,0.85316,0.1041
2019,0.82068301110512,0.8167959381235349,0.85316,0.1041
2020,0.7667162930510337,0.7655351363363093,0.85316,0.1041
2021,0.9366471774849288,0.9290277242908016,0.85316,0.1041
2022,1.0170969856137702,1.006041232309178,0.85316,0.1041
2023,1.2761643282630855,1.2526905651153926,0.85316,0.1041
2024,1.4676918807916504,1.4322697396349076,0.85316,0.1041
2025,-3.445047008573235,-3.454174526760158,0.85316,0.1041
