grid_cell,metric,mean,sd,q025,median,q975,stability_metric
56,corrected_richness,20.74215002133856,1.763114959646534,17.62985463357744,20.62710317269976,24.68262894655932,temporal_stability_cv_inv
57,corrected_richness,18.508037299001398,1.2955103460176816,16.100522063334445,18.429931671101482,21.007403412126024,temporal_stability_cv_inv
128,corrected_richness,19.084206312540385,1.4546502100689684,16.520922707560402,18.99978939534077,22.118016624778527,temporal_stability_cv_inv
198,corrected_richness,16.43079317211406,1.091067978222478,14.567002701411315,16.34793789787254,18.869642100566224,temporal_stability_cv_inv
199,corrected_richness,17.680706947997223,1.1492416532283185,15.679915316856343,17.633667093957836,20.11574633280956,temporal_stability_cv_inv
203,corrected_richness,30.47631498394269,3.1755046302805092,25.307051795142183,30.11616584455459,37.432658040959026,temporal_stability_cv_inv
270,corrected_richness,16.782535651603446,1.0979895156123187,14.811255668708647,16.69875911864397,19.211712055165368,temporal_stability_cv_inv
271,corrected_richness,16.382373673046345,1.05867055982508,14.629249395144116,16.352084790461284,18.71025450605944,temporal_stability_cv_inv
272,corrected_richness,16.535333984802477,1.0694838017251336,14.703186351222765,16.455671926827478,18.884099791921845,temporal_stability_cv_inv
274,corrected_richness,18.2391857050445,1.231273524796529,16.111703756664863,18.108607869258076,20.970568187022632,temporal_stability_cv_inv
276,corrected_richness,23.290393862033177,1.8943134607407304,20.05764240863577,23.059889379098752,27.45805659338224,temporal_stability_cv_inv
341,corrected_richness,15.767799503875327,1.3156924417610991,13.513389990337757,15.738387142057348,18.527592288672842,temporal_stability_cv_inv
342,corrected_richness,19.988661463917182,2.0017446763038813,16.75959447772611,19.83289306584541,24.467674349310094,temporal_stability_cv_inv
343,corrected_richness,24.074177973139122,2.5852836456475283,19.415787840303096,23.971175174809925,29.245599993246554,temporal_stability_cv_inv
344,corrected_richness,19.620634828651063,1.6855107022917832,16.6335448896738,19.483580018120783,22.994642457978966,temporal_stability_cv_inv
345,corrected_richness,15.704874756514146,1.1570869584677295,13.889746987881521,15.660321002093518,18.154298018243583,temporal_stability_cv_inv
347,corrected_richness,17.349498808236326,1.105789912910589,15.337155154900843,17.266696261228716,19.698343940581587,temporal_stability_cv_inv
412,corrected_richness,17.62970281786754,1.1713151719587167,15.563008054802712,17.582096655935405,20.224768900404364,temporal_stability_cv_inv
413,corrected_richness,16.38004199782653,0.9572368252283264,14.643647282044428,16.306438667550786,18.370766919553898,temporal_stability_cv_inv
414,corrected_richness,16.815461155712544,0.9671773462693409,15.025739082054121,16.754754523908492,18.905659567290652,temporal_stability_cv_inv
415,corrected_richness,15.262788540983163,0.9137571917457938,13.665938277166667,15.21408475955356,17.30429659109136,temporal_stability_cv_inv
416,corrected_richness,15.301346662850518,0.95651900401635,13.701212562287107,15.263596483814688,17.348949776269983,temporal_stability_cv_inv
417,corrected_richness,23.366776122381946,2.336580700191099,19.37860916311929,23.227585593147985,28.19508138792683,temporal_stability_cv_inv
418,corrected_richness,23.121123808204,2.148157821778647,19.470486221513514,22.98022817058383,27.767628400200778,temporal_stability_cv_inv
483,corrected_richness,12.679801802157556,0.8227936865303949,11.127715350336187,12.630841381742247,14.430115177615338,temporal_stability_cv_inv
484,corrected_richness,13.67491212340999,0.9880536436995102,12.067822288143477,13.587311950004171,15.85800572607192,temporal_stability_cv_inv
485,corrected_richness,14.102030044249338,1.0245342160321829,12.395036912396037,14.021276443228341,16.409721125704394,temporal_stability_cv_inv
486,corrected_richness,13.53187997033161,0.8692009261923511,12.005546119557462,13.492786074240549,15.544869711660464,temporal_stability_cv_inv
487,corrected_richness,14.620636505266496,1.0371747793170727,12.947430260030558,14.547526042189617,16.69234444371387,temporal_stability_cv_inv
554,corrected_richness,11.933256114768051,0.7724956421788151,10.599273726427171,11.901249248121506,13.626984135275814,temporal_stability_cv_inv
555,corrected_richness,12.058143828812828,0.8147464658563922,10.568008131136056,12.000285123372706,13.833576928514995,temporal_stability_cv_inv
556,corrected_richness,12.339019008649645,0.8626675465220013,10.800407327950326,12.317681866534897,14.186082578308284,temporal_stability_cv_inv
557,corrected_richness,12.81401297635181,0.9023512130933858,11.323240607039155,12.740832812136365,14.953186873136044,temporal_stability_cv_inv
558,corrected_richness,12.913318018204144,0.9124997865412595,11.389495885957079,12.854973187569762,14.995780929130701,temporal_stability_cv_inv
559,corrected_richness,12.725745122408286,0.8288432385903644,11.170136896563825,12.692537391837252,14.589986841265382,temporal_stability_cv_inv
560,corrected_richness,13.780463139867207,0.896204465330254,12.105293346956532,13.687602864179674,15.925009333173245,temporal_stability_cv_inv
561,corrected_richness,24.05578306146217,2.021024113176698,20.744575686393375,23.80092143252014,28.36449318178862,temporal_stability_cv_inv
563,corrected_richness,22.538444059062417,1.4689050778903543,19.81224192393011,22.486434549485725,25.589037244348035,temporal_stability_cv_inv
564,corrected_richness,24.064899254983917,1.5947429996023086,21.160983945151028,24.028168488744853,27.141703738490893,temporal_stability_cv_inv
592,corrected_richness,13.568783667008358,0.9197770019873763,11.995684229213822,13.478264701951794,15.444444599792721,temporal_stability_cv_inv
593,corrected_richness,12.924251869873663,0.8364089614204929,11.590625145141908,12.909584820692675,14.663059224333484,temporal_stability_cv_inv
625,corrected_richness,21.987093677810662,1.8320322557450601,18.954029221744584,21.94024214951152,26.053846601302176,temporal_stability_cv_inv
626,corrected_richness,20.322093548883096,1.5279871940252967,17.78258930493691,20.193807796528194,23.738956172330994,temporal_stability_cv_inv
627,corrected_richness,19.683059974337844,1.322471862452228,17.437060658168782,19.51885304087513,22.57709757714984,temporal_stability_cv_inv
628,corrected_richness,20.614008441367243,1.4337402473804672,18.08115116647865,20.466603636084194,23.903855965596406,temporal_stability_cv_inv
629,corrected_richness,19.22817876064326,1.242255302119902,17.11666939629044,19.155304018794773,21.858239600548686,temporal_stability_cv_inv
630,corrected_richness,18.951317488022116,1.3224286892909283,16.392143264175402,18.90362470349001,21.596102077177257,temporal_stability_cv_inv
634,corrected_richness,18.293958480010527,1.2282744125819045,16.222760004681316,18.213685043298813,20.810817148546192,temporal_stability_cv_inv
635,corrected_richness,21.099480459615606,1.5854707083821513,18.32738045590449,21.018105825082277,24.326852527689876,temporal_stability_cv_inv
636,corrected_richness,23.433770260832535,1.9023030682381141,20.13300623940534,23.290876599078445,27.38482668636742,temporal_stability_cv_inv
637,corrected_richness,22.0091661113345,1.9588595439650653,18.774004676924122,21.84125073255139,26.186330374962772,temporal_stability_cv_inv
640,corrected_richness,21.880342893932703,1.4658231920204698,19.041271529762536,21.72620967193369,24.913784591352705,temporal_stability_cv_inv
663,corrected_richness,12.171058018925844,0.9503729769176639,10.598949383998033,12.125812714110225,14.08296410015901,temporal_stability_cv_inv
664,corrected_richness,11.689686844062278,0.8049034809294038,10.3034370947867,11.666696955515604,13.360771281668248,temporal_stability_cv_inv
