mean,sd,q025,median,q975,metric,period,grid_cell
187.5711074764115,4.030420692631461,180.65161965270048,187.30680759861298,195.52699414084336,corrected_richness,P1,56
198.7370890407027,3.6514515197124067,191.63787483664768,198.6669535301444,205.86896658581884,corrected_richness,P1,57
200.3060958908239,4.025693221100017,192.7607761678168,200.33386423260254,208.4500975806133,corrected_richness,P1,128
179.75110477427407,3.0047510986068793,173.77504303556123,179.69703121031284,185.9293648354424,corrected_richness,P1,198
212.3046106136814,3.52062071165322,205.73592821924862,212.42731256930196,219.5214214931568,corrected_richness,P1,199
176.97805964683212,3.481257965923189,169.88484699379381,176.82416926402038,183.58519449374597,corrected_richness,P1,203
172.70916543249302,2.8464017490120512,167.33760502698928,172.53508586182238,178.6693788628254,corrected_richness,P1,270
177.2728297445322,2.902005804674564,171.55417111815584,177.1479635090776,183.4654214462753,corrected_richness,P1,271
177.87865262916313,2.9018157899605925,172.38070315673468,177.7375142027402,184.18548044081294,corrected_richness,P1,272
207.611716419503,3.5141175546924326,201.4285940294373,207.6734077340323,214.93286310466198,corrected_richness,P1,274
211.54095887093106,4.097451954849425,204.32449296213957,211.36863437691943,219.82950828310794,corrected_richness,P1,276
163.23926764760515,3.733480963753147,155.83777516106053,163.2301265250106,170.45613718165376,corrected_richness,P1,341
152.83735854305564,3.4201630448109843,146.19185451811052,152.88773600994,159.57309201295254,corrected_richness,P1,342
171.22976764871552,3.7831894049551793,164.1484065924967,171.46289903509907,178.94563268042964,corrected_richness,P1,343
163.69317323230862,3.0271765155784336,157.8617783861081,163.86886460248587,169.33260676311636,corrected_richness,P1,344
157.58346001920313,2.9206382565109643,152.4723829883222,157.44769049560517,163.3614392248229,corrected_richness,P1,345
162.2561939551921,2.1510646096443757,158.50459593032443,162.1337283555135,166.7554015246199,corrected_richness,P1,347
172.15284947350438,2.592598972198603,167.8522450963523,171.96938538819012,177.32019231717166,corrected_richness,P1,412
197.28433042407696,2.9971728488526197,192.08640789703753,197.12484826204053,203.53934905838548,corrected_richness,P1,413
196.74504362879867,2.7425119141798096,191.8948639018123,196.5656662179664,202.7054697218231,corrected_richness,P1,414
190.64659300983777,3.1607218381318374,184.83339760962895,190.57962341141564,197.56270416332487,corrected_richness,P1,415
190.28971222468525,3.2827243604755854,184.13417766572007,190.2086479835795,197.405474276031,corrected_richness,P1,416
166.8891515963746,3.221022642031834,160.62518952379787,166.87376275149927,172.80656371539123,corrected_richness,P1,417
171.59166440993235,3.1181147945694194,165.48345561636202,171.41110156074137,177.19639780094326,corrected_richness,P1,418
144.0346764194656,2.770383210472167,138.9077378770221,143.9449781976598,149.44356823821488,corrected_richness,P1,483
152.51324519767255,3.0321414070201937,146.9788347867183,152.30472168287685,158.62363910706352,corrected_richness,P1,484
156.6641666839877,3.168978446063593,150.73079440303033,156.49202312158843,163.00256183712932,corrected_richness,P1,485
158.25425386141484,3.055202423064626,152.60800001080446,158.25803418033416,164.24047955934847,corrected_richness,P1,486
166.70741417094132,3.2554009421050343,160.75367887692062,166.69991583967692,173.20914245564538,corrected_richness,P1,487
140.0234930393175,2.6216641035307586,134.936657604425,139.9884830922224,145.29624732758393,corrected_richness,P1,554
137.6225342618902,2.7566023803757225,131.9430800353933,137.47147275342564,142.9078677928805,corrected_richness,P1,555
132.92973949892624,2.6130739460794903,128.08747146461565,132.87633350876933,138.22120107835002,corrected_richness,P1,556
134.61030015900235,2.4986306149164723,130.09327984535815,134.6621800764546,139.09675719635203,corrected_richness,P1,557
136.13941266561955,2.679885600992939,131.31411190403145,136.0211901719486,141.58060419614188,corrected_richness,P1,558
143.0147904979306,2.681944459505807,137.61894030787607,143.0366670541081,148.59715498976678,corrected_richness,P1,559
143.3472438497957,2.485789133172672,138.75332518182222,143.31457417275686,148.3076818058752,corrected_richness,P1,560
161.19578131551683,2.6554162814402944,155.8141701501399,161.29920715309362,166.0694057591915,corrected_richness,P1,561
175.21266020135232,2.2046679497963915,171.0536892753306,175.18243853670856,179.8408147575041,corrected_richness,P1,563
175.10494279399612,2.163787536427744,170.93761697544036,175.10605754530545,179.5212381960814,corrected_richness,P1,564
148.90145374359483,2.741904435566824,143.59999973990648,149.01538696411103,154.34514519138702,corrected_richness,P1,592
143.4337967136788,2.8012600324438397,138.42562845980132,143.37786293896366,149.01907234468814,corrected_richness,P1,593
158.94491004914303,2.915446652152199,153.34228409201248,159.06770292749803,164.74492688245093,corrected_richness,P1,625
162.4061148556554,2.7173218147972302,157.4265186782916,162.33579896032347,168.27580736951205,corrected_richness,P1,626
166.08991187460003,2.2170361908986043,161.67474632074644,166.02420775644998,170.41174748574005,corrected_richness,P1,627
165.21116420774536,2.3093091457817456,161.0481514795471,165.24130970088873,169.693589177419,corrected_richness,P1,628
167.73073181706977,2.201588727912585,163.80354150881607,167.7624109633568,172.07024189691256,corrected_richness,P1,629
166.38301890036593,2.6288034518942487,160.95360893662087,166.29888298027592,171.52734310247723,corrected_richness,P1,630
188.74694360914808,3.362444649658406,182.4169545304229,188.5863745909777,195.35483242409254,corrected_richness,P1,634
181.38350781700314,3.2364542083656755,175.22031228124405,181.37581090896532,187.63796033812406,corrected_richness,P1,635
171.85792820275614,2.810959700152051,166.19861260788477,171.90474225784993,177.40472357751176,corrected_richness,P1,636
177.5971216633192,3.34729084862066,171.06358230225345,177.74298669182213,184.67106106432595,corrected_richness,P1,637
207.37517019807362,2.771853217799757,202.21951442390525,207.03562477523343,213.1658677556604,corrected_richness,P1,640
116.33554890459729,2.6371610813169903,111.12708605908405,116.36186127235273,121.44167119107753,corrected_richness,P1,663
