grid_cell,period,metric,value_mean,value_l95,value_u95,block_label
1970,P2,trait_dispersion,1.3509673669541016,1.3358146727277656,1.3652569463934645,P2
1971,P2,trait_dispersion,1.3441012996947936,1.3293408585343298,1.3582626471555734,P2
1972,P2,trait_dispersion,1.3368172379812144,1.3216442180164651,1.3510495853907774,P2
1973,P2,trait_dispersion,1.3291465645457265,1.3136548373383725,1.3432223803787646,P2
1974,P2,trait_dispersion,1.3211510751533813,1.3057572433306381,1.335863162656244,P2
1975,P2,trait_dispersion,1.3129134747271216,1.2974451737855557,1.3273665904102199,P2
1976,P2,trait_dispersion,1.3045177512801174,1.289468001204811,1.3192786818476545,P2
1977,P2,trait_dispersion,1.2960304589657639,1.281477327373763,1.309957717423131,P2
1978,P2,trait_dispersion,1.287499379887797,1.2729895576588979,1.3014707418919167,P2
1979,P2,trait_dispersion,1.2789793221938661,1.2645940204127242,1.2928664784185722,P2
1980,P2,trait_dispersion,1.2705742032994418,1.2569020156964932,1.2844590509146698,P2
1981,P2,trait_dispersion,1.2624611134660955,1.2486960313133726,1.2761964438892588,P2
1982,P2,trait_dispersion,1.254863298338832,1.241919875991804,1.2678482121496943,P2
1983,P2,trait_dispersion,1.2479786154682644,1.2357950564243576,1.2604725929673126,P2
1984,P2,trait_dispersion,1.2419100259717297,1.2301102917849214,1.2539600582409725,P2
1985,P2,trait_dispersion,1.2366427573900147,1.2253442231967369,1.2478678176186888,P2
1986,P2,trait_dispersion,1.2320787856107385,1.2213502912686869,1.2427972879159073,P2
1987,P2,trait_dispersion,1.228101858009706,1.217015765622079,1.2383141487626401,P2
1988,P2,trait_dispersion,1.2246300333057245,1.2134784660486786,1.2346664856037894,P2
1989,P2,trait_dispersion,1.2216306185831562,1.211104746203036,1.2315141164090113,P2
1990,P2,trait_dispersion,1.219103387595497,1.2090552548090174,1.2293069853083762,P2
1991,P2,trait_dispersion,1.2170527411075673,1.2073642894086933,1.2270602584127903,P2
1992,P2,trait_dispersion,1.2154654703280705,1.2061756375296167,1.225158229879094,P2
1993,P2,trait_dispersion,1.2143010815445487,1.205027255939066,1.2238679477951502,P2
1994,P2,trait_dispersion,1.213494299520205,1.2046592254609458,1.2228656030929892,P2
1995,P2,trait_dispersion,1.2129654773833651,1.2044078877345665,1.2218962899153167,P2
1996,P2,trait_dispersion,1.2126334748868781,1.204020281420985,1.2212302443330925,P2
1997,P2,trait_dispersion,1.2124166640844867,1.2038227053440285,1.2206380068408504,P2
1998,P2,trait_dispersion,1.2122250662815581,1.203802188855759,1.2201513471813772,P2
2024,P2,trait_dispersion,1.4290733471874741,1.4149372785269618,1.442295965704069,P2
2027,P2,trait_dispersion,1.4210124582987858,1.4067360439854366,1.4348760311144833,P2
2028,P2,trait_dispersion,1.4180411062248013,1.4036871387359522,1.4320995517435053,P2
2039,P2,trait_dispersion,1.3726073242886276,1.3578642990166867,1.3865858857255962,P2
2040,P2,trait_dispersion,1.3668759754360806,1.352189307295978,1.380891553228698,P2
2041,P2,trait_dispersion,1.360764636613884,1.346131762960164,1.3745336685345209,P2
2044,P2,trait_dispersion,1.3398977305375572,1.3251335768458008,1.3538534591100624,P2
2045,P2,trait_dispersion,1.3320887529356809,1.3172048651179953,1.346318804183346,P2
2046,P2,trait_dispersion,1.3239108713109555,1.309132930627562,1.3384151794561259,P2
2047,P2,trait_dispersion,1.315435749012363,1.3008518546893926,1.3297376385176118,P2
2048,P2,trait_dispersion,1.3067435545726702,1.2922455559638597,1.3202831790148521,P2
2049,P2,trait_dispersion,1.2979103605454267,1.2833496877269193,1.3115688506806995,P2
2050,P2,trait_dispersion,1.2890132223247694,1.2749036251701813,1.302595045090992,P2
2051,P2,trait_dispersion,1.2801584995216944,1.2664740589686432,1.2937463098109696,P2
2052,P2,trait_dispersion,1.2715125336455646,1.2586006625299784,1.284952572279761,P2
2053,P2,trait_dispersion,1.2632949674366885,1.2507186772461434,1.2759111049422778,P2
2054,P2,trait_dispersion,1.2557186919772458,1.243600716249584,1.2678260788601525,P2
