grid_cell,period,metric,value_mean,value_l95,value_u95,block_label
2195,P1,inv_simpson,116.58063697467377,114.0786343294876,119.12358803932693,P1
2196,P1,inv_simpson,119.90373368662453,117.50711405509101,122.4982773661613,P1
2197,P1,inv_simpson,122.84895821228983,120.46840713718663,125.56511648801884,P1
2198,P1,inv_simpson,125.38788937220058,123.08502601603364,128.1400047615537,P1
2199,P1,inv_simpson,127.5192849468502,125.23422807081396,130.35978610304082,P1
2200,P1,inv_simpson,129.26915304588664,126.98329971654957,132.1590862022615,P1
2201,P1,inv_simpson,130.68942304883055,128.37450305180863,133.62780020663374,P1
2202,P1,inv_simpson,131.84823617063842,129.43681193420917,134.71776449041462,P1
2203,P1,inv_simpson,132.81782792428882,130.37723716217397,135.68283332447675,P1
2204,P1,inv_simpson,133.66607064521352,131.16155305962002,136.25718539586188,P1
2205,P1,inv_simpson,134.45201249687753,132.03157248454448,137.05627608661882,P1
2206,P1,inv_simpson,135.22319189223913,132.76238946422367,137.77039747872698,P1
2207,P1,inv_simpson,136.01369642722494,133.42457982502182,138.3785630516778,P1
2208,P1,inv_simpson,136.843543175835,134.4053082648816,139.2114079038667,P1
2209,P1,inv_simpson,137.72001669972707,135.41951779733685,140.01261055625886,P1
2210,P1,inv_simpson,138.64068505760764,136.31346207303756,140.95911110625013,P1
2211,P1,inv_simpson,139.59711224599664,137.3639971826411,141.89870353374428,P1
2212,P1,inv_simpson,140.5782314708106,138.48248466938648,142.84669081801883,P1
2213,P1,inv_simpson,141.6161874041052,139.63995108787879,143.84122063346828,P1
2214,P1,inv_simpson,142.66126855311197,140.68935454469874,144.83431942463318,P1
2240,P1,inv_simpson,55.795042505389084,54.180079406684165,57.50980655768039,P1
2241,P1,inv_simpson,56.55001259113084,54.91663607014452,58.28440526026994,P1
2250,P1,inv_simpson,66.55346386514975,64.6678776428453,68.43331319882118,P1
2254,P1,inv_simpson,74.1567974617501,72.0611120597604,76.09886809640109,P1
2255,P1,inv_simpson,76.55550362310605,74.41623450334211,78.65716000986012,P1
2257,P1,inv_simpson,82.0509217873401,79.89509681596759,84.20390676989543,P1
2258,P1,inv_simpson,85.15354982379564,83.04881809070694,87.34484644480173,P1
2259,P1,inv_simpson,88.48380152860133,86.28299366649391,90.69396056949182,P1
2260,P1,inv_simpson,92.02632719005912,89.67481045076525,94.24465552345352,P1
2261,P1,inv_simpson,95.76035441852336,93.36749712335104,97.928950630232535,P1
2262,P1,inv_simpson,99.65881228530611,97.38946354502373,101.7571604733601,P1
2263,P1,inv_simpson,103.6829971847274,101.3207636684591,105.83785768905538,P1
2264,P1,inv_simpson,107.77203104740023,105.40257490797433,110.1279337902322,P1
2265,P1,inv_simpson,111.83157612472921,109.44497924147412,114.25785871462004,P1
2266,P1,inv_simpson,115.73502540399852,113.26840572182026,118.31898937419074,P1
2267,P1,inv_simpson,119.34933024142711,116.8281558051069,122.02686417630139,P1
2268,P1,inv_simpson,122.57194821464688,120.07467706736468,125.3060858085191,P1
2269,P1,inv_simpson,125.34805297488467,122.91231623622886,128.16140405633303,P1
2270,P1,inv_simpson,127.66626603217777,125.22000302673287,130.50313221192934,P1
2271,P1,inv_simpson,129.55348243868832,127.2601699341284,132.44483738076926,P1
2272,P1,inv_simpson,131.06956785696067,128.61219967185744,134.10790470370202,P1
2273,P1,inv_simpson,132.29402088277075,129.86015174783634,135.18287058962878,P1
2274,P1,inv_simpson,133.30936215232236,130.73506247233635,136.27713490773266,P1
2275,P1,inv_simpson,134.18969973839296,131.57240512304486,136.9645419540456,P1
2276,P1,inv_simpson,134.9962470813122,132.33015004557677,137.63642775312852,P1
2277,P1,inv_simpson,135.77653363495827,133.20643665324695,138.34436020553565,P1
2278,P1,inv_simpson,136.56447969001135,134.01579163847964,139.0452309874662,P1
2279,P1,inv_simpson,137.38096518412164,134.84920623096755,139.7836967832448,P1
2280,P1,inv_simpson,138.23549211470558,135.93607176788922,140.52252171698126,P1
2281,P1,inv_simpson,139.12895002460016,136.69125235415464,141.4091313677293,P1
2282,P1,inv_simpson,140.05677913673628,137.78544020806993,142.30217997125914,P1
2283,P1,inv_simpson,141.01169863930932,138.89951480362308,143.24700145597276,P1
2284,P1,inv_simpson,141.98548395883785,139.9363162212047,144.18712345747673,P1
2285,P1,inv_simpson,142.96969114134885,141.03281072908533,145.17281652519745,P1
2286,P1,inv_simpson,143.75174738046223,141.81679066793424,145.9819236465086,P1
2312,P1,inv_simpson,56.061180536866964,54.393669833161034,57.86148932259795,P1
2313,P1,inv_simpson,56.78022739371081,55.08648106929008,58.56041990812042,P1
2320,P1,inv_simpson,64.29451226125406,62.47181879629551,66.12724561885136,P1
2326,P1,inv_simpson,75.54568503654434,73.3817283990548,77.61654044899873,P1
2327,P1,inv_simpson,78.11359066493765,75.87144158652279,80.24194795974961,P1
2328,P1,inv_simpson,80.91289354431912,78.65672570934092,83.08595327686774,P1
2329,P1,inv_simpson,83.9446877102568,81.6396540775064,86.18128044992001,P1
2330,P1,inv_simpson,87.20435485135418,84.89909637164067,89.41595151968424,P1
2331,P1,inv_simpson,90.68348808956779,88.30771192002157,92.8824870123497,P1
2332,P1,inv_simpson,94.37154726244692,92.06462336857722,96.43219287946356,P1
2333,P1,inv_simpson,98.25456596888253,96.00050429790592,100.36417147779814,P1
2334,P1,inv_simpson,102.30850683020697,99.80292674798547,104.45217130177768,P1
2335,P1,inv_simpson,106.48692895323819,104.21176886607772,108.7672133219971,P1
2336,P1,inv_simpson,110.7063536836398,108.21923795382735,113.10673546497986,P1
2337,P1,inv_simpson,114.83896504602657,112.4327585439444,117.44802589600069,P1
2338,P1,inv_simpson,118.72785422243903,116.12176641085274,121.46783622959968,P1
2339,P1,inv_simpson,122.22821006227787,119.67286454807594,125.04264782916148,P1
2340,P1,inv_simpson,125.24774735456813,122.76433408305405,128.04397270798648,P1
2341,P1,inv_simpson,127.7587731537436,125.34178741878073,130.65142694075425,P1
2342,P1,inv_simpson,129.78904823388072,127.38186262896183,132.81148690052336,P1
2343,P1,inv_simpson,131.40676424332642,128.8910956394415,134.35139066852125,P1
2344,P1,inv_simpson,132.70140074836618,130.1912141236202,135.73362969381583,P1
2345,P1,inv_simpson,133.76398292223715,131.16681107095695,136.66345351801726,P1
2346,P1,inv_simpson,134.67396363438917,132.1303914083702,137.4877399950837,P1
2347,P1,inv_simpson,135.49482498988712,132.93917518620532,138.22672982875017,P1
2348,P1,inv_simpson,136.27484081205566,133.6917503493045,138.81713522529105,P1
2349,P1,inv_simpson,137.04894732000557,134.4801096945006,139.503246871101,P1
2350,P1,inv_simpson,137.84035657738596,135.34433050394446,140.135780852261,P1
2351,P1,inv_simpson,138.6623164808459,136.30617036908137,140.91304513548332,P1
2352,P1,inv_simpson,139.52031281088733,137.2492894504175,141.78477936514417,P1
2353,P1,inv_simpson,140.4143809499895,138.20807103803668,142.6903771912935,P1
2354,P1,inv_simpson,141.3410052696289,139.24331784933318,143.5936893280969,P1
2355,P1,inv_simpson,142.29430606597253,140.22206272173665,144.5902900036962,P1
2356,P1,inv_simpson,143.2665192950495,141.2013307937677,145.50920990691452,P1
2357,P1,inv_simpson,144.24798548233235,142.23003312441008,146.4514213857424,P1
2358,P1,inv_simpson,145.17882710059226,143.19776251024086,147.3637072266859,P1
2359,P1,inv_simpson,146.24001878404968,144.24516599172927,148.38044729137044,P1
2384,P1,inv_simpson,56.32271896036173,54.581318919097676,58.169683088894814,P1
2385,P1,inv_simpson,57.15044442820155,55.383833969525504,58.99886094308518,P1
2386,P1,inv_simpson,58.0402744291643,56.249254895553804,59.89387875012408,P1
2390,P1,inv_simpson,62.36924702231005,60.534654539812664,64.23167114443505,P1
2392,P1,inv_simpson,65.13807475192522,63.33153194793734,67.04547913212811,P1
2393,P1,inv_simpson,66.72069072541684,64.8413322321201,68.66138891748298,P1
2394,P1,inv_simpson,68.4576672019321,66.50486156483385,70.47271048309246,P1
2395,P1,inv_simpson,70.36680368642523,68.35330535079858,72.40342120575443,P1
2397,P1,inv_simpson,74.76977777567245,72.59609672072969,76.87917615135034,P1
2398,P1,inv_simpson,77.29152280852942,75.04007608711315,79.40093038215073,P1
2399,P1,inv_simpson,80.03805569639324,77.77975542120178,82.20971460291865,P1
2400,P1,inv_simpson,83.0111096917348,80.72175817770281,85.25666331875944,P1
2401,P1,inv_simpson,86.20799526871667,83.85071637888277,88.38324282987396,P1
2402,P1,inv_simpson,89.62404878286353,87.2879087849329,91.81584649463228,P1
2403,P1,inv_simpson,93.25488801737764,90.97886990808335,95.3975152655144,P1
2405,P1,inv_simpson,101.13500530999922,98.6637422947199,103.2805743971819,P1
2406,P1,inv_simpson,105.34221309408947,102.91039444849623,107.61114843602209,P1
2407,P1,inv_simpson,109.6511507503242,107.20333762058921,111.96236899874157,P1
2408,P1,inv_simpson,113.94567058264985,111.38409652037488,116.39598417425226,P1
2409,P1,inv_simpson,118.06107396823059,115.581844840506,120.68015083334429,P1
2410,P1,inv_simpson,121.8174893953184,119.32405068063305,124.4478358010835,P1
2411,P1,inv_simpson,125.07667519451681,122.57239199128051,127.85194456801936,P1
2412,P1,inv_simpson,127.78143375723752,125.27783921791166,130.62937939290444,P1
2413,P1,inv_simpson,129.95382336880718,127.5097053836388,132.77220892991863,P1
2414,P1,inv_simpson,131.6688464981102,129.06219886565071,134.51552098241007,P1
2415,P1,inv_simpson,133.02505651015863,130.40958772460337,135.93226139835826,P1
2416,P1,inv_simpson,134.12134804392022,131.56699071666952,136.95510742057851,P1
2417,P1,inv_simpson,135.04345387880286,132.49894498395005,137.76385650145534,P1
2418,P1,inv_simpson,135.85970175427082,133.23392555752287,138.48945205005492,P1
2419,P1,inv_simpson,136.62222763538233,134.0776045187406,139.09554579382507,P1
2420,P1,inv_simpson,137.3695328579888,134.95059848614497,139.78270560622087,P1
2421,P1,inv_simpson,138.12858231886506,135.7571294314955,140.47973673734666,P1
2422,P1,inv_simpson,138.9165939951365,136.58603771623996,141.24809954632377,P1
2423,P1,inv_simpson,139.74289373398437,137.37486153446906,142.033400450615,P1
2424,P1,inv_simpson,140.61070587051185,138.3857459955504,142.8668656932677,P1
2425,P1,inv_simpson,141.5185587941676,139.37746669128515,143.7787793480594,P1
2426,P1,inv_simpson,142.4611705278661,140.31761802032239,144.7200708265573,P1
2427,P1,inv_simpson,143.4299193212961,141.33382854573313,145.65954273657547,P1
2428,P1,inv_simpson,144.41313227900804,142.36311569707894,146.63506636497667,P1
2429,P1,inv_simpson,145.3941003494468,143.36407209515858,147.569745931371,P1
2430,P1,inv_simpson,146.33967974266355,144.30443848201108,148.47777097090426,P1
2431,P1,inv_simpson,147.17062202129307,145.14301280420867,149.26359238430857,P1
2456,P1,inv_simpson,56.74002231322836,55.043034065026866,58.6249048198319,P1
2457,P1,inv_simpson,57.68829124223865,55.98141109327504,59.577867364809855,P1
2458,P1,inv_simpson,58.62972628581698,56.897449673020375,60.52702529958624,P1
2462,P1,inv_simpson,63.26622821735532,61.37405953298856,65.13918439702967,P1
2464,P1,inv_simpson,66.26739067381479,64.35653858158332,68.21742711910369,P1
2466,P1,inv_simpson,69.88127112109001,67.82562152659918,71.9690707065609,P1
2468,P1,inv_simpson,74.23758849476103,72.03800091079042,76.3429070545344,P1
2469,P1,inv_simpson,76.72771898400163,74.45839962838738,78.83124727443094,P1
2470,P1,inv_simpson,79.43615363807272,77.15970754173246,81.54133888622856,P1
2471,P1,inv_simpson,82.36468677960691,80.0089571036106,84.50048334069756,P1
2472,P1,inv_simpson,85.51153524040893,83.1206754028829,87.66467832981405,P1
2473,P1,inv_simpson,88.87385577563344,86.50761373464569,91.07989098686151,P1
2474,P1,inv_simpson,92.45004727418646,90.20353854132429,94.68403627292449,P1
2475,P1,inv_simpson,96.2393305250594,93.78966809299403,98.39878359995406,P1
2476,P1,inv_simpson,100.23644620017876,97.59648107649959,102.31849572121146,P1
2478,P1,inv_simpson,108.74310564721245,106.15467369441548,111.04400930731792,P1
2479,P1,inv_simpson,113.10657834506874,110.42105702548793,115.55274406815467,P1
2480,P1,inv_simpson,117.3595397759858,114.70700744233532,119.93814831214192,P1
2481,P1,inv_simpson,121.30980862634853,118.83928643336847,123.99317782126013,P1
2482,P1,inv_simpson,124.77954803555537,122.25912961357076,127.43580511694148,P1
2483,P1,inv_simpson,127.66934417528756,125.09689966506443,130.3594024973817,P1
2484,P1,inv_simpson,129.9799929041317,127.38668579871516,132.66604572934577,P1
2485,P1,inv_simpson,131.78518322451282,129.26555240001724,134.5106768059899,P1
2486,P1,inv_simpson,133.19011700072866,130.57940415072161,135.92739853721488,P1
2487,P1,inv_simpson,134.30175902556704,131.76022859507273,137.00631095162979,P1
2488,P1,inv_simpson,135.21432871498442,132.7064355114228,137.85421092521307,P1
2489,P1,inv_simpson,136.0048455317124,133.4983234295614,138.57764340582057,P1
2490,P1,inv_simpson,136.73343203132742,134.32495117582368,139.2059763604725,P1
2491,P1,inv_simpson,137.44502163071218,135.09656455455982,139.81902044175303,P1
2492,P1,inv_simpson,138.17119618329912,135.7602651338783,140.57506639877792,P1
2493,P1,inv_simpson,138.93216465571547,136.52252333956287,141.28525375985387,P1
2494,P1,inv_simpson,139.738948058016,137.40288175266548,142.12286755479704,P1
2495,P1,inv_simpson,140.59543311205533,138.24866500210916,142.88925596692866,P1
2496,P1,inv_simpson,141.4999081224694,139.21532918274414,143.7619758583908,P1
2497,P1,inv_simpson,142.4460016351623,140.2144036595938,144.68298236906887,P1
2498,P1,inv_simpson,143.42325033181652,141.2420350752495,145.65303764030872,P1
2499,P1,inv_simpson,144.41764073756508,142.3045729290901,146.60804202693754,P1
2500,P1,inv_simpson,145.41242419561252,143.32598514624905,147.54287691325808,P1
2501,P1,inv_simpson,146.3893740119175,144.35848652253327,148.5128034176794,P1
