mean,sd,q025,median,q975,metric,period,grid_cell
91.10562192776622,2.040033065971879,86.87307224080125,91.11183810837676,95.23129410228717,corrected_richness,P1,56
93.26625400296314,1.8288732601689575,89.81053597209723,93.33451543854184,96.7517746322461,corrected_richness,P1,57
91.41876204076715,1.8110272197782644,87.65976441619212,91.49171326188097,94.71831065136942,corrected_richness,P1,128
86.1429200323057,1.5730603785566764,83.31887220474908,86.02981490458069,89.07670090533969,corrected_richness,P1,198
94.98446808873122,1.6882250976248367,91.62076522004962,94.89808082686031,98.5160797113907,corrected_richness,P1,199
91.22465774498897,1.5669555328579563,88.2748230104151,91.21705375760482,94.46127099161345,corrected_richness,P1,203
86.11329985973047,1.5013737542712082,83.25461841546364,86.0547316230759,88.98052886668042,corrected_richness,P1,270
86.85979395265207,1.5307555074328174,84.17229174956148,86.70254652961714,89.82936513930004,corrected_richness,P1,271
87.68469525270838,1.5253841227679839,84.92570999646304,87.56687962583322,90.6077890759076,corrected_richness,P1,272
98.17952548628804,1.6426828724165554,94.97451519033395,98.12687783661993,101.26482284480171,corrected_richness,P1,274
102.86897013126799,1.7052259018509113,99.5454217971696,102.86693492807271,105.9842071139852,corrected_richness,P1,276
82.55184713040174,2.1365702265478967,78.31984249269533,82.64886207142104,86.5750432999598,corrected_richness,P1,341
83.08994886224342,2.10681128596541,78.74101570508175,83.15695825847575,86.96644942958494,corrected_richness,P1,342
91.59083795771875,2.096187187798332,87.5446324010159,91.57029998446724,95.52741058001841,corrected_richness,P1,343
87.69061605549331,1.7373474978971375,84.21711804828756,87.57684670023747,90.8357513810396,corrected_richness,P1,344
80.00491422969125,1.624036466199101,77.07616840360411,79.98796678786411,83.0907901786233,corrected_richness,P1,345
84.79833283286615,1.2461427416277318,82.29401033055888,84.78564557396561,87.19346250437044,corrected_richness,P1,347
87.67204974641311,1.4073858417069895,85.16133705238403,87.57925085026892,90.33481158002608,corrected_richness,P1,412
92.34624731987108,1.4793560298194304,89.66023993903671,92.3296616705889,95.29723561213044,corrected_richness,P1,413
94.1989504610116,1.3499475579341038,91.61297961898386,94.19333233751072,96.5760399755402,corrected_richness,P1,414
90.11682386247978,1.6349955360552495,87.38760701222458,90.04367338808771,93.41818535950381,corrected_richness,P1,415
90.10657530449676,1.738306119095831,87.22643401623279,90.01413815303856,93.55982236918727,corrected_richness,P1,416
92.07517653389428,1.9027022421583926,88.38379463042587,92.11397362020003,95.62528548838937,corrected_richness,P1,417
93.90028489062426,1.778335170939461,90.53445135948623,93.91670830007345,97.18175868637046,corrected_richness,P1,418
72.51134518026215,1.5220843454523498,69.29055817050887,72.60146139369807,75.54976665347701,corrected_richness,P1,483
74.60443511177697,1.801795861930558,71.15409310748453,74.58658461794259,78.25326833150542,corrected_richness,P1,484
77.22425215945441,1.8210711012134253,73.57669639291197,77.20039504578939,80.63055071123486,corrected_richness,P1,485
79.33775153628093,1.69192570832563,75.99226426858333,79.34493831598581,82.69887761762892,corrected_richness,P1,486
82.83133087306078,1.8399361937460832,79.31021433422212,82.69946101126459,86.34073998997394,corrected_richness,P1,487
69.06537901018896,1.5509071045015816,65.85368819163106,69.08130567252701,72.06290026224718,corrected_richness,P1,554
69.21059681453886,1.6217172935969095,65.90190401553868,69.2637629253565,72.24411931707533,corrected_richness,P1,555
67.90592004561452,1.558905182053817,64.71415911710139,67.87774141619462,70.65294526569463,corrected_richness,P1,556
