grid_cell,centroid_lon,centroid_lat,delta_t_mean,delta_t_extreme,delta_t_std,tmp_P1,tmp_P2,tmp_P3,tmp_P4,tmp_P5,tmx_P1,tmx_P2,tmx_P3,tmx_P4,tmx_P5
56,122.6259880512578,53.26185729168209,0.2890208318392977,0.2302083281256886,9.72219483404958,1.2686041592077042,1.3106458161763537,1.256562489562202,1.3736458117452761,1.5786458195313267,5.806666686634223,5.812083373467127,5.741250040133794,5.948750052042305,6.039583358176364
57,123.50381425901432,53.28723680119337,0.2583958301761111,0.1464583044716461,25.839583017611112,1.441145813263332,1.4508125050342642,1.3283958373048033,1.4698541571075718,1.7043749893249092,6.15208338641872,6.132083408037822,5.957083348929881,6.255416720484694,6.288541701699917
128,122.62003628231469,52.82123800100551,0.26577085164511405,0.024999950205285337,9.565810079138181,1.1460416345391424,1.1853333139442839,1.05804164976192,1.224874989327509,1.4314583258868272,5.819583390156428,5.836666735013326,5.605000020563603,5.8504167133321365,5.853125012790162
198,120.96829322790097,52.282076961806844,0.2098229192129415,-0.2889583312207833,6.291190766018863,1.1606041616760194,1.2077708156662994,1.0813958151692835,1.2706874878766636,1.394010407884101,5.91875004004687,6.032083387672901,5.758750004942217,5.69958336862425,5.686458382639103
199,121.72172099819515,52.27498606676315,0.28493750024548103,0.08166663708786182,12.367129246268727,1.0415833183797079,1.0741666664835068,0.9514999703892197,1.0882499735026312,1.3428124926770884,5.659166672825814,5.652500006059806,5.466666693488757,5.685000017782053,5.737499976530671
203,125.31498213467323,52.27498606676315,0.2558333315120158,0.2772916950828703,12.940796022972505,1.7640416697210943,1.7919999936517947,1.8158750173247729,1.8452083346123498,2.0338541631984604,6.443333326155941,6.3979167029261585,6.372083379079898,6.529166722794375,6.697916709623921
270,120.8482612732761,51.70552270449054,0.17883334627937697,0.06802083447109997,5.80287079566364,1.1881249777778673,1.2317083268853215,1.0868749901264285,1.3117916649440304,1.3887499986109713,6.088750053600718,6.10750004251798,5.814583345875144,6.207083362465104,6.166145882530449
271,121.72172099819515,51.72191801112358,0.1948958485426071,0.07354169599711824,5.448914396970461,0.9522083114134148,1.0027916629177827,0.8695416453682506,1.0621249948317808,1.1723958357082058,5.646666676302751,5.687500067551931,5.423333321015041,5.740833360143006,5.7406250679244595
272,122.62003628231469,51.72191801112358,0.2433541699642472,0.07885420133049337,19.76006293299636,0.9264791380730457,0.9438958218554034,0.7983541325588401,0.965479129711942,1.1785416499284718,5.246666675123076,5.229999998956918,5.040000007549922,5.3058333228031795,5.31718753837049
274,124.41666685055372,51.72191801112358,0.15787499662643945,0.13208333408304807,9.978505260636393,1.3271874887752346,1.349562479373223,1.2043541559056998,1.324437497983066,1.4962499807006682,5.952916680648923,5.930833347141743,5.634166695674261,5.958333346744379,6.0739583479783805
276,126.17024356538282,51.702582948461824,0.1809583331050817,0.2637499796537064,12.585900506667283,1.9678333175213385,1.988166684114064,1.8474166825568925,1.9845000091319285,2.158958333922783,6.7366667374968525,6.723333360751471,6.444166710476081,6.830000048751631,6.9937500287778676
341,120.05288481088691,51.1289574617765,0.21506249840992164,0.17083336257686188,4.758450200439185,1.4703749833318096,1.5342916556090738,1.3782916670199483,1.5572083201259377,1.7173958178803634,6.243333352853854,6.27750003139178,6.0091667302573715,6.425000030671558,6.431250054699679
342,120.82340571407563,51.1620009602833,0.121677088275707,0.03416666047026773,12.1677088275707,1.0854374815283032,1.0829791459487752,0.8995208235962007,1.1631874991580844,1.2058854020142462,5.812500050912301,5.767083381613096,5.37583338667949,5.887916707495849,5.823958376732966
343,121.72172099819515,51.1620009602833,0.21322916224986943,0.19124999710669055,21.322916224986944,1.0422499965100238,1.0481666280888022,0.8706666382650535,1.0625833028228953,1.2584374745492826,5.497500003377596,5.4491667326539766,5.143333347638448,5.612500026822091,5.664583365122477
344,122.62003628231469,51.1620009602833,0.19600001101789544,0.16218749179194347,10.064239582240715,0.9732499823750307,1.0007916432766555,0.8501666423825858,1.0784583125845528,1.1830208238437385,5.527083363632361,5.507916678239901,5.212500016887983,5.669166689614454,5.679687512728075
345,123.51835156643419,51.1620009602833,0.12051041866167589,0.06177081962426456,12.051041866167589,1.123437480411182,1.1329374783750001,0.9613124742832345,1.2006874858013665,1.248697898054767,5.850416686882576,5.847916705906391,5.482916687925657,5.9191667005419735,5.910937516018748
